Citance Number: 1 | Reference Article:  P08-1066.txt | Citing Article:  D08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both language-model and translation-model adaptation are implemented on top of a hierarchical Arabic-to-English translation system with string-to dependency rules as described in Shen et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S><S sid = NA ssid = NA>Charniak et al. (2003) described a two-step stringto-CFG-tree translation model which employed a syntax-based language model to select the best translation from a target parse forest built in the first step.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P08-1066.txt | Citing Article:  D11-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Shen et al, 2008) presents a string-to-dependency model, which restricts the target side of each hierarchical rule to be a well-formed dependency tree fragment, and employs a dependency language model to make the output more grammatically.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a string-to-dependency model for MT, which employs rules that represent the source side as strings and the target side as dependency structures.</S><S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P08-1066.txt | Citing Article:  D11-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Shen et al, 2008) extends the hierarchical phrase-based model and present a string-to-dependency model, which employs string-to-dependency rules whose source side are string and the target as well-formed dependency structures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a string-to-dependency model for MT, which employs rules that represent the source side as strings and the target side as dependency structures.</S><S sid = NA ssid = NA>Hiero can be viewed as a hierarchical string-to-string model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P08-1066.txt | Citing Article:  D09-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We take BBN's HierDec, a string-to-dependency decoder as described in (Shen et al, 2008), as our baseline for the following two reasons: It provides a strong baseline, which ensures the validity of the improvement we would obtain.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For comparison purposes, we replicated the Hiero decoder (Chiang, 2005) as our baseline.</S><S sid = NA ssid = NA>On decoding output, the string-todependency system achieved 1.48 point improvement in BLEU and 2.53 point improvement in TER compared to the baseline hierarchical stringto-string system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P08-1066.txt | Citing Article:  D09-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the original string-to-dependency model (Shen et al, 2008), a translation rule is composed of a string of words and non-terminals on the source side and a well-formed dependency structure on the target side.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S><S sid = NA ssid = NA>We propose a string-to-dependency model for MT, which employs rules that represent the source side as strings and the target side as dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P08-1066.txt | Citing Article:  D09-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, we can compute the source dependency LM score in the same way we compute the target side score, using a procedure described in (Shen et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rescoring We rescore 1000-best translations (Huang and Chiang, 2005) by replacing the 3-gram LM score with the 5-gram LM score computed offline.</S><S sid = NA ssid = NA>In order to calculate the dependency language model score, or depLM score for short, on the fly for partial hypotheses in a bottom-up decoding, we need to save more information in categories and states.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P08-1066.txt | Citing Article:  D09-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>When extracting rules with source dependency structures, we applied the same well-formedness constraint on the source side as we did on the target side, using a procedure described by (Shen et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both source and target are strings with NTs.</S><S sid = NA ssid = NA>We propose a string-to-dependency model for MT, which employs rules that represent the source side as strings and the target side as dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P08-1066.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Shen et al (2008), we distinguish between fixed, floating, and ill-formed structures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A dependency structure is well-formed if and only if it is either fixed or floating.</S><S sid = NA ssid = NA>We can concatenate two fixed structures, one fixed structure with one floating structure, or two floating structures in the same direction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P08-1066.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Experiments show that our approach significantly outperforms both phrase-based (Koehn et al, 2007) and string-to dependency approaches (Shen et al, 2008) in terms of BLEU and TER.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All models are tuned on BLEU (Papineni et al., 2001), and evaluated on both BLEU and Translation Error Rate (TER) (Snover et al., 2006) so that we could detect over-tuning on one metric.</S><S sid = NA ssid = NA>Based on the results in previous work (DeNeefe et al., 2007), we want to keep two kinds of dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P08-1066.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Shen et al (2008), string-to dependency rules without non-terminals can be extracted from the training example.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Now we explain how we get the string-todependency rules from training data.</S><S sid = NA ssid = NA>Table 1 shows the number of transfer rules extracted from the training data for the tuning and test sets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P08-1066.txt | Citing Article:  P13-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is easy to verify that the reduce left and reduce right actions are equivalent to the left adjoining and right adjoining operations defined by Shen et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Figure 5 shows the four operations to combine partial dependency structures, which are left adjoining (LA), right adjoining (RA), left concatenation (LC) and right concatenation (RC).</S><S sid = NA ssid = NA>It is easy to verify that the structures in Figures 2 and 3 are well-formed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P08-1066.txt | Citing Article:  W11-2149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given a dependency tree of the target language, we are able to introduce language models that span over longer distances than the usual n-grams, as in (Shen et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next we introduce the four tree operations on dependency structures.</S><S sid = NA ssid = NA>Section 3 illustrates of the use of dependency language models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P08-1066.txt | Citing Article:  W11-2149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shen et al (2008) use only phrases that meet certain restrictions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If we can combine two categories with a certain category operation, we can use a corresponding tree operation to combine two dependency structures.</S><S sid = NA ssid = NA>The use of a dependency LM in MT is similar to the use of a structured LM in ASR (Xu et al., 2002), which was also designed to exploit long-distance relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P08-1066.txt | Citing Article:  N12-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our machine translation system is a string-to dependency hierarchical decoder based on (Shen et al., 2008) and (Chiang, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A New String-to-Dependency Machine Translation Algorithm with a Target Dependency Language Model</S><S sid = NA ssid = NA>Based on the results in previous work (DeNeefe et al., 2007), we want to keep two kinds of dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P08-1066.txt | Citing Article:  D10-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Furthermore, we used a state of the art string-to-tree decoder (Shen et al, 2008) to establish the strongest possible baseline.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Furthermore, we combine partial dependency structures in a way such that we can obtain all possible well-formed but no ill-formed dependency structures during bottom-up decoding.</S><S sid = NA ssid = NA>For comparison purposes, we replicated the Hiero decoder (Chiang, 2005) as our baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P08-1066.txt | Citing Article:  D10-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To establish strong baselines, we used a string-to tree SMT system (Shen et al, 2008), one of the top performing systems in the NIST 2009 MT evaluation, and trained it with very large amounts of parallel and language model data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used part of the NIST 2006 ChineseEnglish large track data as well as some LDC corpora collected for the DARPA GALE program (LDC2005E83, LDC2006E34 and LDC2006G05) as our bilingual training data.</S><S sid = NA ssid = NA>This dependency LM can also be used in hierarchical MT systems using lexicalized CFG trees.</S> | Discourse Facet:  NA | Annotator: Automatic


