Citance Number: 1 | Reference Article:  P98-2180.txt | Citing Article:  C00-2119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, we parse them into a default analysis, which can then be expanded and disambiguatcd at later stages of processing using a large semantic knowledge base (Richardson 1997, Richardson et al 1998).</S> | Reference Offset:  ['7','41'] | Reference Text:  <S sid = 7 ssid = >For additional details and background on the creation and use of MindNet, readers are referred to Richardson (1997), Vanderwende (1996), and Dolan et al. (1993).</S><S sid = 41 ssid = >Experiments described elsewhere (Richardson 1997) demonstrate the comprehensive coverage of the information contained in MindNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P98-2180.txt | Citing Article:  W06-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such an approach was taken by the MindNet project (Richardson et al, 1998).</S> | Reference Offset:  ['7','34'] | Reference Text:  <S sid = 7 ssid = >For additional details and background on the creation and use of MindNet, readers are referred to Richardson (1997), Vanderwende (1996), and Dolan et al. (1993).</S><S sid = 34 ssid = >The larger contexts from which these relations have been taken have generally not been retained.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P98-2180.txt | Citing Article:  W08-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One early example was MindNet (Richardson et al, 1998), which was based on collecting 24 semantic role relations from MRDs such as the American Heritage Dictionary.</S> | Reference Offset:  ['1','43'] | Reference Text:  <S sid = 1 ssid = >As a lexical knowledge base constructed automatically from the definitions and example sentences in two machine-readable dictionaries (MRDs), MindNet embodies several features that distinguish it from prior work with MRDs.</S><S sid = 43 ssid = >The definitions and example sentences are from the Longman Dictionary of Contemporary English (LDOCE) and the American Heritage Dictionary, ri Edition (AHD3).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P98-2180.txt | Citing Article:  W01-1402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Richardson et al (1998) describes how MindNet began as a lexical knowledge base containing LF-like structures that were produced automatically from the definitions and example sentences in machine-readable dictionaries.</S> | Reference Offset:  ['1','22'] | Reference Text:  <S sid = 1 ssid = >As a lexical knowledge base constructed automatically from the definitions and example sentences in two machine-readable dictionaries (MRDs), MindNet embodies several features that distinguish it from prior work with MRDs.</S><S sid = 22 ssid = >However, none of these has succeeded in producing the breadth of semantic relations across entire dictionaries that has been produced for MindNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P98-2180.txt | Citing Article:  P06-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Synonymy, hypernymy or meronymy fall clearly in this latter category, and well known resources like WordNet (Miller, 1995), EuroWordNet (Vossen, 1998) or MindNet (Richardson et al, 1998) contain them.</S> | Reference Offset:  ['12','59'] | Reference Text:  <S sid = 12 ssid = >WordNet (Miller et al. 1990), continue to be the focus of ongoing research.</S><S sid = 59 ssid = >For example, paradigmatic relations in WordNet have been used by many to determine similarity, including Li et al. (1995) and Agirre and Rigau (1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P98-2180.txt | Citing Article:  W10-2311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Graphs also can be 69 generated from dictionaries, and used to produce knowledge bases (Richardson et al., 1998) or proximity information (Gaume et al, 2006).</S> | Reference Offset:  ['11','20'] | Reference Text:  <S sid = 11 ssid = >Although there has been much research on the use of automatic methods for extracting information from dictionary definitions (e.g., Vossen 1995, Wilks et al. 1996), hand-coded knowledge bases, e.g.</S><S sid = 20 ssid = >There have been many other attempts to process dictionary definitions using heuristic pattern matching (e.g., Chodorow et al. 1985), specially constructed definition parsers (e.g., Wilks et al.</S> | Discourse Facet:  NA | Annotator: Automatic


