Citance Number: 1 | Reference Article:  J04-2003.txt | Citing Article:  H05-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, Niessen and Ney (2004) decompose German words into a hierarchical representation using lemmas and morphological tags, and use a MaxEnt model to combine the different levels of representation in the translation model.</S> | Reference Offset:  ['96','189'] | Reference Text:  <S sid = 96 ssid = >The vocabulary of the new representation of the German part of the Verbmobil corpus, for example, in which full word forms are replaced by base form plus morphological and syntactic tags (lemmatag representation), is one and a half times as large as the vocabulary of the original corpus.</S><S sid = 189 ssid = >To enable the application of the hierarchical lexicon model, the source language input sentences in test have to be analyzed and annotated with their lemma-tag representation before the actual translation process.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J04-2003.txt | Citing Article:  D07-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Niessen and Ney (2004) describe an approach for translation from German to English that combines verbs with associated particles, and also reorders questions.</S> | Reference Offset:  ['101','125'] | Reference Text:  <S sid = 101 ssid = >This is especially true for the task of translating from a more inflecting language like German into English, for instance: In parallel German/English corpora, the German part contains many more distinct word forms than the English part (see, for example, Table 5).</S><S sid = 125 ssid = >In English questions supporting dos are removed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J04-2003.txt | Citing Article:  W07-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Niessen and Ney (2004) have used morphological decomposition to improve alignment quality.</S> | Reference Offset:  ['116','273'] | Reference Text:  <S sid = 116 ssid = >The information described in this section is used to improve the quality of statistical machine translation and to better exploit the available bilingual resources.</S><S sid = 273 ssid = >For testing we used the alignment template translation system, described in Och, Tillmann, and Ney (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J04-2003.txt | Citing Article:  P07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the second kind, Niessen and Ney (2004) used morpho-syntactic information for translation between language pairs with scarce resources.</S> | Reference Offset:  ['0','244'] | Reference Text:  <S sid = 0 ssid = >Statistical Machine Translation With Scarce Resources Using Morpho-Syntactic Information</S><S sid = 244 ssid = >Training with scarce resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J04-2003.txt | Citing Article:  P05-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Niessen and Ney, 2004) describe a method that combines morphologically split verbs in German, and also reorders questions in English and German.</S> | Reference Offset:  ['101','264'] | Reference Text:  <S sid = 101 ssid = >This is especially true for the task of translating from a more inflecting language like German into English, for instance: In parallel German/English corpora, the German part contains many more distinct word forms than the English part (see, for example, Table 5).</S><S sid = 264 ssid = >Such lists exist for German and English (see Table 7).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J04-2003.txt | Citing Article:  W07-0723.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among these were cases that can be handled such as separable prefix verbs like 'aufzeigten' ('pointed out') (Niessen and Ney, 2000) or adjective compounds such as 'multidimensionale' ('multi dimensional').</S> | Reference Offset:  ['128','367'] | Reference Text:  <S sid = 128 ssid = >German prefix verbs consist of a main part and a detachable prefix, which can be shifted to the end of the clause.</S><S sid = 367 ssid = >2000).</S> | Discourse Facet:  NA | Annotator: Automatic


