Citance Number: 1 | Reference Article:  W97-0311.txt | Citing Article:  P98-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Melamed (1997b), however, proposes a method for the recognition of multi word compounds in bi texts that is based on the predictive value of a translation model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comparison of predictive value functions across translation models can only be done under Let i and i' be the predictive value functions for source words in the base translation model and in the trial translation model, respectively.</S><S sid = NA ssid = NA>The method is based on the insight that treatment of NCCs as multiple words reduces the predictive power of translation models.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W97-0311.txt | Citing Article:  P04-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Melamed (1997) and Lin (1999) have done some research on non compositional phrases discovery.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There has been some research into matching compositional phrases across bitexts.</S><S sid = NA ssid = NA>Automatic Discovery Of Non-Compositional Compounds In Parallel Data</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W97-0311.txt | Citing Article:  W06-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some applications that would benefit from knowing this distinction are machine translation (Imamura et al, 2003), finding paraphrases (Bannardand Callison-Burch, 2005), (multilingual) information retrieval (Melamed, 1997a), etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>by Brown et al. (1992) and Wang et al.</S><S sid = NA ssid = NA>Treating NCCs as multiple words degrades the performance of machine translation (MT), information retrieval, natural language generation, and most other NLP applications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W97-0311.txt | Citing Article:  W06-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Melamed (1997b) measures the semantic entropy of words using bi texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All translation models were induced using the method of Melamed (1997).</S><S sid = NA ssid = NA>The impact of NCC recognition on the bag-of-words translation task was measured directly, using Bitext-Based Lexicon Evaluation (BiBLE: Melamed, 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W97-0311.txt | Citing Article:  W06-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Melamed (1997a) investigates various techniques to identify non-compositional compounds in parallel data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Discovery Of Non-Compositional Compounds In Parallel Data</S><S sid = NA ssid = NA>Therefore, the method is applicable to parallel data other than parallel texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W97-0311.txt | Citing Article:  W06-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This measure is equivalent to translational entropy (Melamed, 1997b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The rest of the translational distribution can be ignored.</S><S sid = NA ssid = NA>All translation models were induced using the method of Melamed (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W97-0311.txt | Citing Article:  W01-1411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some of the most sophisticated work on this aspect of problem again seems to be that of Melamed (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All translation models were induced using the method of Melamed (1997).</S><S sid = NA ssid = NA>These compositional translation patterns enable more sophisticated approaches to MT.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W97-0311.txt | Citing Article:  W10-3704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Melamed (1997) investigates techniques for identifying non-compositional compounds in English-French parallel corpora and emphasises that translation models that take non compositional compounds into account are more accurate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Discovery Of Non-Compositional Compounds In Parallel Data</S><S sid = NA ssid = NA>The translation of the middle two words, however, is non-compositional.</S> | Discourse Facet:  NA | Annotator: Automatic


