Citance Number: 1 | Reference Article:  P04-1021.txt | Citing Article:  W06-1672.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Li et al 2004) introduced the joint transliteration model whose variant augmented with adaptive re-ranking we used in our experiments.</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >A Joint Source-Channel Model For Machine Transliteration</S><S sid = 21 ssid = >In section 3, a joint source-channel model is formulated.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We performed alignment between E G and E P and between E P and C P in a similar manner presented in Li et al (2004).</S> | Reference Offset:  ['17','152'] | Reference Text:  <S sid = 17 ssid = >In machine transliteration, the noisy channel model (NCM), based on a phoneme-based approach, has recently received considerable attention (Meng et al. 2001; Jung et al, 2000; Virga & Khudanpur, 2003; Knight & Graehl, 1998).</S><S sid = 152 ssid = >To minimize the effects from alignment variation, we use the same alignment results from section 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['66','179'] | Reference Text:  <S sid = 66 ssid = >.yn where xi are letters and yj are Chinese characters.</S><S sid = 179 ssid = >We expect to see the proposed model to be further explored in other related areas.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the same test set used in Li et al (2004) for our testing.</S> | Reference Offset:  ['95','99'] | Reference Text:  <S sid = 95 ssid = >In the open test, one subset is withheld for testing while the remaining 12 subsets are used as the training materials.</S><S sid = 99 ssid = >In the close test, all data entries are used for training and testing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xinhua News Agency, 1992), which includes names in English, French, German, and many other foreign languages (Li et al., 2004).</S> | Reference Offset:  ['91','93'] | Reference Text:  <S sid = 91 ssid = >We use a database from the bilingual dictionary “Chinese Transliteration of Foreign Personal Names” which was edited by Xinhua News Agency and was considered the de facto standard of personal name transliteration in today’s Chinese press.</S><S sid = 93 ssid = >The listing includes personal names of English, French, Spanish, German, Arabic, Russian and many other origins.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 6 represents the overall performance of one system in a previous work (Li et al, 2004) and eighteen systems based on the transliteration models defined in this paper.</S> | Reference Offset:  ['17','85'] | Reference Text:  <S sid = 17 ssid = >In machine transliteration, the noisy channel model (NCM), based on a phoneme-based approach, has recently received considerable attention (Meng et al. 2001; Jung et al, 2000; Virga & Khudanpur, 2003; Knight & Graehl, 1998).</S><S sid = 85 ssid = >(8), it depends only on the previous Chinese unit.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To compare Li et al (2004) and transliteration models defined in this paper under the same condition, we also carried out experiments with the same training data in Li et al (2004).</S> | Reference Offset:  ['17','22'] | Reference Text:  <S sid = 17 ssid = >In machine transliteration, the noisy channel model (NCM), based on a phoneme-based approach, has recently received considerable attention (Meng et al. 2001; Jung et al, 2000; Virga & Khudanpur, 2003; Knight & Graehl, 1998).</S><S sid = 22 ssid = >In section 4, several experiments are carried out to study different aspects of proposed algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1021.txt | Citing Article:  D09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the training data used in Li et al (2004) is identical as the union of our training and development data, we denoted it as TRAIN+DEV in Table 6.</S> | Reference Offset:  ['87','99'] | Reference Text:  <S sid = 87 ssid = >The actual size of models largely depends on the availability of training data.</S><S sid = 99 ssid = >In the close test, all data entries are used for training and testing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1021.txt | Citing Article:  I08-4003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The grapheme-based approach, also known as direct orthographical mapping (Li et al, 2004), which treats transliteration as a statistical machine translation problem under monotonic constraints, has also achieved promising results.</S> | Reference Offset:  ['2','178'] | Reference Text:  <S sid = 2 ssid = >The transliteration is usually achieved through intermediate phonemic mapping.</S><S sid = 178 ssid = >As the proposed framework allows direct orthographical mapping, it can also be easily extended to handle such name translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1021.txt | Citing Article:  P07-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other transliteration systems focus on alignment for transliteration, for example the joint source channel model suggested by Li et al (2004).</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >A Joint Source-Channel Model For Machine Transliteration</S><S sid = 21 ssid = >In section 3, a joint source-channel model is formulated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1021.txt | Citing Article:  W12-4412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The grapheme-based approach, which treats transliteration as statistical machine translation problem under monotonic constraint, aims to obtain a direct orthographical mapping (DOM) to reduce possible errors introduced in multiple conversions.</S> | Reference Offset:  ['167','178'] | Reference Text:  <S sid = 167 ssid = >The n-gram TM and ID3 under direct orthographic mapping (DOM) paradigm simplify the process and reduce the chances of conversion errors.</S><S sid = 178 ssid = >As the proposed framework allows direct orthographical mapping, it can also be easily extended to handle such name translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1021.txt | Citing Article:  W12-4412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Phoneme-based approaches are usually not good enough, because name entities have various etymological origins and transliterations are not always decided by pronunciations (Li et al, 2004).</S> | Reference Offset:  ['17','37'] | Reference Text:  <S sid = 17 ssid = >In machine transliteration, the noisy channel model (NCM), based on a phoneme-based approach, has recently received considerable attention (Meng et al. 2001; Jung et al, 2000; Virga & Khudanpur, 2003; Knight & Graehl, 1998).</S><S sid = 37 ssid = >However, the phoneme-based approaches are limited by two major constraints, which could compromise transliterating precision, especially in English-Chinese transliteration: 1) Latin-alphabet foreign names are of different origins.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1021.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Li et al (2004) propose a letter-to-letter n-gram transliteration model for Chinese-English transliteration in an attempt to allow for the encoding of more contextual information.</S> | Reference Offset:  ['56','156'] | Reference Text:  <S sid = 56 ssid = >In view of the close coupling of the source and target transliteration units, we propose to estimate P(E,C) by a joint source-channel model, or n-gram transliteration model (TM).</S><S sid = 156 ssid = >Three factors could have contributed: 1) English transliteration unit size ranges from 1 letter to 7 letters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P04-1021.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many transliterated words are proper names, whose pronunciation rules may vary depending on the language of origin (Li et al, 2004).</S> | Reference Offset:  ['7','41'] | Reference Text:  <S sid = 7 ssid = >Proper names of English, French, German, Russian, Spanish and Arabic origins constitute a good portion of out-of-vocabulary words.</S><S sid = 41 ssid = >For example, /Lafontant/ is transliterated into 拉丰唐(La-FengTang) while /Constant/ becomes 康斯坦特(KangSi-Tan-Te) , where syllable /-tant/ in the two names are transliterated differently depending on the names’ language of origin.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P04-1021.txt | Citing Article:  W12-4407.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >So grapheme-based (Li et al, 2004) approach has gained lots of attention recently.</S> | Reference Offset:  ['17','36'] | Reference Text:  <S sid = 17 ssid = >In machine transliteration, the noisy channel model (NCM), based on a phoneme-based approach, has recently received considerable attention (Meng et al. 2001; Jung et al, 2000; Virga & Khudanpur, 2003; Knight & Graehl, 1998).</S><S sid = 36 ssid = >Several phoneme-based techniques have been proposed in the recent past for machine transliteration using transformation-based learning algorithm (Meng et al. 2001; Jung et al, 2000; Virga & Khudanpur, 2003) and using finite state transducer that implements transformation rules (Knight & Graehl, 1998), where both handcrafted and data-driven transformation rules have been studied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P04-1021.txt | Citing Article:  P09-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Direct orthographic mapping (e.g. Li et al, 2004), making use of individual Chinese graphemes, tends to overcome the problem and model the character choice directly.</S> | Reference Offset:  ['3','169'] | Reference Text:  <S sid = 3 ssid = >This paper presents a new framework that allows direct orthographical mapping (DOM) between two different languages, through a joint source-channel model, also transliteration model (TM). the TM model, we automate the orthographic alignment process to derive the aligned transliteration units from bilingual dictionary.</S><S sid = 169 ssid = >It is noted that in the 374 legitimate Chinese characters for transliteration, character to Pinyin mapping is unique while Pinyin to character mapping could be one to many.</S> | Discourse Facet:  NA | Annotator: Automatic


