Citance Number: 1 | Reference Article:  P99-1008.txt | Citing Article:  W02-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) use Hearst style techniques to learn meronym relation ships (part-whole) from corpora.</S> | Reference Offset:  ['0','16'] | Reference Text:  <S sid = 0 ssid = >Finding Parts In Very Large Corpora</S><S sid = 16 ssid = >Indeed, in [2] Hearst states that she tried to apply this strategy to the part-of relation, but failed.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P99-1008.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) used similar pattern-based techniques and other heuristics to extract meronymy (part-whole) relations.</S> | Reference Offset:  ['13','40'] | Reference Text:  <S sid = 13 ssid = >Casting our nets wider, the work most similar to what we present here is that by Hearst [2] on acquisition of hyponyms (&quot;isa&quot; relations).</S><S sid = 40 ssid = >Pattern D is not so obviously bad as it differs from the plural case of pattern B only in the lack of the determiner &quot;the&quot; or &quot;a&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1008.txt | Citing Article:  P08-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) used a similar method for extracting instances of meronymy relation.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >We present a method for extracting parts of objects from wholes (e.g.</S><S sid = 5 ssid = >We present a method of extracting parts of objects from wholes (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1008.txt | Citing Article:  D09-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lexical patterns have been successfully used to represent various semantic relations between words such as hypernymy (Hearst, 1992), and meronymy (Berland and Charniak, 1999).</S> | Reference Offset:  ['29','64'] | Reference Text:  <S sid = 29 ssid = >Following Hearst [2], we find possible patterns by taking two words that are in a part-whole relation (e.g, basement and building) and finding sentences in our corpus (we used the North American News Corpus (NANC) from LDC) that have these words within close proximity.</S><S sid = 64 ssid = >Metrics of the form p(w I p) have the desirable property that they are invariant over p with radically different base frequencies, and for this reason have been widely used in corpus-based lexical semantic research [3,6,9].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1008.txt | Citing Article:  P04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar approach was pursued in parallel by Berland and Charniak (1999).</S> | Reference Offset:  ['13','17'] | Reference Text:  <S sid = 13 ssid = >Casting our nets wider, the work most similar to what we present here is that by Hearst [2] on acquisition of hyponyms (&quot;isa&quot; relations).</S><S sid = 17 ssid = >We comment later on the differences in our approach that we believe were most important to our comparative success.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1008.txt | Citing Article:  P06-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) suggest their work may be useful for building a lexicon or ontology, like WordNet.</S> | Reference Offset:  ['4','11'] | Reference Text:  <S sid = 4 ssid = >The part list could be scanned by an end-user and added to an existing ontology (such as WordNet), or used as a part of a rough semantic lexicon.</S><S sid = 11 ssid = >The program's output could be scanned by an enduser and added to an existing ontology (e.g., WordNet), or used as a part of a rough semantic lexicon.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1008.txt | Citing Article:  P06-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) use Hearst's manual procedure.</S> | Reference Offset:  ['16','124'] | Reference Text:  <S sid = 16 ssid = >Indeed, in [2] Hearst states that she tried to apply this strategy to the part-of relation, but failed.</S><S sid = 124 ssid = >Finally, as noted above, Hearst [2] tried to find parts in corpora but did not achieve good results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1008.txt | Citing Article:  P13-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In attribute extraction, typically one must choose between the precise results of rich patterns (involving punctuation and parts-of-speech) applied to small corpora (Berland and Charniak, 1999) and the high-coverage results of superficial patterns applied to web-scale data, e.g. via the Google API (Almuhareb and Poesio, 2004).</S> | Reference Offset:  ['38','92'] | Reference Text:  <S sid = 38 ssid = >Table 2 shows patterns A and B clearly outperform patterns C, D, and E. Although parts occur in all five patterns, the lists for A and B are predominately parts-oriented.</S><S sid = 92 ssid = >Table 4 summarizes these results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1008.txt | Citing Article:  P13-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Prior work has mostly focused on finding "relevant" attributes (Alfonseca et al., 2010) or "correct" parts (Berland and Charniak, 1999).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >Finding Parts In Very Large Corpora</S><S sid = 12 ssid = >To the best of our knowledge, there is no published work on automatically finding parts from unlabeled corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1008.txt | Citing Article:  P13-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, Berland and Charniak (1999) attempted to filter out attributes that were regarded as qualities (like drive ability) rather than parts (like steering wheels) by removing words ending with the suffixes -ness, -ing, and -ity.</S> | Reference Offset:  ['58','118'] | Reference Text:  <S sid = 58 ssid = >The second filters out all words ending with &quot;ing&quot;, &quot;ness&quot;, or &quot;ity&quot;, since these suffixes typically occur in words that denote a quality rather than a physical object.</S><S sid = 118 ssid = >We try to weed out most of the qualities by removing words with the suffixes &quot;ness&quot;, &quot;ing&quot;, and &quot;ity.&quot; The most persistent problem is sparse data, which is the source of most of the noise.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1008.txt | Citing Article:  P10-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also, previous relation extraction work, http: //projects.ldc.upenn.edu/ace/ such as Berland and Charniak (1999) and Girju et al.</S> | Reference Offset:  ['20','29'] | Reference Text:  <S sid = 20 ssid = >Certainly the large number of projects that use WordNet [1] would support this contention.</S><S sid = 29 ssid = >Following Hearst [2], we find possible patterns by taking two words that are in a part-whole relation (e.g, basement and building) and finding sentences in our corpus (we used the North American News Corpus (NANC) from LDC) that have these words within close proximity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1008.txt | Citing Article:  N04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) used similar pattern-based techniques and other heuristics to extract meronymy (part-whole) relations.</S> | Reference Offset:  ['13','40'] | Reference Text:  <S sid = 13 ssid = >Casting our nets wider, the work most similar to what we present here is that by Hearst [2] on acquisition of hyponyms (&quot;isa&quot; relations).</S><S sid = 40 ssid = >Pattern D is not so obviously bad as it differs from the plural case of pattern B only in the lack of the determiner &quot;the&quot; or &quot;a&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1008.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Berland and Charniak (1999) proposed a system for part-of relation extraction, based on the (Hearst 1992) approach.</S> | Reference Offset:  ['10','16'] | Reference Text:  <S sid = 10 ssid = >Lacking an objective definition of the part-of relation, we use the majority judgment of five human subjects to decide which proposed parts are correct.</S><S sid = 16 ssid = >Indeed, in [2] Hearst states that she tried to apply this strategy to the part-of relation, but failed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1008.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Berland and Charniak, 1999) use hand crafted patterns to discover part-of (meronymy) relation ships, and (Chklovski and Pantel, 2004) discover various interesting relations between verbs.</S> | Reference Offset:  ['8','38'] | Reference Text:  <S sid = 8 ssid = >Thus the relation found is strictly speaking between words, a relation Miller [1] calls &quot;meronymy.&quot; In this paper we use the more colloquial &quot;part-of&quot; terminology.</S><S sid = 38 ssid = >Table 2 shows patterns A and B clearly outperform patterns C, D, and E. Although parts occur in all five patterns, the lists for A and B are predominately parts-oriented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1008.txt | Citing Article:  H05-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >OPINE's use of meronymy lexico-syntactic patterns is similar to that of many others, from (Berland and Charniak, 1999) to (Almuhareb and Poesio, 2004).</S> | Reference Offset:  ['8','38'] | Reference Text:  <S sid = 8 ssid = >Thus the relation found is strictly speaking between words, a relation Miller [1] calls &quot;meronymy.&quot; In this paper we use the more colloquial &quot;part-of&quot; terminology.</S><S sid = 38 ssid = >Table 2 shows patterns A and B clearly outperform patterns C, D, and E. Although parts occur in all five patterns, the lists for A and B are predominately parts-oriented.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1008.txt | Citing Article:  P07-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >relation (Berland and Charniak 1999), causal relation (Girju 2003), and entailment relation (Geffet and Dagan 2005).</S> | Reference Offset:  ['8','15'] | Reference Text:  <S sid = 8 ssid = >Thus the relation found is strictly speaking between words, a relation Miller [1] calls &quot;meronymy.&quot; In this paper we use the more colloquial &quot;part-of&quot; terminology.</S><S sid = 15 ssid = >In this paper we apply much the same methodology to the part-of relation.</S> | Discourse Facet:  NA | Annotator: Automatic


