Citance Number: 1 | Reference Article:  P03-1071.txt | Citing Article:  N07-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use an automatic topic segmentation tool, LCSeg (Galley et al, 2003) setting parameters so that the derived segments are of the approximate desired length.</S> | Reference Offset:  ['80','85'] | Reference Text:  <S sid = 80 ssid = >We use the error metric Pk proposed by Beeferman et al. (1999) to evaluate segmentation accuracy.</S><S sid = 85 ssid = >LCseg depends on several parameters.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1071.txt | Citing Article:  P07-1128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work has shown that training a segmentation model with features that are extracted from knowledge sources other than words, such as speaker interaction (e.g., overlap rate, pause, and speaker change) (Galley et al, 2003), or participant behaviors, e.g., note taking cues (Banerjee and Rudnicky, 2006), can outperform LCSEG on similar tasks.</S> | Reference Offset:  ['104','121'] | Reference Text:  <S sid = 104 ssid = >We tried to restrict ourselves to features whose inclusion is motivated by previous work (pauses, speech rate) and added features that are specific to multi-speaker speech (overlap, changes in speaker activity).</S><S sid = 121 ssid = >Speaker change: we sometimes noticed a correlation between topic boundaries and sudden changes in speaker activity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Adapting the standard definition of topic (Galley et al, 2003) to conversations/emails, we consider a topic is something about which the participant(s) discuss or argue or express their opinions.</S> | Reference Offset:  ['26','29'] | Reference Text:  <S sid = 26 ssid = >In work on segmentation of spoken documents, intonational, prosodic, and acoustic indicators are used to detect topic boundaries (Grosz and Hirschberg, 1992; Nakatani et al., 1995; Hirschberg and Nakatani, 1996; Passonneau and Litman, 1997; Hirschberg and Nakatani, 1998; Beeferman et al., 1999; T¨ur et al., 2001).</S><S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','149'] | Reference Text:  <S sid = 55 ssid = >For all chains that have been identified, we use a weighting scheme that we believe is appropriate to the task of inducing the topical or sub-topical structure of text.</S><S sid = 149 ssid = >This work was funded under the NSF project Mapping Meetings (IIS-012196).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moving to the task of segmenting dialogs, (Galley et al, 2003) first proposed the lexical chain based unsupervised segmenter (LCSeg) and a supervised segmenter for segmenting meeting transcripts.</S> | Reference Offset:  ['8','29'] | Reference Text:  <S sid = 8 ssid = >In this paper, we present an algorithm for segmenting meeting transcripts.</S><S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the topic level, they achieve similar results as (Galley et al, 2003), with the supervised approach outperforming LCSeg.</S> | Reference Offset:  ['29','126'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 126 ssid = >Lexical cohesion: we also incorporated the lexical cohesion function computed by LCseg as a feature of the multi-source segmenter in a manner similar to the knowledge source combination performed by (Beeferman et al., 1999) and (T¨ur et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','149'] | Reference Text:  <S sid = 55 ssid = >For all chains that have been identified, we use a weighting scheme that we believe is appropriate to the task of inducing the topical or sub-topical structure of text.</S><S sid = 149 ssid = >This work was funded under the NSF project Mapping Meetings (IIS-012196).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our second model is the lexical chain based segmenter LCSeg, (Galley et al, 2003).</S> | Reference Offset:  ['29','126'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 126 ssid = >Lexical cohesion: we also incorporated the lexical cohesion function computed by LCseg as a feature of the multi-source segmenter in a manner similar to the knowledge source combination performed by (Beeferman et al., 1999) and (T¨ur et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1071.txt | Citing Article:  D10-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, Galley et al, (Galley et al, 2003) uses only repetition relation as previous research results (e.g., (Choi, 2000)) account only for repetition.</S> | Reference Offset:  ['24','29'] | Reference Text:  <S sid = 24 ssid = >Embodiments of this idea include semantic similarity (Morris and Hirst, 1991; Kozima, 1993), cosine similarity in word vector space (Hearst, 1994), inter-sentence similarity matrix (Reynar, 1994; Choi, 2000), entity repetition (Kan et al., 1998), word frequency models (Reynar, 1999), or adaptive language models (Beeferman et al., 1999).</S><S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1071.txt | Citing Article:  W06-2914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first dataset is a subset of the ICSI-MR corpus (Janin et al, 2004), where the gold standard for thematic segmentations has been provided by taking into account the agreement of at least three human annotators (Galley et al, 2003).</S> | Reference Offset:  ['29','38'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 38 ssid = >We used Cochran’s Q (1950) to evaluate the agreement among annotators.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1071.txt | Citing Article:  W06-2914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The LCseg system (Galley et al, 2003), labeled here as G03, is to our knowledge the only word distribution based system evaluated on ICSI meeting data.</S> | Reference Offset:  ['29','126'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 126 ssid = >Lexical cohesion: we also incorporated the lexical cohesion function computed by LCseg as a feature of the multi-source segmenter in a manner similar to the knowledge source combination performed by (Beeferman et al., 1999) and (T¨ur et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1071.txt | Citing Article:  W06-2914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Therefore, we replicate the results reported by (Galley et al, 2003) when evaluation of LCseg was done on ICSI data.</S> | Reference Offset:  ['29','126'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 126 ssid = >Lexical cohesion: we also incorporated the lexical cohesion function computed by LCseg as a feature of the multi-source segmenter in a manner similar to the knowledge source combination performed by (Beeferman et al., 1999) and (T¨ur et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1071.txt | Citing Article:  W06-2914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The so-labeled G03* algorithm indicates the error rates obtained by (Galley et al, 2003) when extra (meeting specific) features have been adopted in a decision tree classifier.</S> | Reference Offset:  ['5','29'] | Reference Text:  <S sid = 5 ssid = >A significant error reduction is obtained by combining the two knowledge sources.</S><S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1071.txt | Citing Article:  W06-2914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work of (Galley et al, 2003) shows that the G03* algorithm is better than G03 by approximately 10%, which indicates that on meeting data the performance of our word-distribution based approach could possibly be increased by using other meeting-specific features.</S> | Reference Offset:  ['11','29'] | Reference Text:  <S sid = 11 ssid = >The meeting segmenter comprises two components: one that capitalizes on word distribution to identify homogeneous units that are topically cohesive, and a second component that analyzes conversational features of meeting transcripts that are indicative of topic shifts, like silences, overlaps, and speaker changes.</S><S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1071.txt | Citing Article:  P08-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our feature set incorporates information which has proven useful in meeting segmentation (Galley et al, 2003) and the task of detecting addressees of a specific utterance in a meeting (Jovanovic et al, 2006).</S> | Reference Offset:  ['29','126'] | Reference Text:  <S sid = 29 ssid = >We have evaluated our segmenter on the ICSI Meeting corpus (Janin et al., 2003).</S><S sid = 126 ssid = >Lexical cohesion: we also incorporated the lexical cohesion function computed by LCseg as a feature of the multi-source segmenter in a manner similar to the knowledge source combination performed by (Beeferman et al., 1999) and (T¨ur et al., 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1071.txt | Citing Article:  P07-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['55','149'] | Reference Text:  <S sid = 55 ssid = >For all chains that have been identified, we use a weighting scheme that we believe is appropriate to the task of inducing the topical or sub-topical structure of text.</S><S sid = 149 ssid = >This work was funded under the NSF project Mapping Meetings (IIS-012196).</S> | Discourse Facet:  NA | Annotator: Automatic


