Citance Number: 1 | Reference Article:  P00-1058.txt | Citing Article:  P01-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One may object that this example is somewhat far-fetched, but Chiang (2000) notes that head-lexicalized stochastic grammars fall short in encoding even simple dependency relations such as between left and John in the sentence John should have left.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, for the sentence &quot;John should have left,&quot; Magerman's rules make should and have the heads of their respective VPs, so that there is no dependency between left and its subject John (see Figure 2a).</S><S sid = NA ssid = NA>(We could make VP the head of VP instead, but this would generate auxiliaries independently of each other, so that, for example, P(John leave) > 0.)</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P00-1058.txt | Citing Article:  D07-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use sister adjunction which is commonly used in LTAG statistical parsers to deal with the relatively flat Penn Tree bank trees (Chiang, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Why use tree-adjoining grammar for statistical parsing?</S><S sid = NA ssid = NA>We introduce this operation simply so we can derive the flat structures found in the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P00-1058.txt | Citing Article:  D07-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In LTAG-based statistical parsers, high accuracy is obtained by using the Magerman Collins head-percolation rules in order to provide the etrees (Chiang, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We want to extract from the Penn Treebank an LTAG whose derivations mirror the dependency analysis implicit in the head-percolation rules of (Magerman, 1995; Collins, 1997).</S><S sid = NA ssid = NA>But beginning with (Magerman, 1995) statistical parsers have used bilexical dependencies with great success.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P00-1058.txt | Citing Article:  W06-1501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our implementation uses an extension of our monolingual parser (Chiang, 2000) based on tree-substitution grammar with sister adjunction (TSG+SA) .</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Arcs corresponding to substitution and adjunction are labeled with the Gorn address1 of the substitution or adjunction site.</S><S sid = NA ssid = NA>In this variant there are three kinds of elementary tree: initial, (predicative) auxiliary, and modifier, and three composition operations: substitution, adjunction, and sister-adjunction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P00-1058.txt | Citing Article:  W06-1501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our parser (Chiang, 2000) is based on synchronous tree-substitution grammar with sister adjunction (TSG+SA).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Arcs corresponding to substitution and adjunction are labeled with the Gorn address1 of the substitution or adjunction site.</S><S sid = NA ssid = NA>In this variant there are three kinds of elementary tree: initial, (predicative) auxiliary, and modifier, and three composition operations: substitution, adjunction, and sister-adjunction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P00-1058.txt | Citing Article:  C02-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another kind of grammar is a TAG automatically extracted from a treebank using the techniques of (Chen, 2001) (cf. (Chiang, 2000), (Xia, 1999)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Xia, 1999) describes a grammar extraction process similar to ours, and describes some techniques for automatically filtering out invalid elementary trees.</S><S sid = NA ssid = NA>Statistical Parsing With An Automatically-Extracted Tree Adjoining Grammar</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P00-1058.txt | Citing Article:  W02-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Indeed, since TAGLET thus induces bigram dependency structures from trees, this invites the estimation of probability distributions on TAGLET derivations based on observed bigram dependencies; see (Chiang, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bilexical dependencies are not the only nonlocal dependencies that can be used to improve parsing accuracy.</S><S sid = NA ssid = NA>But none of these cases really requires special treatment in a PTAG model, because each composition probability involves not only a bilexical dependency but a &quot;biarboreal&quot; (tree-tree) dependency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P00-1058.txt | Citing Article:  P13-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While earlier approaches such as Hwa (1998) and Chiang (2000) relied on hueristic induction methods, they were nevertheless sucessful at parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We find that this induction method is an improvement over the EM-based method of (Hwa, 1998), and that the induced model yields results comparable to lexicalized PCFG.</S><S sid = NA ssid = NA>We find that the automatically-extracted grammar gives an improvement over the EM-based induction method of (Hwa, 1998), and that the parser performs comparably to lexicalized PCFG parsers, though certainly with room for improvement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P00-1058.txt | Citing Article:  P13-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While different representations make direct comparison inappropriate, the OSTAG results lie in the same range as previous work with statistical TIG on this task, such as Chiang (2000) (86.00) and Shindo et al (2011) (85.03).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our work has a great deal in common with independent work by Chen and VijayShanker (2000).</S><S sid = NA ssid = NA>Sister-adjunction is not an operation found in standard definitions of TAG, but is borrowed from D-Tree Grammar (Rambow et al., 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P00-1058.txt | Citing Article:  W03-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to adjunction, we also use sister adjunction as defined in the LTAG statistical parser described in (Chiang, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also extended the parser to simulate sister-adjunction as regular adjunction and compute the flag f which distinguishes the first modifier from subsequent modifiers.</S><S sid = NA ssid = NA>Auxiliary trees and adjunction are restricted as in TIG: essentially, no wrapping adjunction or anything equivalent to wrapping adjunction is allowed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P00-1058.txt | Citing Article:  W03-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Improvements along this line may be attained by use of a full TAG parser, such as Chiang (2000) for example.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Moreover, the greater flexibility of TAG suggests some potential improvements which would be cumbersome to implement using a lexicalized CFG.</S><S sid = NA ssid = NA>Note that even in cases where the parser encounters a sentence for which the (fallible) extraction heuristics would have produced an unseen tree template, it is possible that the parser will use other trees to produce the correct bracketing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P00-1058.txt | Citing Article:  E06-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The parsing model used is essentially that of Chiang (Chiang, 2000), which is based on a highly restricted version of tree-adjoining grammar.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Why use tree-adjoining grammar for statistical parsing?</S><S sid = NA ssid = NA>Statistical Parsing With An Automatically-Extracted Tree Adjoining Grammar</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P00-1058.txt | Citing Article:  W02-1509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A striking use of sister adjunction in (Chiang, 2000) is exactly the elegant way it solves this problem: the non-argument tree can be adjoined onto a node (say, VP), positioning itself in between the VP's children, which is not possible with TAGs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(We could make VP the head of VP instead, but this would generate auxiliaries independently of each other, so that, for example, P(John leave) > 0.)</S><S sid = NA ssid = NA>An arc corresponding to the sister-adjunction of a tree between the ith and i + 1th children of rl (allowing for two imaginary children beyond the leftmost and rightmost children) is labeled rl; i.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P00-1058.txt | Citing Article:  E09-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our method is similar to (Chiang, 2000), but is even simpler in ignoring the distinction between arguments and adjuncts (and thus the sister adjunction operation).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sister-adjunction is not an operation found in standard definitions of TAG, but is borrowed from D-Tree Grammar (Rambow et al., 1995).</S><S sid = NA ssid = NA>For each node T1, these rules classify exactly one child of T1 as a head and the rest as either arguments or adjuncts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P00-1058.txt | Citing Article:  W03-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Parsers described in (Bikel and Chiang, 2000) and (Xu et al, 2002) operate at word-level with the assumption that input sentences are pre-segmented.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The backed-off models are combined by linear interpolation, with the weights chosen as in (Bikel et al., 1997).</S><S sid = NA ssid = NA>Sister-adjunction is not an operation found in standard definitions of TAG, but is borrowed from D-Tree Grammar (Rambow et al., 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P00-1058.txt | Citing Article:  W03-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bikel and Chiang (2000) and Xu et al (2002) construct word-based statistical parsers on the first release of Chinese Treebank, which has about 100K words, roughly half of the training data used in this study.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The backed-off models are combined by linear interpolation, with the weights chosen as in (Bikel et al., 1997).</S><S sid = NA ssid = NA>These results place our parser roughly in the middle of the lexicalized PCFG parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P00-1058.txt | Citing Article:  W03-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>S. D. G.</S><S sid = NA ssid = NA>We want to obtain a maximum-likelihood estimate of these parameters, but cannot estimate them directly from the Treebank, because the sample space of PTAG is the space of TAG derivations, not the derived trees that are found in the Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


