Citance Number: 1 | Reference Article:  N06-1003.txt | Citing Article:  W06-1610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although both methods have gained mainstream acceptance and have shown good correlations with human judgments, their deficiencies have become more evident and serious as research in MT and summarization progresses (Callison-Burch et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N06-1003.txt | Citing Article:  P07-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) propose the use of paraphrases as a means of dealing with unseen source phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard and Callison-Burch (2005) use bilingual parallel corpora to generate paraphrases.</S><S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-1003.txt | Citing Article:  P07-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Although related to Callison-Burch et al (2006) our method is conceptually simpler and more general.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-1003.txt | Citing Article:  W11-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We carried out experiments on small, medium and large scale English-Chinese translation tasks to compare against a baseline PBSMT system, the translation model augmentation of (Callison-Burch et al, 2006) method and the word-lattice-based method of (Du et al., 2010) to show the effectiveness of our novel approach.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S><S sid = NA ssid = NA>By grams, and 4-grams from the Europarl Spanish test sentences for which translations were learned in increasingly large training corpora increasing the size of the basic unit of translation, phrase-based machine translation does away with many of the problems associated with the original word-based formulation of statistical machine translation (Brown et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-1003.txt | Citing Article:  W11-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Compared with translation model augmentation with paraphrases (Callison-Burch et al, 2006), word-lattice-based paraphrasing for PBSMT is introduced in (Du et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S><S sid = NA ssid = NA>Without it, the multi-word paraphrases harm translation performance when compared to the baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-1003.txt | Citing Article:  P08-2041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) used paraphrases of the trainig corpus for translating unseen phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We examined the application of paraphrases to deal with unknown phrases when translating from Spanish and French into English.</S><S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-1003.txt | Citing Article:  D10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) argue that limited amounts of parallel training data can lead to the problem of low coverage in that many phrases encountered at run-time are not observed in the training data and so their translations will not be learned.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Limited amounts of training data can further lead to a problem of low coverage in that many phrases encountered at run-time are not observed in the training data and therefore their translations will not be learned.</S><S sid = NA ssid = NA>For these language pairs a huge portion of phrases encountered at run-time will be unknown.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-1003.txt | Citing Article:  D10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) proposed a novel method which substitutes a paraphrase for an unknown source word or phrase in the input sentence, and then proceeds to use the translation of that paraphrase in the production of the target-language result.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By substituting a paraphrase for an unknown source phrase there is a strong chance that its translation may also be a paraphrase of the equivalent target language phrase.</S><S sid = NA ssid = NA>Specifically we show that upon encountering an unknown source phrase, we can substitute a paraphrase for it and then proceed using the translation of that paraphrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-1003.txt | Citing Article:  D10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>to explain how difficult it is to translate the source-side sentence in three respects: The OOV rates of the source sentences in the test set (Callison-Burch et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, for any given test set, a huge amount of training data has to be observed before translations are learned for a reasonable percentage of the test phrases.</S><S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N06-1003.txt | Citing Article:  D10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>system performs slightly better (0.36 absolute BLEU points) than the baseline system on the 20K data set, but slightly worse (0.19 absolute BLEU points) than the baseline on the 200K data set, which indicates that the paraphrase substitution method used in (Callison-Burch et al, 2006) does not work on resource-sufficient data sets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method is particularly pertinent to small data conditions, which are plagued by sparse data problems.</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N06-1003.txt | Citing Article:  C10-2075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) aim to improve MT quality by adding paraphrases in the translation table, while Madnani et al (2007) aim to improve the minimum error rate training by adding the automatically generated paraphrases into the English reference sets.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To set the weights, am, we performed minimum error rate training (Och, 2003) on the development set using Bleu (Papineni et al., 2002) as the objective function.</S><S sid = NA ssid = NA>Just as we did in the baseline system, we performed minimum error rate training to set the weights of the nine feature functions in our translation model that exploits paraphrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N06-1003.txt | Citing Article:  W09-0431.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Callison-Burch et al (2006) exploited the existence of multiple parallel corpora to learn paraphrases for Phrase-based MT.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S><S sid = NA ssid = NA>We can extend the definition of the paraphrase probability to include multiple corpora, as follows: where c is a parallel corpus from a set of parallel corpora C. Thus multiple corpora may be used by summing over all paraphrase probabilities calculated from a single corpus (as in Equation 1) and normalized by the number of parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N06-1003.txt | Citing Article:  C10-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thank you to Alexandra Birch and Stephanie Vandamme for creating the word alignments.</S><S sid = NA ssid = NA>We examined the application of paraphrases to deal with unknown phrases when translating from Spanish and French into English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N06-1003.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, according to Callison-Burch et al (2006), a SMT system with a training corpus of 10,000 words learned only 10% of the vocabulary; the same system learned about 30% with a training corpus of 100,000 words; and even with a large training corpus of nearly 10,000,000 words it only reached about 90% coverage of the source vocabulary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is not until nearly 10,000,000 words worth of training data have been analyzed that translation for more than 90% of the vocabulary items have been learned.</S><S sid = NA ssid = NA>For a training corpus containing 10,000 words translations will have been learned for only 10% of the unigrams (types, not tokens).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N06-1003.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The table augmentation idea is similar to Callison Burch et al (Callison-Burch et al, 2006), but our proposed paradigm does not require using a limited resource such as parallel texts in order to generate paraphrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard and Callison-Burch (2005) use bilingual parallel corpora to generate paraphrases.</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N06-1003.txt | Citing Article:  D09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This work is most closely related to that of Callison-Burch et al (2006), who also translate source-side paraphrases of the OOV phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Because Bleu is potentially insensitive to the type of changes that we were making to the translations, we additionally performed a focused manual evaluation (Callison-Burch et al., 2006).</S><S sid = NA ssid = NA>We manage the parallel corpora with a suffix array -based data structure (Callison-Burch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


