Citance Number: 1 | Reference Article:  W03-1812.txt | Citing Article:  W03-1809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baldwin et al (2003) use LSA as a technique foranalysing the compositionality (or decomposability) of a given MWE.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy et al. (2003) also targeted verb-particles for a study on compositionality, and judged compositionality according to the degree of overlap in the N most similar words to the verbparticle and head verb, e.g., to determine compositionality.</S><S sid = NA ssid = NA>The particular reference lexicon we use to evaluate our technique is WordNet 1.7 (Miller et al., 1990), due to its public availability, hierarchical structure and wide coverage.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W03-1812.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>According to Baldwin et al (2003), divergences in VPC and head verb semantics are often reflected in differing selectional preferences, as manifested in patterns of noun co-occurrence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the case of the verb-particle data, WordNet has no classification of prepositions or particles, so we can only calculate the similarity between the head verb and verbparticle (VPC(head)).</S><S sid = NA ssid = NA>McCarthy et al. (2003) also targeted verb-particles for a study on compositionality, and judged compositionality according to the degree of overlap in the N most similar words to the verbparticle and head verb, e.g., to determine compositionality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W03-1812.txt | Citing Article:  W05-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Prior work in discovering non-compositional phrases has been carried out by Lin (1999) and Baldwin et al (2003), who also used LSAto distinguish between compositional and non compositional verb-particle constructions and noun noun compounds.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Melamed (1997)), there has been little work on detecting “non-compositional” (i.e. non-decomposable and idiosyncratically decomposable) items of variable syntactic type in monolingual corpora.</S><S sid = NA ssid = NA>Bannard et al. (2003) extended this research in looking explicitly at the task of classifying verb-particles as being compositional or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-1812.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some of these are Frequency, Mutual Information (Church and Hanks, 1989), distributed frequency of object (Tapanainen et al, 1998) and LSA model (Baldwin et al, 2003) (Schutze, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The LSA model we built is similar to that described in (Sch¨utze, 1998).</S><S sid = NA ssid = NA>Our hypothesis of lesser instances of hyponymy for lower similarities is thus supported for low-frequency items but not for high-frequency items, suggesting that LSA similarities are more brittle over high-frequency items for this particular task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-1812.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An interesting way of quantifying the relative compositionality of a MWE is proposed by Baldwin, Bannard, Tanaka and Widdows (Baldwin et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>McCarthy et al. (2003) also targeted verb-particles for a study on compositionality, and judged compositionality according to the degree of overlap in the N most similar words to the verbparticle and head verb, e.g., to determine compositionality.</S><S sid = NA ssid = NA>Bannard et al. (2003) extended this research in looking explicitly at the task of classifying verb-particles as being compositional or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-1812.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They evaluate their model on English NN compounds and verb-particles, and showed that the model correlated moderately well with the Word net based decomposability theory (Baldwin et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated the method over English NN compounds and verbparticles, and showed it to correlate moderately with WordNet-based hyponymy values.</S><S sid = NA ssid = NA>We test the model over English noun-noun compounds and verb-particles, and evaluate its correlation with similarities and hyponymy values in WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-1812.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The LSA model we built is similar to that described in (Schutze, 1998) and (Baldwin et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The LSA model we built is similar to that described in (Sch¨utze, 1998).</S><S sid = NA ssid = NA>The similarity measures described above calculate the similarity between a pair of senses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-1812.txt | Citing Article:  W10-3704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank the anonymous reviewers for their valuable input on this research.</S><S sid = NA ssid = NA>We are not the first to consider applying LSA to MWEs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-1812.txt | Citing Article:  C10-2144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Katz and Giesbrecht (2006) and Baldwin et al (2003) use Latent Semantic Analysis for this purpose.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The particular similarity method we adopt is latent semantic analysis, or LSA (Deerwester et al., 1990).</S><S sid = NA ssid = NA>For this purpose, we used latent semantic analysis (LSA) to build a vector space model in which term-term similarities could be measured.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W03-1812.txt | Citing Article:  N04-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Baldwin et al, 2003) use WordNet: :Similarity to provide an evaluation tool for multi word expressions that are identified via Latent Semantic Analysis.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The particular similarity method we adopt is latent semantic analysis, or LSA (Deerwester et al., 1990).</S><S sid = NA ssid = NA>We use latent semantic analysis to determine the similarity between a multiword expression and its constituent words, and claim that higher similarities indicate greater decomposability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W03-1812.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baldwin et al (2003) proposed a LSA-based model for measuring the decomposability of MWEs by examining the similarity between them and their constituent words, with higher similarity indicating the greater decomposability.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use latent semantic analysis to determine the similarity between a multiword expression and its constituent words, and claim that higher similarities indicate greater decomposability.</S><S sid = NA ssid = NA>To summarise, we have proposed a constructioninspecific empirical model of MWE decomposability, based on latent semantic analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W03-1812.txt | Citing Article:  D11-1073.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baldwin et al (2003) investigate semantic decomposability of noun-noun compounds and verb constructions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We test the model over English noun-noun compounds and verb-particles, and evaluate its correlation with similarities and hyponymy values in WordNet.</S><S sid = NA ssid = NA>The results for NN(mod) are more erratic for both low- and highfrequency terms, that is the modifier noun is not as strong a predictor of decomposability as the head noun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W03-1812.txt | Citing Article:  W11-1310.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the above model, if a=0 and b=1, the resulting model is similar to that of Baldwin et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The LSA model we built is similar to that described in (Sch¨utze, 1998).</S><S sid = NA ssid = NA>An Empirical Model Of Multiword Expression Decomposability</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W03-1812.txt | Citing Article:  W06-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baldwin et al, (2003) focus more narrowly on distinguishing English noun-noun compound sand verb-particle constructions which are compositional from those which are not compositional.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We test the model over English noun-noun compounds and verb-particles, and evaluate its correlation with similarities and hyponymy values in WordNet.</S><S sid = NA ssid = NA>Bannard et al. (2003) extended this research in looking explicitly at the task of classifying verb-particles as being compositional or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W03-1812.txt | Citing Article:  W06-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To compare our method with that proposed by Baldwin et al (2003), we applied their method to our materials, generating LSA vectors for the component content words in our candidate MWEs and comparing their semantic similarity to theMWEs LSA vector as a whole, with the expectation being that low similarity between the MWE as a whole and its component words is indication of the non-compositionality of the MWE.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LSA is a method for representing words as points in a vector space, whereby words which are related in meaning should be represented by points which are near to one another, first developed as a method for improving the vector model for information retrieval (Deerwester et al., 1990).</S><S sid = NA ssid = NA>The particular similarity method we adopt is latent semantic analysis, or LSA (Deerwester et al., 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W03-1812.txt | Citing Article:  W06-1203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is some evidence (Baldwin et al, 2003) that part of speech tagging might improve results in this kind of task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bannard et al. (2003) extended this research in looking explicitly at the task of classifying verb-particles as being compositional or not.</S><S sid = NA ssid = NA>The appropriate granularity of syntactic classifications is an open question for this kind of research: treating all the possible verbs categories as different (e.g. distinguishing infinitive from finite from gerund forms) led to data sparseness, and instead we considered “verb” as a single part-of-speech type.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W03-1812.txt | Citing Article:  D09-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other approaches use Latent Semantic Analysis (LSA) to determine the similarity between a potential idiom and its components (Baldwin et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The particular similarity method we adopt is latent semantic analysis, or LSA (Deerwester et al., 1990).</S><S sid = NA ssid = NA>We use latent semantic analysis to determine the similarity between a multiword expression and its constituent words, and claim that higher similarities indicate greater decomposability.</S> | Discourse Facet:  NA | Annotator: Automatic


