Citance Number: 1 | Reference Article:  E09-1005.txt | Citing Article:  S10-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They presented a personalized PageRank algorithm over a graph constructed from WordNet similar to (Agirre and Soroa, 2009), with two variants.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S><S sid = NA ssid = NA>We follow the algorithm presented in (Agirre and Soroa, 2008), which we explain here for completeness.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  E09-1005.txt | Citing Article:  S10-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach uses the Personalized PageRank algorithm (Agirre and Soroa, 2009) over a graph representing WordNet to disambiguate ambiguous words by taking their context into consideration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S><S sid = NA ssid = NA>In this paper we present a novel graph-based WSD algorithm which uses the full graph of WordNet efficiently, performing significantly better that previously published approaches in English all-words datasets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  E09-1005.txt | Citing Article:  S10-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach uses the Personalized PageRank algorithm (Agirre and Soroa, 2009) with WordNet as the lexical knowledge base (LKB) to perform WSD.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an alternative to supervised systems, knowledge-based WSD systems exploit the information present in a lexical knowledge base (LKB) to perform WSD, without using any further corpus evidence.</S><S sid = NA ssid = NA>In this paper we propose a new graphbased method that uses the knowledge in a LKB (based on WordNet) in order to perform unsupervised Word Sense Disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  E09-1005.txt | Citing Article:  S10-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Tool: We used UKB tool 3 (Agirre and Soroa,2009) which provides an implementation of personalized PageRank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(1); and whenever a modified v is used, we will call it Personalized PageRank.</S><S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work has been partially funded by the EU Commission (project KYOTO ICT-2007-211423) and Spanish Research Department (project KNOW TIN2006-15049-C03-01).</S><S sid = NA ssid = NA>(1); and whenever a modified v is used, we will call it Personalized PageRank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Agirre and Soroa, 2009), a comparative analysis of different graph-based models over two well known WSD benchmarks is reported.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we will briefly describe some graph-based methods for knowledge-based WSD.</S><S sid = NA ssid = NA>These methods use well-known graph-based techniques to find and exploit the structural properties of the graph underlying a particular LKB.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, a variant called Personalized PageRank (PPR) is proposed (Agirre and Soroa, 2009) that tries to trade-off between the amount of the employed lexical information and the overall efficiency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S><S sid = NA ssid = NA>Section 5), and we also presented a variant in (Agirre and Soroa, 2008) but the second method is novel in WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Agirre and Soroa, 2009), a possible, and more accurate alternative, is also presented called PPRword2word (PPRw2w) where a different personalization vector is used for each word in a sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We follow the algorithm presented in (Agirre and Soroa, 2008), which we explain here for completeness.</S><S sid = NA ssid = NA>Section 5), and we also presented a variant in (Agirre and Soroa, 2008) but the second method is novel in WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The intuition is that distributional evidence is able to cover the gap between word oriented usages of the PPR as for the PPRw2w defined in (Agirre and Soroa, 2009), and its sentence oriented counterpart.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments we build a context of at least 20 content words for each sentence to be disambiguated, taking the sentences immediately before and after it in the case that the original sentence was too short.</S><S sid = NA ssid = NA>The results for the supervised system are given for reference, and we can see that the gap is relatively small, specially for Senseval3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many algorithms (as well as the one proposed by (Agirre and Soroa, 2009)) initialize the ranks of the vertex at a uniform value (usually 1/N for a graph with N vertices).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They also compare different graph-based centrality algorithms to rank the vertices of the complete graph.</S><S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to address the above problems, in line with the notion of topic-sensitive PageRank, a personalized PageRank approach has been recently devised (Agirre and Soroa, 2009) as discussed in the next section.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S><S sid = NA ssid = NA>(1); and whenever a modified v is used, we will call it Personalized PageRank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Agirre and Soroa, 2009), a novel use of PageRank for word sense disambiguation is presented.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Personalizing PageRank for Word Sense Disambiguation</S><S sid = NA ssid = NA>Section 5), and we also presented a variant in (Agirre and Soroa, 2008) but the second method is novel in WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The alternative proposed in (Agirre and Soroa, 2009) allows a more static use of the full LKB.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As mentioned before, personalized PageRank allows us to use the full LKB.</S><S sid = NA ssid = NA>As stated before, all methods presented here use some LKB for performing WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A word oriented version of the algorithm is also proposed in (Agirre and Soroa, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We follow the algorithm presented in (Agirre and Soroa, 2008), which we explain here for completeness.</S><S sid = NA ssid = NA>Section 5), and we also presented a variant in (Agirre and Soroa, 2008) but the second method is novel in WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This approach to the personalized PageRank is termed word-by-word or PPRw2w version in (Agirre and Soroa, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We first describe the PageRank and Personalized PageRank algorithms.</S><S sid = NA ssid = NA>Personalizing PageRank for Word Sense Disambiguation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The key idea in (Agirre and Soroa, 2009) is to adapt the matrix initialization step in order to exploit the available contextual evidence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The results on our datasets, when available, are shown in Table 2.</S><S sid = NA ssid = NA>As an alternative to supervised systems, knowledge-based WSD systems exploit the information present in a lexical knowledge base (LKB) to perform WSD, without using any further corpus evidence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  E09-1005.txt | Citing Article:  W10-2304.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In line with the results reported in (Agirre and Soroa, 2009), experiments against two different WordNet versions, 1.7 and 3.0, have been carried out.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In (Agirre and Soroa, 2008) we experiment with different LKBs formed by combining relations of different MCR versions along with relations extracted from SemCor, which we call supervised and unsupervised relations, respectively.</S><S sid = NA ssid = NA>Regarding LKBs, the best results are obtained using WordNet 1.7 and eXtended WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


