Citance Number: 1 | Reference Article:  W02-1502.txt | Citing Article:  I05-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','120'] | Reference Text:  <S sid = 59 ssid = >Work is also progressing on establishing a standard relational database (using PostgreSQL) for storing information for the lexical entries themselves, improving both scalability and clarity compared to the current simple text file representation.</S><S sid = 120 ssid = >Warmest thanks to Lars Hellan and his colleagues at NTNU and Jan Tore Lønning and his students at Oslo University for their cooperation, patience, and tolerance.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-1502.txt | Citing Article:  P06-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To better understand the needs of grammar developers we carefully explored two existing grammars: the LINGO grammar matrix (Bender et al,2002), which is a basis grammar for the rapid development of cross-linguistically consistent grammars; and a grammar of a fragment of Modern Hebrew, focusing on inverted constructions (Melnik, 2006).</S> | Reference Offset:  ['0','12'] | Reference Text:  <S sid = 0 ssid = >The Grammar Matrix: An Open-Source Starter-Kit For The Rapid Development Of Cross-Linguistically Consistent Broad-Coverage Precision Grammars</S><S sid = 12 ssid = >As part of the LinGO consortium’s multi-lingual grammar engineering effort, we are developing a ‘grammar matrix’ or starter-kit, distilling the wisdom of existing grammars and codifying and documenting it in a form that can be used as the basis for new grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-1502.txt | Citing Article:  P10-4001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The LinGO Grammar Matrix project (Bender et al., 2002) is situated within the DELPH-IN2 collaboration and is both a repository of reusable linguistic knowledge and a method of delivering this knowledge to a user in the form of an extensible precision implemented grammar.</S> | Reference Offset:  ['12','95'] | Reference Text:  <S sid = 12 ssid = >As part of the LinGO consortium’s multi-lingual grammar engineering effort, we are developing a ‘grammar matrix’ or starter-kit, distilling the wisdom of existing grammars and codifying and documenting it in a form that can be used as the basis for new grammars.</S><S sid = 95 ssid = >User feedback will already come in the form of case studies for the library as discussed in Section 5 above, but also potentially in proposals for modification of the matrix drawing on experiences in grammar development.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-1502.txt | Citing Article:  W10-3219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We share grammar libraries with the Grammar Matrix in the grammar (Bender et al, 2002) as the foundation of KRG2.</S> | Reference Offset:  ['84','112'] | Reference Text:  <S sid = 84 ssid = >The matrix itself is not a grammar but a collection of generalizations across grammars.</S><S sid = 112 ssid = >The matrix enables the developer of a grammar for a new language to get a quick start on producing a system that parses and generates with non-trivial semantics, while also building the foundation for a widecoverage grammar of the language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-1502.txt | Citing Article:  W10-1826.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','120'] | Reference Text:  <S sid = 59 ssid = >Work is also progressing on establishing a standard relational database (using PostgreSQL) for storing information for the lexical entries themselves, improving both scalability and clarity compared to the current simple text file representation.</S><S sid = 120 ssid = >Warmest thanks to Lars Hellan and his colleagues at NTNU and Jan Tore Lønning and his students at Oslo University for their cooperation, patience, and tolerance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-1502.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To this end, the Grammar Matrix project (Bender et al, 2002) has been developed which, through a set of questionnaires, allows grammar engineers to quickly produce a core grammar for a language of their choice.</S> | Reference Offset:  ['14','89'] | Reference Text:  <S sid = 14 ssid = >We have produced a preliminary version of the grammar matrix relying heavily on the LinGO project’s English Resource Grammar, and to a lesser extent on the Japanese grammar developed jointly between DFKI Saarbr¨ucken (Germany) and YY Technologies (Mountain View, CA).</S><S sid = 89 ssid = >This evaluation in detail should be paired with feedback from the grammar engineers to determine why changes were made.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-1502.txt | Citing Article:  W06-1620.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this research, we focus particularly on the Grammar Matrix-based DELPH-IN family of grammars (Bender et al, 2002), which includes grammars of English, Japanese, Norwegian, Modern Greek, Portuguese and Korean.</S> | Reference Offset:  ['3','56'] | Reference Text:  <S sid = 3 ssid = >In HPSG, the most extensive grammars are those of English (Flickinger, 2000), German (M¨uller & Kasper, 2000), and Japanese (Siegel, 2000; Siegel & Bender, 2002).</S><S sid = 56 ssid = >Extensions to the matrix will be based on careful study of existing implemented grammars for other languages, notably German, Spanish and Japanese, as well as feedback from those using the first version of the matrix.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-1502.txt | Citing Article:  W08-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['59','120'] | Reference Text:  <S sid = 59 ssid = >Work is also progressing on establishing a standard relational database (using PostgreSQL) for storing information for the lexical entries themselves, improving both scalability and clarity compared to the current simple text file representation.</S><S sid = 120 ssid = >Warmest thanks to Lars Hellan and his colleagues at NTNU and Jan Tore Lønning and his students at Oslo University for their cooperation, patience, and tolerance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-1502.txt | Citing Article:  W12-4203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, developing such grammars has been made much more efficient with the emergence of the Grammar Matrix (Bender et al,2002).</S> | Reference Offset:  ['12','84'] | Reference Text:  <S sid = 12 ssid = >As part of the LinGO consortium’s multi-lingual grammar engineering effort, we are developing a ‘grammar matrix’ or starter-kit, distilling the wisdom of existing grammars and codifying and documenting it in a form that can be used as the basis for new grammars.</S><S sid = 84 ssid = >The matrix itself is not a grammar but a collection of generalizations across grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


