Citance Number: 1 | Reference Article:  P06-1032.txt | Citing Article:  P07-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The phrasal Statistical Machine Translation (SMT) technique is employed to identify and correct writing errors (Brockett et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a pilot study of the use of phrasal Statistical Machine Translation (SMT) techniques to identify and correct writing errors made by learners of English as a Second Language (ESL).</S><S sid = NA ssid = NA>In this paper, we explore the use of a large-scale production statistical machine translation system to correct a class of ESL errors.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1032.txt | Citing Article:  W11-1412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also thank the Butler Hill Group for collecting the examples in our test set.</S><S sid = NA ssid = NA>3 Countability errors involving these words are scattered across 46 sentences in the CLEC corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1032.txt | Citing Article:  C10-2157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brockett et al (2006) showed that phrase-based statistical MT can help to correct mistakes made on mass nouns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we focus on countability errors associated with mass nouns.</S><S sid = NA ssid = NA>Instead, wholesale replacement of the phrase knew many informations with the phrase learned a lot is needed to produce idiomatic-sounding output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1032.txt | Citing Article:  C10-2157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to our approach, Brockettet al (2006) view error correction as a Machine Translation problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In fact, the approach presented here benefits from all the advantages of statistical machine translation.</S><S sid = NA ssid = NA>In particular, the SMT approach provides a natural mechanism for suggesting a correction, rather than simply stranding the user with a flag indicating that the text contains an error.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1032.txt | Citing Article:  W09-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that our approach is different from that of Brockett et al (2006), as we do make use of a truly multi-lingual translation model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we show that a noisy channel model instantiated within the paradigm of Statistical Machine Translation (SMT) (Brown et al., 1993) can successfully provide editorial assistance for non-native writers.</S><S sid = NA ssid = NA>In fact, the approach presented here benefits from all the advantages of statistical machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1032.txt | Citing Article:  P11-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brockett et al (2006) uses phrasal SMT techniques to identify and correct mass noun errors of ESL students.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Correcting ESL Errors Using Phrasal SMT Techniques</S><S sid = NA ssid = NA>This paper presents a pilot study of the use of phrasal Statistical Machine Translation (SMT) techniques to identify and correct writing errors made by learners of English as a Second Language (ESL).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1032.txt | Citing Article:  N07-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some researchers explicitly focus on individual classes of errors, e.g., mass vs count nouns in (Brockett et al, 2006) and (Nagata et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we focus on countability errors associated with mass nouns.</S><S sid = NA ssid = NA>This class of errors (involving nouns that cannot be counted, such as information, pollution, and homework) is characteristically encountered in ESL writing by native speakers of several East Asian languages (Dalgish, 1983; Hua & Lee, 2004).1 We began by identifying a list of English nouns that are frequently involved in mass/count errors in by writing by Chinese ESL learners, by taking the intersection of words which: 2 CLEC tagging is not comprehensive; some common mass noun errors (e.g., make a good progress) are not tagged in this corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1032.txt | Citing Article:  D10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brockett et al (2006) employed phrasal Statistical Machine Translation (SMT) techniques to correct countability errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a pilot study of the use of phrasal Statistical Machine Translation (SMT) techniques to identify and correct writing errors made by learners of English as a Second Language (ESL).</S><S sid = NA ssid = NA>Correcting ESL Errors Using Phrasal SMT Techniques</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1032.txt | Citing Article:  D10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brockett et al (2006) propose the use of the phrasal statistical machine translation (SMT) technique to identify and correct ESL errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a pilot study of the use of phrasal Statistical Machine Translation (SMT) techniques to identify and correct writing errors made by learners of English as a Second Language (ESL).</S><S sid = NA ssid = NA>In this paper, we explore the use of a large-scale production statistical machine translation system to correct a class of ESL errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1032.txt | Citing Article:  D10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To construct the training corpus, we followed the idea in Brockett et al (2006), and applied a similar strategy described in section 3.4 to the SRL system's training data to generate aligned pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Linearity of the training data may play a role, since the sentence pairs differ by only a few words.</S><S sid = NA ssid = NA>On the whole, however, we expect the system’s order model to benefit from more training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1032.txt | Citing Article:  D11-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Because of the great flexibility of the log-linear model, researchers have used the framework for other tasks outside SMT, including grammatical error correction (Brockett et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we show that a noisy channel model instantiated within the paradigm of Statistical Machine Translation (SMT) (Brown et al., 1993) can successfully provide editorial assistance for non-native writers.</S><S sid = NA ssid = NA>Exploration of error correction and writing assistance using SMT models may thus prove an important venue for testing new SMT models.</S> | Discourse Facet:  NA | Annotator: Automatic


