Citance Number: 1 | Reference Article:  P02-1039.txt | Citing Article:  W04-1513.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In comparison, in (Yamada and Knight, 2002), which was a phrasal structure based statistical MT system for Chinese to English translation, the Bleu score reported for short sentences (less than 14 words) is 0.099 to 0.102.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Decoder For Syntax-Based Statistical MT</S><S sid = NA ssid = NA>We selected 347 short sentences (less than 14 words in the reference English translation) from the held-out portion of the corpus, and they were used for evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P02-1039.txt | Citing Article:  P06-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Yamada and Knight, 2002) propose a syntax-based decoder that restrict word reordering based on reordering operations on syntactic parse-trees of the input sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Therefore, the TM could not take advantage of syntactic reordering operations.</S><S sid = NA ssid = NA>The syntax-based TM defined by (Yamada and Knight, 2001) assumes an English parse tree as a channel input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1039.txt | Citing Article:  W03-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yamada and Knight (2002) presents a decoder for syntax-based MT that uses so-called phrasal translation units that correspond to blocks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Decoder For Syntax-Based Statistical MT</S><S sid = NA ssid = NA>This paper describes a decoding algorithm for a syntax-based translation model (Yamada and Knight, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1039.txt | Citing Article:  W07-0735.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As an alternative option to our verb-modifier experiments, structured language models (Chelba and Jelinek, 1998) might be considered to improve clause coherence, until full-featured syntax-based MT models (Yamada and Knight (2002), Eisner (2003), Chiang (2005) among many others) are tested when translating to morphologically rich languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Decoder For Syntax-Based Statistical MT</S><S sid = NA ssid = NA>In contrast to the IBM models, which are word-to-word models, the syntax-based model works on a syntactic parse tree, so the decoder builds up an English parse tree given a sentencein a foreign language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1039.txt | Citing Article:  P05-3025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It follows the decoding-as-parsing idea exemplified by Wu (1996) and Yamada and Knight (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Yamada, 2002) for details.</S><S sid = NA ssid = NA>Section 4 presents the basic idea for decoding.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1039.txt | Citing Article:  D09-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This model is then decoded as described in (Yamada and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>See (Yamada, 2002) for details.</S><S sid = NA ssid = NA>This paper describes a decoding algorithm for a syntax-based translation model (Yamada and Knight, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1039.txt | Citing Article:  P03-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For reasons of speed, Yamada and Knight (2002) limited training to sentences of length 30, and were able to use only one fifth of the available Chinese-English parallel corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To find good pairs of sentences in the corpus, we used the following: 1) Both English and Chinese sentences end with a period.</S><S sid = NA ssid = NA>We used a Chinese-English translation corpus for the experiment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1039.txt | Citing Article:  W12-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One way to approach reordering is by extending the translation model, either by adding extra models, such as lexicalized (Koehn et al, 2005) or discriminative (Zens and Ney, 2006) reordering models or by directly modelling reordering in hierarchical (Chiang, 2007) or syntactical translation models (Yamada and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is because the reordering probability is always 1.</S><S sid = NA ssid = NA>Third, it uses more frequent node reordering than it should.</S> | Discourse Facet:  NA | Annotator: Automatic


