Citance Number: 1 | Reference Article:  J91-4003.txt | Citing Article:  W91-0206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I would like to thank the following for comments on earlier drafts of this paper: Peter Anick, Sabine Bergler, Bran Boguraev, Ted Briscoe, Noam Chomsky, Bob Ingria, George Miller, Sergei Nirenburg, and Rich Thomason.</S><S sid = NA ssid = NA>What exactly would a method for lexical decomposition give us?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J91-4003.txt | Citing Article:  N03-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>CoreLex is based on a different theory than Levin's (that of the generative lexicon (Pustejovsky, 1991)), but does provide a compatible decompositional meaning representation for nouns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Generative Lexicon</S><S sid = NA ssid = NA>What we are led to, therefore, is a generative theory of word meaning, but one very different from the generative semantics of the 1970s.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J91-4003.txt | Citing Article:  P96-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Generative Lexicon (Pustejovsky, 1991), for example have been proposed to facilitate computationally precise description of natural language syntax and semantics.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Generative Lexicon</S><S sid = NA ssid = NA>Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J91-4003.txt | Citing Article:  C96-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The idea that noun meaning involves event-based description has been particularly emphasized by J. Pustejovsky (1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One level of semantic description involves an event-based interpretation of a word or phrase.</S><S sid = NA ssid = NA>Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J91-4003.txt | Citing Article:  C96-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This semantic framework demonstrates that the association between nominal constituents and underlying predicative relation in root compounds is not arbitrary: it involves conceptual mechanisms that are triggered in other linguistic phenomena such as type coercion (Pustejovsky, 1991), anaphora (Fradin, 1984) or adjectival constructions (Bouillon and Viegas, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>I suggest that these are cases of semantic type coercion (cf.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J91-4003.txt | Citing Article:  C96-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Such compounds illustrate the notion of co-compositionality (Pustejovsky 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>For a full discussion, see Pustejovsky (1988, 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J91-4003.txt | Citing Article:  W11-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pustejovsky (1991) refers to this kind of relation as co specification i.e. like verb can select for its argument type, an argument also can select its associated predicates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, just as a verb can select for an argument-type, we can imagine that an argument is itself able to select the predicates that govern it.</S><S sid = NA ssid = NA>As these examples illustrate, the syntactic argument to a verb is not always the same logical argument in the semantic relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J91-4003.txt | Citing Article:  W11-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The associated predicate information is included in the qualia structure of a lexical item (Pustejovsky, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>The essential opposition denoted by a predicate forms part of what I will call the qualia structure of that lexical item.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J91-4003.txt | Citing Article:  W11-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>I declare that Korean common nouns have both the RESTR (ICTION) for normal semantics and the QUALIA-ST (RUCTURE), which in turn has the AGENTIVE and TELIC attributes, adopting the basic idea from Pustejovsky (1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>The basic idea I will pursue is the following.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J91-4003.txt | Citing Article:  W11-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The VPs with the verbs start or finish (see Pustejovsky, 1991) can also be accounted for using the qualia structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>Example 5 The exact meaning of the verb finish varies depending on the object it selects, assuming for these examples the meanings finish smoking or finish drinking.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J91-4003.txt | Citing Article:  W94-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The vast space between these two extremes can still be explained in terms of compositional principles with mechanisms from GLT such as type coercion and sub selection (Pustejovsky, 1991, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>I will argue that such degrees of salience or coherence relations can be explained in structural terms by examining a network of related lexical items.&quot; I will illustrate the distinction between these mechanisms by considering the two sentences in Example 58, and their relative prototypicality. a.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J91-4003.txt | Citing Article:  W94-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Generative Lexicon Theory (GLT) (Pustejovsky, 1991, 1994c) can be said to take advantage of both linguistic and conceptual approaches, providing a framework which arose from the integration of linguistic studies and of techniques found in AI.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Generative Lexicon</S><S sid = NA ssid = NA>Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J91-4003.txt | Citing Article:  W02-0804.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The basic sense originates derived usages, which are more or less constrained and limited, via metonymy, metaphor, slight sense-shiftings or co-composition (Pustejovsky, 1991, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These interpretations are all derived from a single word sense for fast.</S><S sid = NA ssid = NA>Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J91-4003.txt | Citing Article:  W96-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, SEMANTIC COLLOCATIONS like long book derive their particular meaning from the recovery in context of parameters for events and other entities (Pustejovsky, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>Thus, we can derive both word senses of verbs like bake by putting some of the semantic weight on the NP.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J91-4003.txt | Citing Article:  W08-2210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We are investigating the use of principles of the Generative Lexicon (Pustejovsky 1991) for that purpose.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Generative Lexicon</S><S sid = NA ssid = NA>Pustejovsky 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J91-4003.txt | Citing Article:  P07-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Qualia structures have been originally introduced by (Pustejovsky, 1991) and are used for a variety of purposes in natural language processing (NLP).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pustejovsky 1991).</S><S sid = NA ssid = NA>Likewise, computational research can profit from an awareness of the grammatical and syntactic distinctions of lexical items; natural language processing systems must account for these differences in their lexicons and grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


