Citance Number: 1 | Reference Article:  D07-1061.txt | Citing Article:  W08-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We further note that our results are different from that of (Hughes and Ramage, 2007) as they use extensive feature engineering and weight tuning during the graph generation process that we have not been able to reproduce.</S> | Reference Offset:  ['201','252'] | Reference Text:  <S sid = 201 ssid = >Note thatin the limit as ? ?</S><S sid = 252 ssid = >Note that ZKL?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  D07-1061.txt | Citing Article:  P10-2068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hughes and Ramage (2007) use random walks over WordNet, incorporating information such as meronymy and dictionary glosses.</S> | Reference Offset:  ['0','47'] | Reference Text:  <S sid = 0 ssid = >Lexical Semantic Relatedness with Random Graph Walks</S><S sid = 47 ssid = >glosses in the taxonomy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1061.txt | Citing Article:  W11-0149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1061.txt | Citing Article:  N09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our similarity method is similar, but simpler, to that used by (Hughes and Ramage, 2007), which report very good results on similarity datasets.</S> | Reference Offset:  ['33','243'] | Reference Text:  <S sid = 33 ssid = >The similarity scores produced by our method are, to our knowledge, the WordNet-based scores most highly correlated with human judgments.</S><S sid = 243 ssid = >We used the WordNet::Similarity package (Pedersen et al, 2004) to compute baseline scores for several existing measures, noting that one word pair was not processed in WS-353 because one of the words was missing from WordNet.The results are summarized in Table 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1061.txt | Citing Article:  N09-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1061.txt | Citing Article:  P13-1155.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, (Hughes and Ramage, 2007) used random walks on Wordnet graph to measure lexical semantic relatedness between words.</S> | Reference Offset:  ['0','58'] | Reference Text:  <S sid = 0 ssid = >Lexical Semantic Relatedness with Random Graph Walks</S><S sid = 58 ssid = >In this paper, we in troduce a measure of semantic relatedness based on thedivergence of the distinct stationary distributions result ing from random walks centered at different positions in the word graph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1061.txt | Citing Article:  W11-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As for Personalized PageRank, it was used for word sense disambiguation (Agirre and Soroa, 2009), and for measuring lexical relatedness of words in a graph built from WordNet (Hughes and Ramage, 2007).</S> | Reference Offset:  ['0','64'] | Reference Text:  <S sid = 0 ssid = >Lexical Semantic Relatedness with Random Graph Walks</S><S sid = 64 ssid = >WordNet is itself a graph over synsets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1061.txt | Citing Article:  P13-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As can be seen from the Table, our approach with the Weighted Overlap signature comparison improves over the similar approach of Hughes and Ramage (2007) which, however, does not involve the disambiguation step and considers a word as a whole unit as represented by the set of its senses.</S> | Reference Offset:  ['108','223'] | Reference Text:  <S sid = 108 ssid = >We also add bi-directional edges between Synsets whose word senses overlap with a common TokenPOS.</S><S sid = 223 ssid = >ZKL does not have this property.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1061.txt | Citing Article:  P13-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1061.txt | Citing Article:  N12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike some approach like (Hughes and Ramage, 2007), which performs well on some datasets but poorly on others, combing the VSMs from heterogeneous sources is more robust.</S> | Reference Offset:  ['89','261'] | Reference Text:  <S sid = 89 ssid = >Hence a walk starting at a com mon word like ?cat?</S><S sid = 261 ssid = >ZKL?s performance improves with tuning of gamma, but cosine similarity remained the more robust measure for these distributions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1061.txt | Citing Article:  N12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['93','274'] | Reference Text:  <S sid = 93 ssid = >In order for our graph construction to incorporatetextual gloss-based information, we also create uni directional edges from Synset nodes to the TokenPOS nodes for the words and collocations used in that synset?s gloss definition.</S><S sid = 274 ssid = >588</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1061.txt | Citing Article:  W12-4104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Graph-based methods have been successfully applied to evaluate word similarity using available ontologies, where the underlying graph included word senses and semantic relationships between them (Hughes and Ramage, 2007).</S> | Reference Offset:  ['2','48'] | Reference Text:  <S sid = 2 ssid = >Standard thesaurus-based measures of word pair similarity are based on only a single path between those words in the thesaurus graph.</S><S sid = 48 ssid = >As a result, these gloss-based methods measure relatedness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1061.txt | Citing Article:  D08-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, Hughes and Ramage (2007) constructed a graph which represented various types of word relations from WordNet, and compared random-walk similarity to similarity assessments from human subject trials.</S> | Reference Offset:  ['64','66'] | Reference Text:  <S sid = 64 ssid = >WordNet is itself a graph over synsets.</S><S sid = 66 ssid = >For instance, different senses of the word ?bank?</S> | Discourse Facet:  NA | Annotator: Automatic


