Citance Number: 1 | Reference Article:  J10-3003.txt | Citing Article:  P11-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For a more extensive survey on paraphrasing methods, see Androutsopoulos and Malakasiotis (2010) and Madnani and Dorr (2010).</S> | Reference Offset:  ['0','456'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 456 ssid = >Kok and Brockett (2010) present a novel take on generating phrasal paraphrases with bilingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J10-3003.txt | Citing Article:  W12-2009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Paraphrase generation, on the other hand, has been an area of active research and the related work has been thoroughly surveyed in Androutsopoulos and Malakasiotis (2010) as well as in Madnani and Dorr (2010).</S> | Reference Offset:  ['523','565'] | Reference Text:  <S sid = 523 ssid = >In general, building paraphrase corpora, whether it is done at the sentence level or at the sub-sentential level, is extremely useful for the fostering of further research and development in the area of paraphrase generation.</S><S sid = 565 ssid = >We identify several such trends in the area of paraphrase generation that are gathering momentum.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J10-3003.txt | Citing Article:  N12-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A much more detailed discussion on the use of paraphrases and ways to extract them is given in (Madnani and Dorr, 2010).</S> | Reference Offset:  ['84','116'] | Reference Text:  <S sid = 84 ssid = >In fact, any given source sentence can often be translated into the target language in many valid ways.</S><S sid = 116 ssid = >However, given the interesting and diverse work that has been done in both these areas, we feel that any significant discussion beyond the treatment above merits a separate, detailed survey.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J10-3003.txt | Citing Article:  W11-2128.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Madnani and Dorr (2010) for a good paraphrasing survey.</S> | Reference Offset:  ['51','470'] | Reference Text:  <S sid = 51 ssid = >Also note that we only discuss those paraphrasing techniques that can generate the types of paraphrases under examination in this survey: phrasal and sentential.</S><S sid = 470 ssid = >These feature nodes represent domain-specific knowledge of what would make good paraphrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J10-3003.txt | Citing Article:  P11-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More comprehensive surveys of data-driven paraphrasing techniques can be found in Androutsopoulos and Malakasiotis (2010) and Madnani and Dorr (2010).</S> | Reference Offset:  ['0','8'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 8 ssid = >In this article, we attempt to conduct a comprehensive and application-independent survey of data-driven phrasal and sentential paraphrase generation methods, while also conveying an appreciation for the importance and potential use of paraphrases in the field of NLP research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J10-3003.txt | Citing Article:  P11-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As Madnani and Dorr (Madnani and Dorr, 2010) suggested, it would be beneficial to the research community to develop a standard, shared evaluation that would act to catalyze further advances and encourage more meaningful comparative evaluations of such approaches moving forward.</S> | Reference Offset:  ['553','595'] | Reference Text:  <S sid = 553 ssid = >However, for other approaches that do not necessarily operate at the level of sentences and cannot produce any alignments, falling back on estimates of traditional formulations of precision and recall is suggested.</S><S sid = 595 ssid = >We also believe that a large-scale annual community-wide evaluation should become a trend since it is required to foster further research in, and use of, paraphrase extraction and generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J10-3003.txt | Citing Article:  W11-2701.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >they assume that the same paraphrase generation resources (Madnani and Dorr, 2010), for example paraphrasing rules, that some abstractive sentence compressors (including ours) use always produce acceptable paraphrases, which is not the case as discussed below.</S> | Reference Offset:  ['543','556'] | Reference Text:  <S sid = 543 ssid = >Since the evaluation of paraphrases is essentially the task of measuring semantic similarity or of paraphrase recognition, all of those metrics, including the ones discussed in Section 2, can be employed here.</S><S sid = 556 ssid = >The paraphrase-annotated corpus discussed in the previous section would also fall under this category of resources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J10-3003.txt | Citing Article:  W12-0110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Paraphrase generation methods that operate both on a single monolingual corpus or on parallel corpus are discussed by Madnani and Dorr 2010.</S> | Reference Offset:  ['130','137'] | Reference Text:  <S sid = 130 ssid = >The input corpus is usually a single or set of monolingual corpora (parallel or non-parallel).</S><S sid = 137 ssid = >In this section, we concentrate on paraphrase generation methods that operate on a single monolingual corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J10-3003.txt | Citing Article:  D11-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Synonym extraction (Wu and Zhou, 2003), lexical substitution (McCarthy and Navigli, 2007) and paraphrasing (Madnani and Dorr, 2010) are related to collocation correction in the sense that they try to find semantically equivalent words or phrases.</S> | Reference Offset:  ['389','424'] | Reference Text:  <S sid = 389 ssid = >Using bilingual parallel corpora for paraphrasing has the inherent advantage that sentences in the other language are exactly semantically equivalent to sentences in the intended paraphrasing language.</S><S sid = 424 ssid = >Before we continue, we believe it would be useful to draw a connection between Bannard and Callison-Burch’s (2005) work and that of Wu and Zhou (2003) as discussed in Section 3.2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J10-3003.txt | Citing Article:  D12-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Because equivalence is the most fundamental semantic relationship, techniques for generating and recognizing paraphrases play an important role in a wide range of natural language processing tasks (Madnani and Dorr, 2010).</S> | Reference Offset:  ['2','102'] | Reference Text:  <S sid = 2 ssid = >Moreover, the task of automatically generating or extracting semantic equivalences for the various units of language— words, phrases, and sentences—is an important part of natural language processing (NLP) and is being increasingly employed to improve the performance of several NLP applications.</S><S sid = 102 ssid = >The task of recognizing entailment is an application-independent task and has important ramifications for almost all other language processing tasks that can derive benefit from some form of applied semantic inference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J10-3003.txt | Citing Article:  W11-2504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Data-driven paraphrase acquisition techniques can be categorized by the type of data that they use (Madnani and Dorr,2010).</S> | Reference Offset:  ['0','568'] | Reference Text:  <S sid = 0 ssid = >Generating Phrasal and Sentential Paraphrases: A Survey of Data-Driven Methods</S><S sid = 568 ssid = >The (relatively) freely available Web data, massive in scale, has already had a definite influence over data-intensive techniques such as those employed for paraphrase generation (Pas¸ca and Dienes 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J10-3003.txt | Citing Article:  W12-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A detailed survey of paraphrase generation techniques can be found in (Androutsopoulos and Malakasiotis, 2010) and (Madnani and Dorr, 2010).</S> | Reference Offset:  ['5','10'] | Reference Text:  <S sid = 5 ssid = >We also discuss the strategies used for evaluating paraphrase generation techniques and briefly explore some future trends in paraphrase generation.</S><S sid = 10 ssid = >We also discuss the strategies used for evaluating paraphrase generation techniques and briefly explore some future trends in paraphrase generation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J10-3003.txt | Citing Article:  D12-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sub-sentential paraphrases can be acquired from text pairs expressing the same meaning (Madnani and Dorr, 2010).</S> | Reference Offset:  ['93','361'] | Reference Text:  <S sid = 93 ssid = >Two examples of such applications are text-to-text generation and information extraction.</S><S sid = 361 ssid = >As far as the quality of acquired paraphrases is concerned, this approach easily outperforms almost all other sentential paraphrasing approaches surveyed in this article.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J10-3003.txt | Citing Article:  D12-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Over the years, paraphrase acquisition and generation have attracted a wealth of research works that are too many to adequatly summarize here: (Madnani and Dorr, 2010) presents a complete and up to-date review of the main approaches.</S> | Reference Offset:  ['337','387'] | Reference Text:  <S sid = 337 ssid = >Algorithm 4 shows some details of how their technique works.</S><S sid = 387 ssid = >Recent research in paraphrase generation has attempted to leverage these very large bilingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J10-3003.txt | Citing Article:  W11-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The wide variety of techniques for acquiring phrasal paraphrases, which can subsequently be used by text paraphrasing techniques (Madnani and Dorr, 2010), the inherent polysemy of such linguistic units and the pragmatic constraints on their uses make it impossible to ensure that potential paraphrase pairs will be substitutable in any context, an observation which was already made at a lexical level (Zhao et al., 2007).</S> | Reference Offset:  ['48','577'] | Reference Text:  <S sid = 48 ssid = >Before describing the techniques used for paraphrasing, it is essential to examine the broader context of the application of paraphrases.</S><S sid = 577 ssid = >Phrasal paraphrase pairs are extracted separately from all six models and then combined in a log-linear paraphrasing-as-translation model proposed by Madnani et al. (2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J10-3003.txt | Citing Article:  P11-2069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The acquisition of sub-sentential paraphrases has attracted a lot of attention recently (Madnani and Dorr,2010).</S> | Reference Offset:  ['40','438'] | Reference Text:  <S sid = 40 ssid = >In this survey, we will be restricting our discussion to only automatic acquisition of phrasal paraphrases (including paraphrastic patterns) and on generation of sentential paraphrases.</S><S sid = 438 ssid = >Madnani et al. (2008a) combine the pivot-based approach to paraphrase acquisition with a well-defined English-to-English translation model that is then used in an (unmodified) SMT system, yielding sentential paraphrases by means of “translating” input English sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


