Citance Number: 1 | Reference Article:  J98-4003.txt | Citing Article:  W99-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Knight and Graehl (1998) proposed a Japanese-English transliteration method based on the mapping probability between English and Japanese katakana sounds.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, Japanese has no distinct L and R. sounds: the two English sounds collapse onto the same Japanese sound.</S><S sid = NA ssid = NA>This is an inherently information-losing process, as English R and L sounds collapse onto Japanese r, the 14 English vowel sounds collapse onto the 5 Japanese vowel sounds, etc.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J98-4003.txt | Citing Article:  W10-2401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>phoneme based method (Knight and Graehl, 1998) makes use of phonetic correspondence to generate the transliteration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Phonetic translation across these pairs is called transliteration.</S><S sid = NA ssid = NA>The information-losing aspect of transliteration makes it hard to invert.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-4003.txt | Citing Article:  D12-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Systematic relationships between pairs of strings are at the core of problems such as transliteration (Knight and Graehl, 1998), morphology (Dreyer and Eisner, 2011), cross-document coreference resolution (Bagga and Baldwin, 1998), canonicalization (Culotta et al2007), and paraphrasing (Barzilay and Lee, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Phonetic translation across these pairs is called transliteration.</S><S sid = NA ssid = NA>Yamron et al. (1994) briefly mention a pattern-matching approach, while Arbabi et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-4003.txt | Citing Article:  D11-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our terminology is based on studies on machine transliteration (Knight and Graehl, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Machine Transliteration</S><S sid = NA ssid = NA>Note that long Japanese vowel sounds Knight and Graehl Machine Transliteration are written with two symbols (a a) instead of just one (aa).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-4003.txt | Citing Article:  N06-2042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Transliteration (Knight and Graehl, 1998) is a mapping from one system of writing into another, automation of which has been actively studied be tween English and other languages such as Arabic, Chinese, Korean, Thai, and Japanese.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is also interesting to consider transliteration for other languages.</S><S sid = NA ssid = NA>However, the situation is more complicated for language pairs that employ very different alphabets and sound systems, such as Japanese/English and Arabic/English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-4003.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Knight and Graehl (1998) model the transliteration of Japanese syllabic katakana script into English with a sequence of finite-state transducers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We may also consider changes to the model sequence itself.</S><S sid = NA ssid = NA>Next comes the POO model, which produces a 28-state/31-arc WFSA whose highest-scoring sequence is: masutaazutoochimento Next comes P(elj), yielding a 62-state/241-arc WFSA whose best sequence is: Next to last comes P(w le), which results in a 2982-state/4601-arc WFSA whose best sequence (out of roughly three hundred million) is: masters tone am ent awe This English string is closest phonetically to the Japanese, but we are willing to trade phonetic proximity for more sensical English; we rescore this WFSA by composing it with P(w) and extract the best translation: Other Section 1 examples (aasudee and robaato shyoon renaado) are translated correctly as earth day and robert sean leonard.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-4003.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike the transducers proposed in (Stalls and Knight, 1998) and (Knight and Graehl, 1998) no attempt is made to model the pronunciation of words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that long Japanese vowel sounds Knight and Graehl Machine Transliteration are written with two symbols (a a) instead of just one (aa).</S><S sid = NA ssid = NA>So this model also serves to filter out some ill-formed katakana sequences, possibly proposed by optical character recognition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-4003.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The seen test is similar to tests run in (Knight and Graehl, 1998) and (Stalls and Knight, 1998) where the models could not produce any words not included in the language.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It ports easily to new language pairs; the P(w) and P(ejw) models are entirely reusable, while other models are learned automatically.</S><S sid = NA ssid = NA>Note that long Japanese vowel sounds Knight and Graehl Machine Transliteration are written with two symbols (a a) instead of just one (aa).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-4003.txt | Citing Article:  P07-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lee and Chang (2003) detect transliterations with a generative noisy channel transliteration model similar to the transducer presented in (Knight and Graehl, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This method uses a generative model, incorporating several distinct stages in the transliteration process.</S><S sid = NA ssid = NA>This method uses a generative model, incorporating several distinct stages in the transliteration process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-4003.txt | Citing Article:  P09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One area is the generative transliteration modeling (Knight and Graehl, 1998), which studies how to convert a word from one language to another using statistical models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have performed two large-scale experiments, one using a full-language P(w) model, and one using a personal name language model.</S><S sid = NA ssid = NA>Fortunately, there are techniques for coordinating solutions to such subproblems, and for using generative models in the reverse direction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J98-4003.txt | Citing Article:  P09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example Knight and Graehl (1998) use the lexicon frequency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that long Japanese vowel sounds Knight and Graehl Machine Transliteration are written with two symbols (a a) instead of just one (aa).</S><S sid = NA ssid = NA>The biggest problem is that raw English frequency counts are not the best indication of whether a word is a possible source for transliteration.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J98-4003.txt | Citing Article:  P09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>If source and target languages have different phoneme sets, alignment between the different phonemes is also required (Knight and Graehl, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is challenging to translate names and technical terms across languages with different alphabets and sound inventories.</S><S sid = NA ssid = NA>It is challenging to translate names and technical terms across languages with different alphabets and sound inventories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J98-4003.txt | Citing Article:  P09-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Instead of using the lexicon frequency (Knight and Graehl, 1998) or Web statistics (Qu and Grefenstette, 2004), we propose validating transliteration pairs according to the alignment distance D between the aligned English graphemes and Chinese phonemes (see equations (2) and (5)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that long Japanese vowel sounds Knight and Graehl Machine Transliteration are written with two symbols (a a) instead of just one (aa).</S><S sid = NA ssid = NA>Phonetic translation across these pairs is called transliteration.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J98-4003.txt | Citing Article:  N10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the problem formulation of Knight and Graehl (1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We start with the masutaazutoonamento problem from Section 1.</S><S sid = NA ssid = NA>In a 1947 memorandum, Weaver (1955) wrote: One naturally wonders if the problem of translation could conceivably be treated as a problem of cryptography.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J98-4003.txt | Citing Article:  W12-4402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>phoneme based method (Knight and Graehl, 1998) makes use of phonetic correspondence to generate the transliteration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Phonetic translation across these pairs is called transliteration.</S><S sid = NA ssid = NA>The information-losing aspect of transliteration makes it hard to invert.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J98-4003.txt | Citing Article:  D12-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A straight forward supervised learning approach would require training data of name pairs between every pair of languages (Knight and Graehl, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is possible to automatically analyze such pairs to gain enough knowledge to accurately map new katakana phrases that come along, and this learning approach travels well to other language pairs.</S><S sid = NA ssid = NA>They are more useful for English-to-Japanese forward transliteration.</S> | Discourse Facet:  NA | Annotator: Automatic


