Citance Number: 1 | Reference Article:  P91-1022.txt | Citing Article:  P93-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 4 shows some interesting examples of this.</S><S sid = NA ssid = NA>We see an example of this in Sentence 4.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P91-1022.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown, Lai and Mercer (Brown et al, 1991) used word count as the sentence length, whereas Gale and Church (Gale and Church, 1991) used character count.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S><S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P91-1022.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using this search method meant that no prior segmentation of the corpora was needed (Moore, 2002), either in terms of aligned paragraphs (Gale and Church, 1991), or some aligned sentences as anchors (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S><S sid = NA ssid = NA>Using Pr (e.,), Pr (ef), and the parameters from Table 3, we generated an artificial pair of aligned corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P91-1022.txt | Citing Article:  P99-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This model is trained on approximately 5 million sentence pairs of Hansard (Canadian parliamentary) and UN proceedings which have been aligned on a sentence-by-sentence basis by the methods of (Brown et al, 1991), and then further aligned on a word-by-word basis by methods similar to (Brown et al, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P91-1022.txt | Citing Article:  W05-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Brown et al (1991) and Gale and Church (1993) are amongst the most cited works in text alignment work.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P91-1022.txt | Citing Article:  W05-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The method used by Brown et al (1991) measures sentence length in number of words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P91-1022.txt | Citing Article:  W05-0808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given that lexical methods can be computationally expensive, our idea was to try a simple length-based approach similar to that of Brown et al (1991) for sentence alignment and then use lexical methods to align words within aligned sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our algorithm makes no use of the lexical details of the corpora, but deals only with the number of words in each sentence.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P91-1022.txt | Citing Article:  P97-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Thus, dynamic programming based sentence alignment algorithms rely on paragraph anchors (Brown et al 1991) or lexical information, such as cognates (Simard 1992), to maintain a high accuracy rate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given the costs described above, it is a standard problem in dynamic programming to find that alignment of the major anchors in the two corpora with the least total cost [Bellman, 1957].</S><S sid = NA ssid = NA>The minor anchors are much more common than any particular major anchor, making an alignment based on them less robust against deletions than one based on the major anchors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P91-1022.txt | Citing Article:  P98-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, to produce sentence alignments, Brown et al (1991) and Gale and Church (1991) both proposed methods that completely ignored the lexical content of the texts and both reported accuracy levels exceeding 98%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S><S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P91-1022.txt | Citing Article:  C10-2081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first length based algorithm was proposed in (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P91-1022.txt | Citing Article:  C10-2081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Algorithm Length-based sentence alignment algorithm was first proposed in (Brown et al, 1991).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S><S sid = NA ssid = NA>We applied the alignment algorithm of Sections 3 and 4 to the Canadian Hansard data described in Section 2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P91-1022.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 4 shows some interesting examples of this.</S><S sid = NA ssid = NA>We see an example of this in Sentence 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P91-1022.txt | Citing Article:  W07-0810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Gale and Church, 1991) and (Brown et al, 1991), the authors start from the fact that the length of a source text sentence is highly correlated with the length of its target text translation: short sentences tend to have short translations, and long sentences tend to have long translations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S><S sid = NA ssid = NA>It is not surprising and further inspection verifies that the number of tokens in sentences that are translations of one another are correlated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P91-1022.txt | Citing Article:  C10-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Among approaches that are unsupervised and language independent, (Brown et al, 1991) and (Gale and Church, 1993) use sentence-length statistics in order to model the relationship between groups of sentences that are translations of each other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P91-1022.txt | Citing Article:  W09-0430.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Several automatic sentence alignment approaches have been proposed based on sentence length (Brown et al, 1991) and lexical information (Kay and Roscheisen, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S><S sid = NA ssid = NA>For an ef-bead, we assume that the English sentence has length ee with probability Pr (se) and that log of the ratio of length of the French sentence to the length of the English sentence is normally distributed with mean p and variance a2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P91-1022.txt | Citing Article:  W03-0315.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A bilingual sentence alignment program (Gale and Church, 1991, and Brown et al, 1991) is the crucial part in this adaptation procedure, in that it collects bilingual document pairs from the Inter net, and identifies sentence pairs, which should have a high likelihood of being correct translations of each other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have circled groups of sentence lengths to show the correct alignment.</S><S sid = NA ssid = NA>The work of Gale and Church , [Gale and Church, 1991], who use a. very similar method but measure sentence lengths in characters rather than in words, supports this promise of wider applicability.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P91-1022.txt | Citing Article:  W11-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The obtained accuracy is around 96% and was computed indirectly by checking disagreement with the Brown sentence aligner (Brown et al, 1991) on randomly selected 500 disagreement cases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Brown et at., [Brown et al., 1990] describe the process by which the proceedings of the Canadian Parliament are recorded.</S><S sid = NA ssid = NA>Recent work by Brown et al., [Brown et al., 1988, Brown et at., 1990] has quickened anew the long dormant idea of using statistical techniques to carry out machine translation from one natural language to another.</S> | Discourse Facet:  NA | Annotator: Automatic


