Citance Number: 1 | Reference Article:  W03-0404.txt | Citing Article:  W03-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Others were derived from corpora, including subjective nouns learned from unannotated data using bootstrapping (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Subjective features learned from unannotated documents can augment or enhance features learned from annotated training data using more traditional supervised learning techniques.</S><S sid = NA ssid = NA>Learning Subjective Nouns Using Extraction Pattern Bootstrapping</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W03-0404.txt | Citing Article:  W11-1712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, as demonstrated by Pang et al (2002), Pang and Lee (2004), Hu and Liu (2004), and Riloff et al (2003), there are some nouns and verbs that are useful sentiment indicators as well.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pang et al. (2002) reported that a similar experiment produced their best results on a related classification task.</S><S sid = NA ssid = NA>Some work identifies inflammatory texts (e.g., (Spertus, 1997)) or classifies reviews as positive or negative ((Turney, 2002; Pang et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W03-0404.txt | Citing Article:  P06-2059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al. proposed a bootstrapping approach for learning subjective nouns (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning Subjective Nouns Using Extraction Pattern Bootstrapping</S><S sid = NA ssid = NA>Research in genre classification may include recognition of subjective genres such as editorials (e.g., (Karlgren and Cutting, 1994; Kessler et al., 1997; Wiebe et al., 2001)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-0404.txt | Citing Article:  E09-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In a different work, Riloff et al (2003) use manually derived pattern templates to extract subjective nouns by bootstrapping.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning Subjective Nouns Using Extraction Pattern Bootstrapping</S><S sid = NA ssid = NA>First, we use two bootstrapping algorithms that exploit extraction patterns to learn sets of subjective nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-0404.txt | Citing Article:  E06-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (2003) develop a method to determine whether a term has a Subjective or an Objective connotation, based on bootstrapping algorithms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The goal of our research is to develop a system that can distinguish subjective sentences from objective sentences.</S><S sid = NA ssid = NA>Otherwise, it is objective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-0404.txt | Citing Article:  W12-0507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To build our subjective spoken corpus (more than 2,000 texts), we used a parallel corpus of English Portuguese speeches and a tool to automatically classify sentences in English as objective or subjective (OpinionFinder (Riloff et al, 2003)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The annotated corpus used to train and test our subjectivity classifiers (the experiment corpus) consists of 109 documents with a total of 2197 sentences.</S><S sid = NA ssid = NA>Since we did not need annotated texts, we created a much larger training corpus, the bootstrapping corpus, by gathering 950 new texts from the FBIS source mentioned in Section 2.2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-0404.txt | Citing Article:  C10-2099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Extracting syntactic patterns contribute towards the affective orientation of a sentence (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If so, the sentence should be subjective.</S><S sid = NA ssid = NA>The extraction patterns used in our research are linguistically richer patterns, requiring shallow parsing and syntactic role assignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-0404.txt | Citing Article:  C10-2099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al, (2003) have conducted experiments that use Bag Of-Words (BoW) as features to generate a Naive Bayes subjectivity classifier for the MPQA corpus in English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, we trained a Naive Bayes classifier using only the SubjNoun features.</S><S sid = NA ssid = NA>Row (2) is a Naive Bayes classifier that uses the WBO features, which performed well in prior research on sentence-level subjectivity classification (Wiebe et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-0404.txt | Citing Article:  I05-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (2003) extracted nouns and Riloff and Wiebe (2003) extracted patterns for subjective expressions using a bootstrapping process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By seeding the algorithms with subjective words, the extraction patterns identified expressions that are associated with subjective nouns.</S><S sid = NA ssid = NA>The subject would be extracted as the hiree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W03-0404.txt | Citing Article:  I05-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More details are provided in (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Research in genre classification may include recognition of subjective genres such as editorials (e.g., (Karlgren and Cutting, 1994; Kessler et al., 1997; Wiebe et al., 2001)).</S><S sid = NA ssid = NA>In contrast, our work classifies individual sentences, as does the research in (Wiebe et al., 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W03-0404.txt | Citing Article:  D10-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Basilisk was originally designed for semantic class induction using lexico-syntactic patterns, but has also been used to learn subjective and objective nouns (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Perhaps some of these other methods could also be used to learn subjective words.</S><S sid = NA ssid = NA>They represent lexico-syntactic expressions that typically rely on shallow parsing and syntactic role assignment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W03-0404.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (2003) explore bootstrapping techniques to identify subjective nouns and subsequently classify subjective vs. objective sentences in newswire text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We explore the idea of creating a subjectivity classifier that uses lists of subjective nouns learned by bootstrapping algorithms.</S><S sid = NA ssid = NA>The goal of our research is to develop a system that can distinguish subjective sentences from objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W03-0404.txt | Citing Article:  P08-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (2003) mined subjective nouns from unannotated texts with two bootstrapping algorithms that exploit lexico-syntactic extraction patterns and manually-selected subjective seeds.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we use two bootstrapping algorithms that exploit extraction patterns to learn sets of subjective nouns.</S><S sid = NA ssid = NA>By seeding the algorithms with subjective words, the extraction patterns identified expressions that are associated with subjective nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W03-0404.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (Riloff et al, 2003) applied bootstrapping to recognise subjective noun keywords and classify sentences as subjective or objective in newswire texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Research in genre classification may include recognition of subjective genres such as editorials (e.g., (Karlgren and Cutting, 1994; Kessler et al., 1997; Wiebe et al., 2001)).</S><S sid = NA ssid = NA>The goal of our research is to develop a system that can distinguish subjective sentences from objective sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W03-0404.txt | Citing Article:  P05-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Riloff et al (2003) focused on the collection of subjective nouns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Researchers have focused on learning adjectives or adjectival phrases (Turney, 2002; Hatzivassiloglou and McKeown, 1997; Wiebe, 2000) and verbs (Wiebe et al., 2001), but no previous work has focused on learning nouns.</S><S sid = NA ssid = NA>In this paper, we use the Meta-Bootstrapping and Basilisk algorithms to learn lists of subjective nouns from a large collection of unannotated texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W03-0404.txt | Citing Article:  P09-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most previous works used seeds selected based on a user's or domain expert's intuition (Curran et al, 2007), which may then have to meet a frequency criterion (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So we searched for each of the 850 nouns in the bootstrapping corpus, sorted them by frequency, and manually selected 20 high-frequency words that we judged to be strongly subjective.</S><S sid = NA ssid = NA>Research in genre classification may include recognition of subjective genres such as editorials (e.g., (Karlgren and Cutting, 1994; Kessler et al., 1997; Wiebe et al., 2001)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W03-0404.txt | Citing Article:  W11-0308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Patterns are extracted using AutoSlog (Riloff et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each noun is assigned a score based on how many different patterns extracted it.</S><S sid = NA ssid = NA>Basilisk scores each noun based upon the set of patterns that extracted it and their collective association with the seed words.</S> | Discourse Facet:  NA | Annotator: Automatic


