Citance Number: 1 | Reference Article:  J94-3001.txt | Citing Article:  E95-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >see Kaplan and Kay (1994) for an exposition of the mathematical basis.</S> | Reference Offset:  ['1','4'] | Reference Text:  <S sid = 1 ssid = >This paper presents a set of mathematical and computational tools for manipulating and reasoning about regular languages and regular relations and argues that they provide a solid basis for computational phonology.</S><S sid = 4 ssid = >This paper presents a set of mathematical and computational tools for manipulating and reasoning about regular languages and regular relations and argues that they provide a solid basis for computational phonology.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J94-3001.txt | Citing Article:  C96-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This expression is an expansion of Restrict in (Kaplan and Kay, 1994, p. 371).</S> | Reference Offset:  ['138','276'] | Reference Text:  <S sid = 138 ssid = >An n-way regular expression is simply a regular expression whose terms are n-tuples of alphabetic symbols or €.</S><S sid = 276 ssid = >They are usually simple strings and some theorists would restrict them to single segments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J94-3001.txt | Citing Article:  W02-1506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Xerox calculus includes the composition, ignore, and substitution operator discussed by Kaplan and Kay (1994) and the priority-union operator of Kaplan and Newman (1997).</S> | Reference Offset:  ['185','259'] | Reference Text:  <S sid = 185 ssid = >A similar construction is used to prove that regular relations are closed under the composition operator discussed in Section 2.</S><S sid = 259 ssid = >Note that Intro(S)-1 removes all elements of S from a string if S is disjoint from E. The second is the Ignore operator.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J94-3001.txt | Citing Article:  A00-2039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can be seen as an application of the ignore operator of Kaplan and Kay (1994), where E* is being ignored.</S> | Reference Offset:  ['259','492'] | Reference Text:  <S sid = 259 ssid = >Note that Intro(S)-1 removes all elements of S from a string if S is disjoint from E. The second is the Ignore operator.</S><S sid = 492 ssid = >But also as we have seen several times before, this relation does not completely simulate the batch application of the rules.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J94-3001.txt | Citing Article:  P07-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Rules are compiled into finite-state transducers and merged using transducer composition (Kaplan and Kay, 1994).</S> | Reference Offset:  ['69','98'] | Reference Text:  <S sid = 69 ssid = >A finite-state transducer has two tapes.</S><S sid = 98 ssid = >In short, the relations accepted by finite-state transducers are closed under serial composition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J94-3001.txt | Citing Article:  P07-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['270','824'] | Reference Text:  <S sid = 270 ssid = >Phonological rewriting rules have four parts.</S><S sid = 824 ssid = >We, of course, are responsible for any remaining errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J94-3001.txt | Citing Article:  P12-3011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The context-dependent rewrite algorithm used is that of Mohri and Sproat (1996), and see also Kaplan and Kay (1994).</S> | Reference Offset:  ['381','433'] | Reference Text:  <S sid = 381 ssid = >The rule properly applies to rewrite the N because it is bracketed by < and >.</S><S sid = 433 ssid = >We now have components for freely introducing and removing context brackets, for rejecting strings with mislocated brackets, and for representing the rewrite action of a rule between appropriate context markers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J94-3001.txt | Citing Article:  W12-6202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, constructing an OT grammar step-by-step as the composition of a set of transducers, akin to rewrite rule com position in (Kaplan and Kay, 1994), has offered the attractive possibility of simultaneously modeling OT parsing and generation as a natural consequence of the bi-directionality of finite-state transducers.</S> | Reference Offset:  ['95','309'] | Reference Text:  <S sid = 95 ssid = >While finite-state transducers are attractive for their formal simplicity, they have a much more important advantage for our purposes.</S><S sid = 309 ssid = >However, we shall see that directionality in rewriting rules is not mirrored by directionality in the transducers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J94-3001.txt | Citing Article:  E99-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An algorithm for compilation into transducers was provided by Kaplan and Kay (1994).</S> | Reference Offset:  ['20','456'] | Reference Text:  <S sid = 20 ssid = >A similar characterization of two-level rule systems is provided in Section 7.</S><S sid = 456 ssid = >First, it can be the start of a rule application, provided it appears in front of an appropriate configuration of 0, and right-context brackets.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J94-3001.txt | Citing Article:  E99-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Back referencing has been implicit in previous research, such as in the batch rules of Kaplan and Kay (1994).</S> | Reference Offset:  ['347','509'] | Reference Text:  <S sid = 347 ssid = >The reason is doubtless that batch rules are unnecessarily prolix and, in particular, they fail to capture generalizations that can almost always be made about the individual rules that make up a batch.</S><S sid = 509 ssid = >A replacement operator for batch rules must also be constructed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J94-3001.txt | Citing Article:  E99-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous algorithms for compiling rewrite rules into transducers have followed Kaplan and Kay (1994) by introducing special marker symbols (markers) into strings in order to mark off candidate regions for replacement.</S> | Reference Offset:  ['387','457'] | Reference Text:  <S sid = 387 ssid = >Let m (for marker) be {<, >}, the set of both markers.</S><S sid = 457 ssid = >Second, it can be ignored during the identity portions of the strings, the regions between the changes sanctioned by the replacement relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J94-3001.txt | Citing Article:  E99-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >it will be helpful to have at our disposal a few general tools, most of which were described already in Kaplan and Kay (1994).</S> | Reference Offset:  ['67','87'] | Reference Text:  <S sid = 67 ssid = >We are also encouraged by initial successes in adapting these techniques to the autosegmental formalism described by Kay (1987).</S><S sid = 87 ssid = >We have described transducers as acceptors of pairs of tapes that stand in a certain relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J94-3001.txt | Citing Article:  N10-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For batch context-dependent rules, the context of the application for all rules is determined at once before their application (Kaplan and Kay, 1994).</S> | Reference Offset:  ['345','514'] | Reference Text:  <S sid = 345 ssid = >This is the mode of application for a set of rules collected together as a batch.</S><S sid = 514 ssid = >A model of the left-to-right application optional application of a batch rule is obtained by substituting the new, more complex definitions in the composition cascade for ordinary rules with these application parameters: Optional right-to-left and simultaneous batch rules are modeled by similar substitutions in the corresponding ordinary-rule cascades.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J94-3001.txt | Citing Article:  C96-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Phonological rewrite-rules (Kaplan and Kay, 1994), two-level rules (Koskenniemi 1983), syntactic disarnbiguation rules (Karlsson et al 1994, Koskenniemi, Tapanainen, and Voutilainen 1992), and part-of-speech assignment rules (Brill 1992, Roche and Schabes 1995) are examples of replacement in context of finite-state grammars.</S> | Reference Offset:  ['630','778'] | Reference Text:  <S sid = 630 ssid = >It is interesting to note that for much the same reason, Ritchie (1992) also made crucial use of two-level boundary-context rules to prove that the relations denoted by Koskenniemi's (1985) two-level grammars are also coextensive with the regular relations.</S><S sid = 778 ssid = >As we mentioned before, the two-level grammars with boundary-context rules are the ones that Ritchie (1992) showed were complete for the regular relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J94-3001.txt | Citing Article:  C96-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Kaplan and Kay (1994) describe a general method representing a replacement procedure as finite-state transduction.</S> | Reference Offset:  ['97','390'] | Reference Text:  <S sid = 97 ssid = >The pair can be regarded as performing a transduction between the outer tapes, and it turns out that a single finite-state transducer can be constructed that performs exactly this transduction without incorporating any analog of the intermediate tape.</S><S sid = 390 ssid = >Figure 9 shows the general form of the state-transition diagram for a transducer that accepts a replacement relation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J94-3001.txt | Citing Article:  C96-2105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['270','824'] | Reference Text:  <S sid = 270 ssid = >Phonological rewriting rules have four parts.</S><S sid = 824 ssid = >We, of course, are responsible for any remaining errors.</S> | Discourse Facet:  NA | Annotator: Automatic


