Citance Number: 1 | Reference Article:  P04-1075.txt | Citing Article:  W06-1660.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is only recently employed in NER (Shen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Tang et al. 2002; Steedman et al.</S><S sid = NA ssid = NA>Support Vector Machines (SVM) is a powerful machine learning method, which has been applied successfully in NER tasks, such as (Kazama et al. 2002; Lee et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P04-1075.txt | Citing Article:  D09-1158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Active learning, which has been applied to the problem of NER in (Shen et al, 2004), is used in situations where a large amount of unlabeled data exists and data labeling is expensive.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Support Vector Machines (SVM) is a powerful machine learning method, which has been applied successfully in NER tasks, such as (Kazama et al. 2002; Lee et al.</S><S sid = NA ssid = NA>The support vectors can later be used to classify the test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1075.txt | Citing Article:  C08-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Diversity measures as proposed by (Shen et al, 2004) might help in mitigating this effect, but our experiments show that there are fundamental differences between text classification and NER.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, (Brinker 2003) first incorporate diversity in active learning for text classification.</S><S sid = NA ssid = NA>In the next part, we will introduce informativeness, representativeness and diversity measures for the SVM-based NER.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1075.txt | Citing Article:  W06-2209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been applied to various NLP/IE tasks, including named entity recognition (Shen et al, 2004) and parse selection (Baldridge and Osborne, 2004) with rather impressive results in reducing the amount of annotated training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we study the active learning in a more complex NLP task, named entity recognition.</S><S sid = NA ssid = NA>The results in both MUC6 and GENIA show that the amount of the labeled training data can be reduced by at least 80% without degrading the quality of the named entity recognizer.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1075.txt | Citing Article:  W06-3328.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to circumvent this obstacle several approaches have been presented, among them active learning (Shen et al, 2004) and rule-based systems encoding domain specific knowledge (Gaizauskas et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many existing work in the area focus on two approaches: certainty-based methods (Thompson et al. 1999; Tang et al.</S><S sid = NA ssid = NA>1999; Tang et al. 2002; Steedman et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1075.txt | Citing Article:  D10-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shen et al (2004) combine multiple criteria to measure the informativeness, representativeness, and diversity of examples in active learning for named entity recognition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multi-Criteria-Based Active Learning For Named Entity Recognition</S><S sid = NA ssid = NA>In this section, we will study how to combine and strike a proper balance between these criteria, viz. informativeness, representativeness and diversity, to reach the maximum effectiveness on NER active learning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1075.txt | Citing Article:  D10-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, in order to avoid recursion and over-complexity, we employ a diversity-motivated intra-stratum sampling scheme (Shen et al, 2004), called KDN (K-diverse neighbors), which aims to maximize the training utility of all seeds from a stratum.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Diversity criterion is to maximize the training utility of a batch.</S><S sid = NA ssid = NA>We employ the dynamic time warping (DTW) algorithm (Rabiner et al. 1978) to find an optimal alignment between the words in the sequences which maximize the accumulated similarity degree between the sequences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1075.txt | Citing Article:  E06-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Collins and Singer, 1999) classified NEs through co-training, (Kozareva et al, 2005a) used self-training and co-training to detect and classify named entities in news domain, (Shen et al, 2004) conducted experiments with multi-criteria-based active learning for biomedical NER.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Tang et al. 2002; Steedman et al.</S><S sid = NA ssid = NA>Multi-Criteria-Based Active Learning For Named Entity Recognition</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1075.txt | Citing Article:  C08-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another interesting work is to study when to stop active learning.</S><S sid = NA ssid = NA>In SVM, only the support vectors are useful for the classification, which is different from statistical models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1075.txt | Citing Article:  C08-1143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Shen et al (2004) proposed an approach to selecting examples based on informativeness, representativeness and diversity criteria.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a multi-criteria-based approach to select examples based on their informativeness, representativeness and diversity, which are incorporated all together by two strategies (local and global).</S><S sid = NA ssid = NA>In the next part, we will introduce informativeness, representativeness and diversity measures for the SVM-based NER.</S> | Discourse Facet:  NA | Annotator: Automatic


