Citance Number: 1 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Veale (2004) used WordNet to answer 374 multiple-choice SAT analogy questions, achieving an accuracy of 43%, but the best corpus-based approach attains an accuracy of 56% (Turney, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast with the corpus-based approach of Turney and Littman (2005), Veale (2004) applied a lexicon-based approach to the same 374 SAT questions, attaining a score of 43%.</S><S sid = NA ssid = NA>LRA achieves an accuracy of about 56%.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The average senior high school student achieves 57% correct (Turney, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The average performance of college-bound senior high school students on verbal SAT questions corresponds to a recall (percent correct) of about 57% (Turney and Littman 2005).</S><S sid = NA ssid = NA>The average performance of collegebound senior high school students on verbal SAT questions corresponds to an accuracy of about 57%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PairClass generates probability estimates, whereas Turney (2006) uses a cosine measure of similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus a phrase with n words generates 2(n−2) patterns.</S><S sid = NA ssid = NA>(We use max phrase = 5, so a phrase generates at most eight patterns.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The automatically generated patterns in PairClass are slightly more general than the patterns of Turney (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It may be interesting to see how many of the manually generated patterns appear within the automatically generated patterns.</S><S sid = NA ssid = NA>Both of these patterns are included in the 4,000 patterns automatically generated by LRA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J06-3003.txt | Citing Article:  C08-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The morphological processing in PairClass (Minnen et al, 2001) is more sophisticated than in Turney (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Algorithms for measuring attributional similarity can be lexicon-based (Lesk 1986; Budanitsky and Hirst 2001; Banerjee and Pedersen 2003), corpus-based (Lesk 1969; Landauer and Dumais 1997; Lin 1998a; Turney 2001), or a hybrid of the two (Resnik 1995; Jiang and Conrath 1997; Turney et al. 2003).</S><S sid = NA ssid = NA>Turney et al. (2003) combined 13 independent modules to answer SAT questions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J06-3003.txt | Citing Article:  P14-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Whereas the above mentioned approaches rely on additional knowledge sources, Turney (2006) developed a corpus based approach to model relational similarity, addressing (among other tasks) the distinction between synonyms and antonyms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LRA, like VSM, is a corpus-based approach to measuring relational similarity.</S><S sid = NA ssid = NA>On the other hand, since measures of relational similarity are not as well developed as measures of attributional similarity, the potential applications of relational similarity are not as well known.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J06-3003.txt | Citing Article:  W09-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This aspect is most striking for ukWaC where the coverage is low and by only utilizing the single-occurrence sub-vectors we obtain a performance of 38.2% correct answers (the comparable "attributional" models reported in Turney, 2006, have an average performance of 31%).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The average performance of college-bound senior high school students on verbal SAT questions corresponds to a recall (percent correct) of about 57% (Turney and Littman 2005).</S><S sid = NA ssid = NA>Turney and Littman (2005) used the AltaVista search engine to obtain the frequency information required to build vectors for the VSM.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J06-3003.txt | Citing Article:  N10-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vector-based distributional similarity methods have proven to be a valuable tool for a number of tasks on automatic discovery of semantic relatedness between words, like synonymy tests (Rapp, 2003) or detection of analogical similarity (Turney, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>LRA, like VSM, is a corpus-based approach to measuring relational similarity.</S><S sid = NA ssid = NA>Similarity of Semantic Relations</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J06-3003.txt | Citing Article:  S12-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On a structural level, the prediction of meta alternations shows a clear correspondence to analogy prediction as approached in Turney (2006) (carpenter:wood is analogous to mason:stone, but not to photograph:camera).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, the word pair mason:stone is analogous to the pair carpenter:wood.</S><S sid = NA ssid = NA>We know a priori that, if A:B::C:D, then B:A::D:C. For example, mason is to stone as carpenter is to wood implies stone is to mason as wood is to carpenter.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J06-3003.txt | Citing Article:  W09-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We solve SAT analogies with a simplified version of the method of Turney (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Turney (2005) introduced Latent Relational Analysis (LRA), an enhanced version of the VSM approach, which reached 56% on the 374 SAT questions.</S><S sid = NA ssid = NA>This is interesting work, but it is not directly applicable to SAT analogies, because it discovers analogies between clusters of words rather than individual words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J06-3003.txt | Citing Article:  W09-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use this space to measure "relational" similarity (Turney, 2006) of concept pairs, e.g., finding that the relation between teachers and handbooks is more similar to the one between soldiers and guns, than to the one between teachers and schools.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As the measure of nearness, we use LRA to calculate the relational similarity between the testing pair and the training pairs.</S><S sid = NA ssid = NA>A measure of relational similarity is applicable to this task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J06-3003.txt | Citing Article:  W09-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Attr cells summarize the performance of the 6 models on the wiki table that are based on "attributional similarity" only (Turney, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 3 shows the best performance on the TOEFL questions for each type of attributional similarity algorithm.</S><S sid = NA ssid = NA>The performance of LRA is significantly better than the lexicon-based approach of Veale (2004) (see Section 3.1) and the best performance using attributional similarity (see Section 2.3), with 95% confidence, according to the Fisher Exact Test (Agresti 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J06-3003.txt | Citing Article:  W09-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In particular, we need to develop a backoff strategy for unseen pairs in the relational similarity tasks, that, following Turney (2006), could be based on constructing surrogate pairs of taxonomically similar words found in the CxLC space.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The amount of relational similarity between two pairs of words, A:B and C:D, depends on the degree of correspondence between the relations between A and B and the relations between C and D. A measure of relational similarity is a function that maps two pairs, A:B and C:D, to a real number, simr(A:B,C:D) E R. The more correspondence there is between the relations of A:B and C:D, the greater their relational similarity.</S><S sid = NA ssid = NA>When two pairs of words have a high degree of relational similarity, we say that their relations are analogous.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J06-3003.txt | Citing Article:  S10-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Some of the recent work on this problem includes that of Butnariu et al (2009), Girju (2007), Girju et al (2005), Kim and Baldwin (2005), Nakov (2008), Nastase et al (2006), Turney (2006), and Saghdha and Copestake (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Measures of attributional similarity have been studied extensively, due to their applications in problems such as recognizing synonyms (Landauer and Dumais 1997), information retrieval (Deerwester et al. 1990), determining semantic orientation (Turney 2002), grading student essays (Rehder et al.</S><S sid = NA ssid = NA>Turney et al. (2003) combined 13 independent modules to answer SAT questions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J06-3003.txt | Citing Article:  E09-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The distinction between lexical and relational similarity for word pair comparison is recognised by Turney (2006) (he calls the former attributional similarity), though the methods he presents focus on relational similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The term semantic similarity is misleading, because it refers to a type of attributional similarity, yet relational similarity is not any less semantic than attributional similarity.</S><S sid = NA ssid = NA>On the other hand, since measures of relational similarity are not as well developed as measures of attributional similarity, the potential applications of relational similarity are not as well known.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J06-3003.txt | Citing Article:  E09-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Turney (2006) describes a method (Latent Relational Analysis) that extracts subsequence patterns for noun pairs from a large corpus, using query expansion to increase the recall of the search and feature selection and dimensionality reduction to reduce the complexity of the feature space.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This article introduces Latent Relational Analysis (LRA), a method for measuring relational similarity.</S><S sid = NA ssid = NA>This article introduces Latent Relational Analysis (LRA), a method for measuring relational similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


