Citance Number: 1 | Reference Article:  P01-1064.txt | Citing Article:  C02-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CWM is described in (Choi, 2001), U00 in (Utiyama and Isahara, 2001), C99 in (Choi, 2000), DotPlot in (Reynar, 1998) and Segmenter in (Kan et al, 1998).</S> | Reference Offset:  ['12','101'] | Reference Text:  <S sid = 12 ssid = >A lot of research has been done on text segmentation (Kozima, 1993; Hearst, 1994; Okumura and Honda, 1994; Salton et al., 1996; Yaari, 1997; Kan et al., 1998; Choi, 2000; Nakao, 2000).</S><S sid = 101 ssid = >This data was used by Choi (2000) to compare various domain-independent text segmentation systems.6 He evaluated (Choi, 2000), TextTiling (Hearst, 1994), DotPlot (Reynar, 1998), and Segmenter (Kan et al., 1998) by using the data and reported that achieved the best performance among these systems.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P01-1064.txt | Citing Article:  P07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >U00 is the system described in (Utiyama and Isahara, 2001), C99 the one proposed in (Choi, 2000) and LCseg is presented in (Galley et al, 2003).</S> | Reference Offset:  ['12','130'] | Reference Text:  <S sid = 12 ssid = >A lot of research has been done on text segmentation (Kozima, 1993; Hearst, 1994; Okumura and Honda, 1994; Salton et al., 1996; Yaari, 1997; Kan et al., 1998; Choi, 2000; Nakao, 2000).</S><S sid = 130 ssid = >A probabilistic approach, however, has already been proposed by Yamron, et al. for domain-dependent text segmentation (broadcast news story segmentation) (Yamron et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P01-1064.txt | Citing Article:  W04-3210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In more recent work, Utiyama and Isahara (2001) combine a statistical segmentation model with a graph search algorithm to find the segmentation with the maximum probability.</S> | Reference Offset:  ['0','36'] | Reference Text:  <S sid = 0 ssid = >A Statistical Model For Domain-Independent Text Segmentation</S><S sid = 36 ssid = >The statistical model for the algorithm is described in Section 2, and the algorithm for obtaining the maximum-probability segmentation is described in Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P01-1064.txt | Citing Article:  W04-3210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to lack of space we do not describe previous work in text segmentation here in detail; we refer the reader to Utiyama and Isahara (2001) and Pevzener and Hearst (2002) for a comprehensive overview.</S> | Reference Offset:  ['14','118'] | Reference Text:  <S sid = 14 ssid = >Hearst (1994), for example, used only the similarity of word distributions in a given text to segment the text.</S><S sid = 118 ssid = >This means that our system is more accurate than or at least as accurate as previous domainindependent text segmentation systems, because has been shown to be more accurate than previous domain-independent text segmentation systems.10</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P01-1064.txt | Citing Article:  P06-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This algorithm (Utiyama and Isahara, 2001) (UI) computes the optimal segmentation by estimating changes in the language model predictions over different partitions.</S> | Reference Offset:  ['0','45'] | Reference Text:  <S sid = 0 ssid = >A Statistical Model For Domain-Independent Text Segmentation</S><S sid = 45 ssid = >We assume that different topics have different word distributions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P01-1064.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, we show that the benchmark segmentation system of Utiyama and Isahara (2001) can be viewed as another special case of our Bayesian model.</S> | Reference Offset:  ['0','148'] | Reference Text:  <S sid = 0 ssid = >A Statistical Model For Domain-Independent Text Segmentation</S><S sid = 148 ssid = >We have proposed a statistical model for domainindependent text segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P01-1064.txt | Citing Article:  D08-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most similar to our work is the approach of Utiyama and Isahara (2001), who search for segmentations with compact language models; as shown in Section 3.1.1, this can be viewed as a special case of our model.</S> | Reference Offset:  ['36','72'] | Reference Text:  <S sid = 36 ssid = >The statistical model for the algorithm is described in Section 2, and the algorithm for obtaining the maximum-probability segmentation is described in Section 3.</S><S sid = 72 ssid = >An example of is shown in Figure 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P01-1064.txt | Citing Article:  W12-3307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Utiyama and Isahara (2001) introduced one of the first probabilistic approaches using Dynamic Programming (DP) called U00.</S> | Reference Offset:  ['27','78'] | Reference Text:  <S sid = 27 ssid = >Previous approaches usually used lexical cohesion to segment texts into topics.</S><S sid = 78 ssid = >Therefore, a solution can be obtained by applying a dynamic programming (DP) algorithm.4 DP algorithms have also been used for text segmentation by other researchers (Ponte and Croft, 1997; Heinonen, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P01-1064.txt | Citing Article:  W12-3307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >We also assume that the words within the scope of a topic are statistically independent of each other given the topic.</S><S sid = 152 ssid = >We thank Freddy Y. Y. Choi for his text segmentation package.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P01-1064.txt | Citing Article:  W12-3307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','152'] | Reference Text:  <S sid = 47 ssid = >We also assume that the words within the scope of a topic are statistically independent of each other given the topic.</S><S sid = 152 ssid = >We thank Freddy Y. Y. Choi for his text segmentation package.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P01-1064.txt | Citing Article:  N09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lexical cohesion was placed in a probabilistic (though not Bayesian) framework by Utiyama and Isahara (2001).</S> | Reference Offset:  ['27','108'] | Reference Text:  <S sid = 27 ssid = >Previous approaches usually used lexical cohesion to segment texts into topics.</S><S sid = 108 ssid = >The segmentation boundaries were placed at the ends of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P01-1064.txt | Citing Article:  N09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two frequently-cited systems are LCSEG (Galley et al, 2003) and TEXTSEG (Utiyama and Isahara, 2001).</S> | Reference Offset:  ['18','125'] | Reference Text:  <S sid = 18 ssid = >In this application, systems relying on supervised learning (Yamron et al., 1998; Beeferman et al., 1999) achieve good performance because there are plenty of training data in the domain.</S><S sid = 125 ssid = >For English, Klavans, et al. describe a segmentation corpus in which the texts were segmented by humans (Klavans et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P01-1064.txt | Citing Article:  N09-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A set of stop-words is also removed, using the same list originally employed by several competitive systems (Utiyama and Isahara, 2001).</S> | Reference Offset:  ['106','122'] | Reference Text:  <S sid = 106 ssid = >The sample texts were preprocessed – i.e., punctuation and stop words were removed and the remaining words were stemmed – by a program using the libraries available in Choi’s package.</S><S sid = 122 ssid = >It is important, however, to assess the performance of systems by using real texts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P01-1064.txt | Citing Article:  P03-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is not clear whether our algorithm is better than (Utiyama and Isahara, 2001) (U00).</S> | Reference Offset:  ['112','140'] | Reference Text:  <S sid = 112 ssid = >We found empirically that segments obtained by recursive segmentation were better than those obtained by minimum-cost segmentation when the specified number of segments was somewhat larger than that of the minimum-cost path, whose number of segments was automatically determined by the algorithm.</S><S sid = 140 ssid = >Another major difference from their algorithm is that our algorithm does not require training data to estimate probabilities, while their algorithm does.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P01-1064.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we selected for comparison three systems based merely on the lexical reiteration feature: TextTiling (Hearst, 1997), C99 (Choi, 2000) and TextSeg (Utiyama and Isahara, 2001).</S> | Reference Offset:  ['12','101'] | Reference Text:  <S sid = 12 ssid = >A lot of research has been done on text segmentation (Kozima, 1993; Hearst, 1994; Okumura and Honda, 1994; Salton et al., 1996; Yaari, 1997; Kan et al., 1998; Choi, 2000; Nakao, 2000).</S><S sid = 101 ssid = >This data was used by Choi (2000) to compare various domain-independent text segmentation systems.6 He evaluated (Choi, 2000), TextTiling (Hearst, 1994), DotPlot (Reynar, 1998), and Segmenter (Kan et al., 1998) by using the data and reported that achieved the best performance among these systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P01-1064.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The TextSeg algorithm (Utiyama and Isahara,2001) implements a probabilistic approach to determine the most likely segmentation, as briefly described below.</S> | Reference Offset:  ['36','40'] | Reference Text:  <S sid = 36 ssid = >The statistical model for the algorithm is described in Section 2, and the algorithm for obtaining the maximum-probability segmentation is described in Section 3.</S><S sid = 40 ssid = >In the next section, we then describe the algorithm for selecting the most likely segmentation.</S> | Discourse Facet:  NA | Annotator: Automatic


