Citance Number: 1 | Reference Article:  J93-1002.txt | Citing Article:  W96-0303.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Briscoe and Carroll (1993) observed that half of the parse failures were caused by inaccurate sub categorization information in the lexicon.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parser performs sub-analysis sharing (where if two or more trees have a common sub-analysis, that sub-analysis is represented only once), and local ambiguity packing (in which sub-analyses that have the same top node and cover the same input have their top nodes merged, being treated by higher level structures as a single sub-analysis).</S><S sid = NA ssid = NA>In general, resolution of the first indeterminacy in the input will rule out approximately half the potential analyses, resolution of the next, half of the remaining ones, and so on.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J93-1002.txt | Citing Article:  W04-0306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, we observe that there are also trainable stochastic shift-reduce parser models (Briscoe and Carroll, 1993), which are theoretically related to shift-reduce parsing, but operate in a highly non deterministic fashion during parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The majority of states contain just reduce or just shift actions, and in any one state very few different rules are involved in reduce actions.</S><S sid = NA ssid = NA>In a particular state there cannot be more than one shift or accept action, but there can be several reduce actions, each specifying a reduction with a different rule.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J93-1002.txt | Citing Article:  W02-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following (Briscoe and Carroll, 1993), conflict resolution is based on contextual information extracted from the so called Instantaneous Description or Configuration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following sections, we introduce the LR parser and in Section 8 Ted Briscoe and John Carroll Generalized Probabilistic LR Parsing we demonstrate that LR parse tables do provide an appropriate amount of contextual information to solve the problems described above.</S><S sid = NA ssid = NA>In general, resolution of the first indeterminacy in the input will rule out approximately half the potential analyses, resolution of the next, half of the remaining ones, and so on.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-1002.txt | Citing Article:  P04-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The probability function can be obtained on the basis of a treebank, as proposed by (Briscoe and Carroll, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sampson, Haigh, and Atwell report some preliminary results for a parser of this type that uses the technique of simulated annealing to assign the closest fitting analysis on the basis of initial training on the LOB treebank and automatic updating of its statistical data on the basis of further parsed examples.</S><S sid = NA ssid = NA>In addition, the analyses assigned, on the basis of the LOB treebank scheme, are not syntactically determinate (for example, syntactic relations in unbounded dependency constructions are not represented).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-1002.txt | Citing Article:  P04-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The model by (Briscoe and Carroll, 1993) however incorporated a mistake involving lookahead, which was corrected by (Inui et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In what follows, we will assume that the unification-based grammars we are considering are represented in the ANLT object grammar formalism (Briscoe et al. 1987).</S><S sid = NA ssid = NA>The Alvey Natural Language Tools (ANLT) system is a wide-coverage lexical, morphological, and syntactic analysis system for English (Briscoe et al. 1987).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-1002.txt | Citing Article:  P04-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>One important assumption that is made by (Briscoe and Carroll, 1993) and (Inui et al, 2000) is that trained probabilistic LR parsers should be proper.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Ted Briscoe and John Carroll Generalized Probabilistic LR Parsing Constructing the LR parse table directly and automatically from a unification grammar would avoid these drawbacks.</S><S sid = NA ssid = NA>In the following sections, we introduce the LR parser and in Section 8 Ted Briscoe and John Carroll Generalized Probabilistic LR Parsing we demonstrate that LR parse tables do provide an appropriate amount of contextual information to solve the problems described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-1002.txt | Citing Article:  P98-2180.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There have been many other attempts to process dictionary definitions using heuristic pattern matching (e.g., Chodorow et al 1985), specially constructed definition parsers (e.g., Wilks et al 1996, Vossen 1995), and even general coverage syntactic parsers (e.g., Briscoe and Carroll 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Alvey Natural Language Tools (ANLT) system is a wide-coverage lexical, morphological, and syntactic analysis system for English (Briscoe et al. 1987).</S><S sid = NA ssid = NA>Gazdar et al. 1985; Pollard and Sag 1987; Zeevat, Calder, and Klein 1987).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-1002.txt | Citing Article:  W02-1706.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our second method of acquiring verb grammatical relations uses the statistical parser developed by Briscoe and Carroll (1993, 1997) which is an extension of the ANLT grammar development system which we used for our deep grammatical analysis as reported in Section 3 above.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The second method involves incremental interaction with the parser during the parse to guide it through the search space of possibilities.</S><S sid = NA ssid = NA>This parser is integrated with the Grammar Development Environment (GDE; Carroll et al. 1988) in the ANLT system, and provided as an alternative parser for use with stable grammars for batch parsing of large bodies of text.</S> | Discourse Facet:  NA | Annotator: Automatic


