Citance Number: 1 | Reference Article:  N10-1061.txt | Citing Article:  D10-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These abstract notions (lexical association, proximity, tendencies towards few or many relations, and allowing for unassociated items) play an important role in many relation-detection tasks (e.g., co-reference resolution, Haghighi and Klein 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also compared to the strong deterministic system of Haghighi and Klein (2009).10 Across all data sets, our model, despite being largely unsupervised, consistently outperforms these systems, which are the best previously reported results on end-to-end coreference resolution (i.e. including mention detection).</S><S sid = NA ssid = NA>In this work, we take a primarily unsupervised approach to coreference resolution, broadly similar to Haghighi and Klein (2007), which addresses this issue.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N10-1061.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In ACE04 and ACE05, we have only the newswire portion (of the original ACE 2004 and 2005 training sets) and use the standard train/test splits reported in Stoyanov et al (2009) and Haghighi and Klein (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We utilized MUC (Vilain et al., 1995), B3All (Stoyanov et al., 2009), B3None (Stoyanov et al., 2009), and Pairwise F1.</S><S sid = NA ssid = NA>For evaluation, we used standard coreference data sets derived from the ACE corpora: For all experiments, we evaluated on the dev and test sets above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N10-1061.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In ACE05-ALL, we have the full ACE 2005 training set and use the standard train/test splits reported in Rahman and Ng (2009) and Haghighi and Klein (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an example of nominal headword compatibility, a “president” can be a “leader” but cannot be not an “increase.” Past systems have often computed the compatibility of specific headword pairs, extracted either from lexical resources (Ng, 2007; Bengston and Roth, 2008; Rahman and Ng, 2009), web statistics (Yang et al., 2005), or surface syntactic patterns (Haghighi and Klein, 2009).</S><S sid = NA ssid = NA>The Stoyanov et al. (2009) numbers represent their THRESHOLD ESTIMATION setting and the Rahman and Ng (2009) numbers represent their highestperforming cluster ranking model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N10-1061.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>11See nlp.cs.berkeley.edu and aria42.com/software.html for software release.</S><S sid = NA ssid = NA>Each entity E is generated independently and consists of a type indicator T, as well as a collection {Lr}rE7Z of word lists for each property.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N10-1061.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our main comparison is against Haghighi and Klein (2010), a mostly-unsupervised generative approach that models latent entity types, which generate specific entities that in turn render individual mentions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our semantic representation first hypothesizes an underlying set of latent which generate specific entities that in turn render individual mentions.</S><S sid = NA ssid = NA>Entities: An entity is a specific individual or object in the world.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N10-1061.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the ACE05 and ACE05-ALL datasets, we revert to the 'AllPairs' (AP) setting of Reconcile because this gives us baselines competitive with Haghighi and Klein (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also trained on the following much larger unlabeled datasets utilized in Haghighi and Klein (2009): Mention boundaries were automatically detected as follows: For each noun or pronoun (determined by parser POS tag), we associated a mention with the maximal NP projection of that head or that word itself if no NP can be found.</S><S sid = NA ssid = NA>We compared our output to the deterministic system of Haghighi and Klein (2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N10-1061.txt | Citing Article:  W11-1916.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our submission was a reduced version of the system described in Haghighi and Klein (2010), with extensions to improve mention detection to suit the OntoNotes annotation scheme.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also compared to the strong deterministic system of Haghighi and Klein (2009).10 Across all data sets, our model, despite being largely unsupervised, consistently outperforms these systems, which are the best previously reported results on end-to-end coreference resolution (i.e. including mention detection).</S><S sid = NA ssid = NA>Formally, this process is described as: For each mention position, i = 1, ... , n, Draw antecedent position Ai E {1, ... , i}: Here, K denotes the number of entities allocated in the first i-1 mention positions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N10-1061.txt | Citing Article:  W11-1916.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike previous work, we did not use the Bllip or Wikipedia data described in Haghighi and Klein (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather than relying on fully supervised data, we took the approach of Haghighi and Klein (2006).</S><S sid = NA ssid = NA>We utilized no coreference annotation during training, but did use minimal prototype information to prime the learning of entity types (Section 5.3).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N10-1061.txt | Citing Article:  W11-1916.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The specific update methods vary for each set of parameters; for details see Section 4 of Haghighi and Klein (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>During training, we proceed in stages, each consisting of 5 iterations: We evaluate our system at the end of stage using the B3All metric on the A05CU development set (see Section 5 for details).</S><S sid = NA ssid = NA>For example, the ri factor update takes the standard mean field form: ri(Api ) a exp{EQ_r, lnP(E, Z, M, -r, 7r)} (2) We briefly describe the update for each additional factor, omitting details for space.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N10-1061.txt | Citing Article:  W11-1916.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike Haghighi and Klein (2010), no extra data from Wikipedia or Bllip was used, a restriction that was necessary to be eligible for the closed part of the task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather than relying on fully supervised data, we took the approach of Haghighi and Klein (2006).</S><S sid = NA ssid = NA>For evaluation, we used standard coreference data sets derived from the ACE corpora: For all experiments, we evaluated on the dev and test sets above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N10-1061.txt | Citing Article:  D11-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Generative models are also used in unsupervised coreference (Haghighi and Klein, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We now describe our generative model.</S><S sid = NA ssid = NA>In general, coreference errors in state-of-theart systems are frequently due to poor models of semantic compatibility (Haghighi and Klein, 2009).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N10-1061.txt | Citing Article:  W11-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While early approaches focused on surface-level methods such as wrapper induction (Kushmerick et al, 1997), more recent work in this area includes Bayesian nonparametrics to select the number of rows in the database (Haghighi and Klein, 2010a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We utilized MUC (Vilain et al., 1995), B3All (Stoyanov et al., 2009), B3None (Stoyanov et al., 2009), and Pairwise F1.</S><S sid = NA ssid = NA>For nominal and pronoun mentions, there are several well-studied anaphora cues, including centering (Grosz et al., 1995), nearness (Hobbs, 1978), and deterministic constraints, which have all been utilized in prior coreference work (Soon et al., 1999; Ng and Cardie, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N10-1061.txt | Citing Article:  W11-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The best coreference systems depend on carefully crafted, problem-specific linguistic features (Bengtson and Roth, 2008) and external knowledge (Haghighi and Klein, 2010b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As an example of nominal headword compatibility, a “president” can be a “leader” but cannot be not an “increase.” Past systems have often computed the compatibility of specific headword pairs, extracted either from lexical resources (Ng, 2007; Bengston and Roth, 2008; Rahman and Ng, 2009), web statistics (Yang et al., 2005), or surface syntactic patterns (Haghighi and Klein, 2009).</S><S sid = NA ssid = NA>Most linguistic inquiry characterizes NP anaphora by the pairwise relations that hold between a mention and its antecedent (Hobbs, 1979; Kehler et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N10-1061.txt | Citing Article:  P11-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This knowledge could be especially helpful for cross document coreference resolution systems (Haghighi and Klein, 2010), which actually represent concepts and track mentions of them across documents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work, we take a primarily unsupervised approach to coreference resolution, broadly similar to Haghighi and Klein (2007), which addresses this issue.</S><S sid = NA ssid = NA>Coreference Resolution in a Modular Entity-Centered Model</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N10-1061.txt | Citing Article:  W11-2213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>11See nlp.cs.berkeley.edu and aria42.com/software.html for software release.</S><S sid = NA ssid = NA>Each entity E is generated independently and consists of a type indicator T, as well as a collection {Lr}rE7Z of word lists for each property.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N10-1061.txt | Citing Article:  D12-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, Haghighi and Klein (2010) include the governor of the head of nominal mentions as features in their model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We set αr to 1 for pronoun heads as well as for the governor of the head properties.</S><S sid = NA ssid = NA>We will often describe proper and nominal mentions together as referring mentions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N10-1061.txt | Citing Article:  P11-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Daume III and Marcu (2005) propose a generative approach to supervised clustering, and Haghighi and Klein (2010) use entity profiles to assist within-document coreference.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather than relying on fully supervised data, we took the approach of Haghighi and Klein (2006).</S><S sid = NA ssid = NA>We now describe our generative model.</S> | Discourse Facet:  NA | Annotator: Automatic


