Citance Number: 1 | Reference Article:  J88-2003.txt | Citing Article:  W90-0110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Forward and backward shifts correspond to introducing the consequence or preparatory phases of events [Moens and Steedman, 1988].</S> | Reference Offset:  ['275','357'] | Reference Text:  <S sid = 275 ssid = >In particular, they do not enter in a causal or contingent relation with a when-clause the way corresponding sentences with events as main Computational Linguistics, Volume 14, Number 2, June 1988 23 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference clauses do.</S><S sid = 357 ssid = >Computational Linguistics, Volume 14, Number 2, June 1988 25 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J88-2003.txt | Citing Article:  W04-0912.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Presuming a tripartite event structure (Moens and Steedman, 1988) consisting of a preparation phase (dynamic phase theta dyn), a culmination point (boundary tau) and a consequent state (static phase phi stat), there are three possibilities for aspect to select.</S> | Reference Offset:  ['36','88'] | Reference Text:  <S sid = 36 ssid = >This new state we will refer to as the consequent state of the event.</S><S sid = 88 ssid = >A nucleus is defined as a structure comprising a culmination, an associated preparatory process, and a consequent state.2 It can be represented pictorially as in Figure 3: Any or all of these elements may be compound: for example, the preparation leading to the culmination of reaching the top of Mt.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J88-2003.txt | Citing Article:  C00-2148.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We decompose each event E into a tripartite structure in a manner similar to Moens and Steedman (1988), introducing a time function for each predicate to specify whether the predicate is true in the preparatory (during (E)), culmination (end (E)), or consequent (result: (E)) stage of an event.</S> | Reference Offset:  ['117','276'] | Reference Text:  <S sid = 117 ssid = >Its result is the corresponding consequent state.</S><S sid = 276 ssid = >They therefore merely predicate that the state in question holds at the time of the culmination: 50.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J88-2003.txt | Citing Article:  P07-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sony Corp. has heavily promoted the Video Walkman since the product's introduction last summer, (2) but Bob Gerson, video editor of This Week in Consumer Electronics, says (3) Sony conceives of 8 mm as a family of products, camcorders and VCR decks, SE classification is a fundamental component in determining the discourse mode of texts (Smith, 2003) and, along with aspectual classification, for temporal interpretation (Moens and Steedman, 1988).</S> | Reference Offset:  ['106','355'] | Reference Text:  <S sid = 106 ssid = >This week he is up to three.</S><S sid = 355 ssid = >Must says something very similar but seems to leave the speaker out of it and says that the proposition follows from the state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J88-2003.txt | Citing Article:  E99-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moens and Steedman (1988), Smith (1991), Pustejovsky (1995), and others argue that it is a defining property of telic events.</S> | Reference Offset:  ['275','357'] | Reference Text:  <S sid = 275 ssid = >In particular, they do not enter in a causal or contingent relation with a when-clause the way corresponding sentences with events as main Computational Linguistics, Volume 14, Number 2, June 1988 23 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference clauses do.</S><S sid = 357 ssid = >Computational Linguistics, Volume 14, Number 2, June 1988 25 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J88-2003.txt | Citing Article:  W04-2604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, each predicate has a time function to show at what stage of the event the predicate holds true, in a manner similar to the event decomposition of Moens and Steedman (1988).</S> | Reference Offset:  ['91','276'] | Reference Text:  <S sid = 91 ssid = >Thus the following sentence, among other meanings that we shall get to in a moment, can simply predicate of a present reference time that the process in question began at some earlier time and has not yet stopped: 14.</S><S sid = 276 ssid = >They therefore merely predicate that the state in question holds at the time of the culmination: 50.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J88-2003.txt | Citing Article:  N12-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moens and Steedman (1988) describes temporal expressions relating to changes of state.</S> | Reference Offset:  ['90','357'] | Reference Text:  <S sid = 90 ssid = >Their result is a type of state that we shall call a progressive state, which describes the process as ongoing at the reference time.</S><S sid = 357 ssid = >Computational Linguistics, Volume 14, Number 2, June 1988 25 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J88-2003.txt | Citing Article:  E12-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consider the following examples, from Ritchie (1979) and Moens and Steedman (1988).</S> | Reference Offset:  ['17','273'] | Reference Text:  <S sid = 17 ssid = >Consider the following examples, suggested by Ritchie 1979: To map the temporal relations expressed in these examples onto linear time, and to try to express the semantics of when in terms of points or intervals (possibly associated with events), would appear to imply either that when is multiply ambiguous, allowing these points or intervals to be temporally related in at least three different ways, or that the relation expressed between main and when-clauses is one of approximate coincidence.</S><S sid = 273 ssid = >With stative main clauses, as in the following examples, the interpretation strategy is somewhat different.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J88-2003.txt | Citing Article:  W08-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >An obvious first step, which we are currently working on, is to include a linguistically motivated temporal ontology (Moens and Steedman,1988), which will be separate from the existing do main ontology.</S> | Reference Offset:  ['0','357'] | Reference Text:  <S sid = 0 ssid = >Temporal Ontology And Temporal Reference</S><S sid = 357 ssid = >Computational Linguistics, Volume 14, Number 2, June 1988 25 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J88-2003.txt | Citing Article:  E93-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is suggested that when clauses, by contrast, do not implicate inceptiveness; indeed they do not have any special temporal implicatures (cf. Moens and Steedman 1988). However, it can be argued that when does have a.</S> | Reference Offset:  ['132','275'] | Reference Text:  <S sid = 132 ssid = >However, this does not seem to be the case.</S><S sid = 275 ssid = >In particular, they do not enter in a causal or contingent relation with a when-clause the way corresponding sentences with events as main Computational Linguistics, Volume 14, Number 2, June 1988 23 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference clauses do.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J88-2003.txt | Citing Article:  W04-0212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The latter would accord with a theoretical distinction that has been made between post posed when expressing a purely temporal relation between the two clauses, and proposed when ex pressing a contingent relation between them (Moens and Steedman, 1988).</S> | Reference Offset:  ['18','275'] | Reference Text:  <S sid = 18 ssid = >However, neither of these tactics explains the peculiarity of utterances like the following: The unusual character of this statement seems to arise because the when-clause predicates something more than mere temporal coincidence, that is, some contingent relation such as a causal link or an enablement relation between the two events.</S><S sid = 275 ssid = >In particular, they do not enter in a causal or contingent relation with a when-clause the way corresponding sentences with events as main Computational Linguistics, Volume 14, Number 2, June 1988 23 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference clauses do.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J88-2003.txt | Citing Article:  W03-0910.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Each semantic predicate in VerbNet also include a time function specifying whether the predicate is true in the preparatory (during (E)) ,culmination (end (E)), or consequent (result (E)) stage of an event, in a tripartite event structure is similar to that of Moens and Steedman (1988), which allows us to express the semantics of classes of verbs like change of state verbs whose description requires reference to a complex event structure.</S> | Reference Offset:  ['36','82'] | Reference Text:  <S sid = 36 ssid = >This new state we will refer to as the consequent state of the event.</S><S sid = 82 ssid = >Similarly, the culmination itself may be a complex event.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J88-2003.txt | Citing Article:  W91-0222.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['137','401'] | Reference Text:  <S sid = 137 ssid = >The question rather seems to concern consequences of the culminated process as a whole.</S><S sid = 401 ssid = >An earlier version of some parts of this paper was presented as Moens and Steedman 1987.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J88-2003.txt | Citing Article:  W91-0222.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['137','401'] | Reference Text:  <S sid = 137 ssid = >The question rather seems to concern consequences of the culminated process as a whole.</S><S sid = 401 ssid = >An earlier version of some parts of this paper was presented as Moens and Steedman 1987.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J88-2003.txt | Citing Article:  W91-0222.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The subdivision is achieved by means of three features proposed by [Bennett et al, 1990] following the framework of [Moens and Steedman, 1988].</S> | Reference Offset:  ['232','357'] | Reference Text:  <S sid = 232 ssid = >Steedman 1982).</S><S sid = 357 ssid = >Computational Linguistics, Volume 14, Number 2, June 1988 25 Marc Moens and Mark Steedman Temporal Ontology and Temporal Reference state of the world at speech time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J88-2003.txt | Citing Article:  W91-0222.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The subdivision is achieved by means of three features proposed by [Bennett et al., 1990] following the framework of [Moens and Steedman, 1988] (in the spirit of [Dowty, 1979] and [Vendler, 1967]): +-dynamic (i.e., events vs. states, as in the Jackendoff framework), +-telic (i.e., culminative events (transitions) vs. nonculminative events (activities)), and +-atomic (i.e., point events vs. extended events).</S> | Reference Offset:  ['81','380'] | Reference Text:  <S sid = 81 ssid = >The consequent state may also be compound; most importantly, it includes the further events, if any, that are in the same sequence of contingently related events as the culmination.</S><S sid = 380 ssid = >Extended events are represented in terms of a pair of punctual events, identifying their starting point as well as the point at which they end (in the case of processes) or culminate (in the case of culminated processes).</S> | Discourse Facet:  NA | Annotator: Automatic


