Citance Number: 1 | Reference Article:  P00-1065.txt | Citing Article:  C02-1156.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See (Gildea and Jurafsky, 2000) for some promising initial work in applying statistical techniques to the FrameNet database to automatically label frame elements.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The FrameNet database defines a tagset of semantic roles called frame elements, and includes roughly 50,000 sentences from the British National Corpus which have been hand-labeled with these frame elements.</S><S sid = NA ssid = NA>We apply statistical techniques that have been successful for these tasks, including probabilistic parsing and statistical classification.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P00-1065.txt | Citing Article:  W09-2603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Pado et al., 2008) describe an unsupervised approach that, like ours, uses verbal argument patterns to deduce deverbal patterns, though the resulting labels are semantic roles used in SLR tasks (cf. (Gildea and Jurafsky, 2000)) rather than syntactic roles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Rather, examples are chosen to illustrate typical usage patterns for each word.</S><S sid = NA ssid = NA>The next section describes the set of frame elements/semantic roles used by our system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P00-1065.txt | Citing Article:  N04-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We plan to continue this work by integrating semantic role identification with parsing, by bootstrapping the system on larger, and more representative, amounts of data, and by attempting to generalize from the set of predicates chosen by FrameNet for annotation to general text.</S><S sid = NA ssid = NA>The probability computation will be described in the next section; the features include: Phrase Type: This feature indicates the syntactic type of the phrase expressing the semantic roles: examples include noun phrase (NP), verb phrase (VP), and clause (S).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P00-1065.txt | Citing Article:  W04-3214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Starting with Gildea and Jurafsky (2000), a number of studies have developed (almost exclusively statistical) models of this task, e.g. Thompson et al. (2003) and Fleischman et al. (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our statistical algorithms are trained on a hand-labeled dataset: the FrameNet database (Baker et al., 1998).</S><S sid = NA ssid = NA>For example, in the context of the Air Traveler Information System (ATIS) for spoken dialogue, Miller et al. (1996) computed the probability that a constituent such as &quot;Atlanta&quot; filled a semantic slot such as DESTiNATioN in a semantic frame for air travel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P00-1065.txt | Citing Article:  W04-3214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since direct assignment of role labels to instances fails due to the preponderance of unlabelled instances, which make up 86.7% of all instances, we follow Gildea and Jurafsky (2000) in splitting the task into two sequential subtasks: first, argument recognition decides for each instance whether it bears a semantic role or not; then, argument labelling assigns a label to instances recognised as role-bearers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The clustered head word alone correctly classified 79.7% of the cases where the head word was in the vocabulary used for clustering; 97.9% of instances of nominal head words were in the vocabulary.</S><S sid = NA ssid = NA>Probabilities for each possible semantic role r are then computed from the features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P00-1065.txt | Citing Article:  W04-2503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There has been some related work on using the frame of FrameNet for reasoning (Chang et al, 2002) and also on the automatic annotation of English texts with regard to the relevant frames (Gildea and Jurafsky, 2000) and frame elements.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The experiment was performed using only frame elements with a noun as head word.</S><S sid = NA ssid = NA>Our statistical algorithms are trained on a hand-labeled dataset: the FrameNet database (Baker et al., 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To our knowledge, Gildea and Jurafsky (2000) is the only work that uses FrameNet to build a statistical semantic classifier.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Adding semantic role subcategorization information to this syntactic information could extend this idea to use richer semantic knowledge.</S><S sid = NA ssid = NA>The system is a statistical one, based on training a classifier on a labeled training set, and testing on an unlabeled test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gildea and Jurafsky (2000) describe a system that uses completely syntactic features to classify the Frame Elements in a sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Experiments were conducted using features similar to those described above to identify constituents in a sentence's parse tree that were likely to be frame elements.</S><S sid = NA ssid = NA>Roughly 5% of the examples were identified as passive uses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We extend Gildea and Jurafsky (2000)'s initial effort in three ways.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although we expect our features to interact in various ways, the data are too sparse to calculate probabilities directly on the full set of features.</S><S sid = NA ssid = NA>Adding semantic role subcategorization information to this syntactic information could extend this idea to use richer semantic knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Training (32,251 sentences), development (3,491 sentences), and held out test sets (3,398 sentences) were generated from the June 2002 FrameNet release following the divisions used in Gildea and Jurafsky (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Example sentences are shown in Table 1.</S><S sid = NA ssid = NA>Results for this system on test data, held out during development of the system, are shown in Table correct, without use of any of the syntactic features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to data sparsity issues, we do not calculate this model directly, but rather, model various feature combinations as described in Gildea and Jurafsky (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although we expect our features to interact in various ways, the data are too sparse to calculate probabilities directly on the full set of features.</S><S sid = NA ssid = NA>Since the parser used assigns each constituent a head word as an integral part of the parsing model, we were able to read the head words of the constituents from the parser output.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Gildea and Jurafsky (2000) use 36995 training, 4000 development, and 3865 test sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Results for this system on test data, held out during development of the system, are shown in Table correct, without use of any of the syntactic features.</S><S sid = NA ssid = NA>The system is a statistical one, based on training a classifier on a labeled training set, and testing on an unlabeled test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a further analysis, we have examined the performance of our base ME model on the same test set as that used in Gildea and Jurafsky (2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The system is a statistical one, based on training a classifier on a labeled training set, and testing on an unlabeled test set.</S><S sid = NA ssid = NA>For our experiments, we divided the FrameNet corpus as follows: one-tenth of the annotated sentences for each target word were reserved as a test set, and another one-tenth were set aside as a tuning set for developing our system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P00-1065.txt | Citing Article:  N03-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Gildea and Jurafsky (2000), automatic extraction of grammatical information here is limited to the governing category of a Noun Phrase.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A system using grammatical function, along with the head word, phrase type, and target word, but no passive information, scored 79.2%.</S><S sid = NA ssid = NA>The probability computation will be described in the next section; the features include: Phrase Type: This feature indicates the syntactic type of the phrase expressing the semantic roles: examples include noun phrase (NP), verb phrase (VP), and clause (S).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P00-1065.txt | Citing Article:  W04-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Gildea and Jurafsky, 2000) proposed a statistical approach based on FrameNet I data for annotation of semantic roles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The FrameNet project proposes roles at an intermediate level, that of the semantic frame.</S><S sid = NA ssid = NA>The preliminary version of the FrameNet corpus used for our experiments contained 67 frames from 12 general semantic domains chosen for annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P00-1065.txt | Citing Article:  P13-2074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The features used for training the labeler are a subset of the features used by Gildea and Jurafsky (2000), Xue and Palmer (2004), and Pradhan et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Lexical statistics computed on constituent head words were found to be the most important of the features used.</S><S sid = NA ssid = NA>Various lexical and syntactic features are derived from parse trees and used to derive statistical classifiers from hand-annotated training data.</S> | Discourse Facet:  NA | Annotator: Automatic


