Citance Number: 1 | Reference Article:  P04-1018.txt | Citing Article:  P14-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Luo et al (2004) also apply beam search at test time, but use a static assignment of antecedents and learns log-linear model using batch learning.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A beam search algorithm is used to search the best entity result.</S><S sid = NA ssid = NA>These numbers are obtained with a fixed search beam and pruning threshold (widening the search beam or using a smaller pruning threshold did not change results significantly).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P04-1018.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Details of this process can be found in Luo et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details of the mention detection and coreference system can be found in (Florian et al., 2004).</S><S sid = NA ssid = NA>Early work of anaphora resolution focuses on finding antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998), while recent advances (Soon et al., 2001; Yang et al., 2003; Ng and Cardie, 2002; Ittycheriah et al., 2003) employ statistical machine learning methods and try to resolve reference among all kinds of noun phrases (NP), be it a name, nominal, or pronominal phrase – which is the scope of this paper as well.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P04-1018.txt | Citing Article:  D08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also would like to thank the anonymous reviewers for suggestions of improving the paper.</S><S sid = NA ssid = NA>Mention index represents the order it appears in the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1018.txt | Citing Article:  D08-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Luo et al (2004) pointed out that one can obtain a very high MUC score simply by lumping all mentions together.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For tests on the MUC data, we report both F-measure using the official MUC score (Vilain et al., 1995) and ECM-F.</S><S sid = NA ssid = NA>Details of the mention detection and coreference system can be found in (Florian et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1018.txt | Citing Article:  W10-2301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also would like to thank the anonymous reviewers for suggestions of improving the paper.</S><S sid = NA ssid = NA>Mention index represents the order it appears in the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1018.txt | Citing Article:  W10-2301.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also would like to thank the anonymous reviewers for suggestions of improving the paper.</S><S sid = NA ssid = NA>Mention index represents the order it appears in the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1018.txt | Citing Article:  N06-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also would like to thank the anonymous reviewers for suggestions of improving the paper.</S><S sid = NA ssid = NA>Mention index represents the order it appears in the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1018.txt | Citing Article:  P08-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Luo et al (2004) propose a system that performs coreference resolution by doing search in a large space of entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Bell tree represents the search space of the coreference resolution problem.</S><S sid = NA ssid = NA>The Bell tree clearly represents the search space of the coreference resolution problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1018.txt | Citing Article:  P08-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a base line, we follow the solution proposed in (Luo et al, 2004) to design a set of first-order features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A features.</S><S sid = NA ssid = NA>Effective training algorithm exists (Berger et al., 1996) once the set of features is selected.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1018.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Luo et al (2004) apply the ANY predicate to generate cluster-level features for their entity-mention model, which does not perform as well as the mention-pair model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that, however, the mention-pair model uses times more features than the entity-pair model.</S><S sid = NA ssid = NA>Since the mention-pair model is better, subsequent analyses are done with the mention pair model only.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1018.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Memorization features have been used as binary-valued features indicating the presence or absence of their words (Luo et al, 2004) or as probabilistic features indicating the probability that the two heads are coreferent according to the training data (Ng, 2007b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A features.</S><S sid = NA ssid = NA>The full entity-mention model has about features, due to less number of conjunction features and training examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1018.txt | Citing Article:  D11-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also would like to thank the anonymous reviewers for suggestions of improving the paper.</S><S sid = NA ssid = NA>Mention index represents the order it appears in the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1018.txt | Citing Article:  P07-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our existing co-reference module is a state-of the-art system that produces very competitive results compared to other existing systems (Luo et al., 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>State-of-the-art performance has been achieved on the ACE coreference data across three languages.</S><S sid = NA ssid = NA>We also train a coreference system using the MUC6 data and competitive results are obtained.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1018.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Distances have been used in e.g. Luo et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details of the mention detection and coreference system can be found in (Florian et al., 2004).</S><S sid = NA ssid = NA>Early work of anaphora resolution focuses on finding antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998), while recent advances (Soon et al., 2001; Yang et al., 2003; Ng and Cardie, 2002; Ittycheriah et al., 2003) employ statistical machine learning methods and try to resolve reference among all kinds of noun phrases (NP), be it a name, nominal, or pronominal phrase – which is the scope of this paper as well.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P04-1018.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also would like to thank the anonymous reviewers for suggestions of improving the paper.</S><S sid = NA ssid = NA>Mention index represents the order it appears in the document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P04-1018.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Luo et al (2004) perform the clustering step within a Bell tree representation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Bell tree representation is also incremental in that mentions are added sequentially.</S><S sid = NA ssid = NA>The second mention is Figure 1: Bell tree representation for three mentions: numbers in [] denote a partial entity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P04-1018.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They report considerable improvements over state-of the-art systems including Luo et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>State-of-the-art performance has been achieved on the ACE coreference data across three languages.</S><S sid = NA ssid = NA>Details of the mention detection and coreference system can be found in (Florian et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


