Citance Number: 1 | Reference Article:  W04-1221.txt | Citing Article:  W04-1213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, CRFs were employed by one system in isolation (Settles, 2004) and by another system in combination with SVMs (Song et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CRFs are presented in more complete detail by Lafferty et al. (2001).</S><S sid = NA ssid = NA>In a previous attempt to use a Hidden Markov Model to simultaneously recognize multiple biomedical entities (Collier et al., 2000), HMM performance for a particular entity seemed more or less proportional to its frequency in the data.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W04-1221.txt | Citing Article:  W10-1911.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Genes/Proteins are not the Same Many of the existing BNER systems, which are mainly tuned for gene/protein identification, use features such as token shape (also known as word class and brief word class (Settles, 2004)), Greek alphabet matching, Roman number matching and so forth.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is a similar “brief word class” feature which collapses consecutive identical characters into one.</S><S sid = NA ssid = NA>I prepared a total of 17 such lexicons, which include 7 that were entered by hand (Greek letters, amino acids, chemical elements, known viruses, plus abbreviations of all these), and 4 corresponding to genes, chromosome locations, proteins, and cell lines, drawn from online public databases (Cancer GeneticsWeb,2 BBID,3 SwissProt,4 and the Cell Line Database5).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-1221.txt | Citing Article:  I08-2078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Settles, 2004) reported that a system using a subset of features out performed one using a full set of features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two experiments were completed in the time allotted: one CRF model using only the orthographic features described in section 3.1, and a second system using all the semantic lexicons from 3.2 as well.</S><S sid = NA ssid = NA>This paper presents a framework for simultaneously recognizing occurrences of PROTEIN, DNA, RNA, CELL-LINE, and CELL-TYPE entity classes using Conditional Random Fields with a variety of traditional and novel features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-1221.txt | Citing Article:  I08-2078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work is supported by NLM training grant 5T15LM007359-02 and NIH grant R01 LM07050-01.</S><S sid = NA ssid = NA>The present model includes training vocabulary, 17 orthographic features based on regular expressions (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-1221.txt | Citing Article:  I08-2078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The features used in our experiments mainly follow the work of (Settles, 2004) and (Collins, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This section outlines the two main types of features used in these experiments.</S><S sid = NA ssid = NA>CRFs are presented in more complete detail by Lafferty et al. (2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-1221.txt | Citing Article:  I08-2078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our performance of the single-phase CRF with maximum likelihood training is 69.44%, which agrees with (Settles, 2004) who also uses similar settings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These weights are set to maximize the conditional log likelihood of labeled sequences in a training set D = f(o, l)(1), ... , (o, l)(n)�: When the training state sequences are fully labeled and unambiguous, the objective function is convex, thus the model is guaranteed to find the optimal weight settings in terms of LL(D).</S><S sid = NA ssid = NA>The CRF can learn weights for these individual words, but it may help to build general, dynamic keyword lexicons that are associated with each label to assist in disambiguating between similar classes (and perhaps boost performance on low-frequency labels, such as RNA and CELL-LINE, for which training data are sparse).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-1221.txt | Citing Article:  I08-5003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work is supported by NLM training grant 5T15LM007359-02 and NIH grant R01 LM07050-01.</S><S sid = NA ssid = NA>The present model includes training vocabulary, 17 orthographic features based on regular expressions (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-1221.txt | Citing Article:  I05-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work is supported by NLM training grant 5T15LM007359-02 and NIH grant R01 LM07050-01.</S><S sid = NA ssid = NA>The present model includes training vocabulary, 17 orthographic features based on regular expressions (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-1221.txt | Citing Article:  W07-1502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The named entity tagger used throughout in this section is based on Conditional Random Fields and similar to the one presented by (Settles, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Biomedical Named Entity Recognition Using Conditional Random Fields And Rich Feature Sets</S><S sid = NA ssid = NA>In short, I have presented in detail a framework for recognizing multiple entity classes in biomedical abstracts with Conditional Random Fields.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-1221.txt | Citing Article:  W10-1838.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hence, the use of a named entity tagger supports the evaluation results when comparing the various biomedical entity recognition (Settles, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Biomedical Named Entity Recognition Using Conditional Random Fields And Rich Feature Sets</S><S sid = NA ssid = NA>Biomedical named entity recognition can be thought of as a sequence segmentation problem: each word is a token in a sequence to be assigned a label (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


