Citance Number: 1 | Reference Article:  P93-1003.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm is robust, and extensible in several ways.</S><S sid = NA ssid = NA>Linguistic structure is used in the form of noun phrase recognizers to select phrases for a stochastic model which serves as a means of minimizing errors due to the approximations inherent in the correspondence model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P93-1003.txt | Citing Article:  W95-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kupiec (1993) also briefly mentions the use of finite state NP recognizers for both English and French to prepare the input for a program that identified the correspondences between NPs in bilingual corpora, but he does not directly discuss their performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S><S sid = NA ssid = NA>The taggers provide part-of-speech categories which are used by finite-state recognizers to extract simple noun phrases for both languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P93-1003.txt | Citing Article:  W97-0311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Kupiec (1993) presented a method for finding translations of whole noun phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S><S sid = NA ssid = NA>This provides a heuristic method for reducing ambiguity in noun phrases that occur several times.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P93-1003.txt | Citing Article:  W01-1412.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bound-length N-gram correspondences include (Kupiec, 1993) where NP recognizers are used to extract translation units and (Smadja et al, 1996) which uses the Extract system to extract collocations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The taggers provide part-of-speech categories which are used by finite-state recognizers to extract simple noun phrases for both languages.</S><S sid = NA ssid = NA>[Cutting et al., 1992]).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P93-1003.txt | Citing Article:  W10-4006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We informally evaluated the MWE extraction tool following Kupiec (1993) by manually inspecting the mapping of the 100 most frequent terms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>So far it has been assumed (for the sake of simplicity) that there is always a one-to-one mapping between English and French sentences.</S><S sid = NA ssid = NA>The term &quot;correspondence&quot; is used here to signify a mapping between words in two aligned sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P93-1003.txt | Citing Article:  P06-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm is robust, and extensible in several ways.</S><S sid = NA ssid = NA>Linguistic structure is used in the form of noun phrase recognizers to select phrases for a stochastic model which serves as a means of minimizing errors due to the approximations inherent in the correspondence model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P93-1003.txt | Citing Article:  C94-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kupiec proposes an Mgorithm for finding noun phrases in bilingual corpora (Kupiec, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S><S sid = NA ssid = NA>Finding Word Correspondences: The algorithm finds corresponding noun phrases but provides no information about word-level correspondences within them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P93-1003.txt | Citing Article:  C94-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The plausible hypothesis that parallel sentences containing corresponding linguistic expressions is the major premise in Kupiec (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The words in sentences are first tagged with their corresponding part-of-speech categories.</S><S sid = NA ssid = NA>Simple noun phrases (excluding pronouns and digits) are then extracted from the sentences by finite-state recognizers that are specified by regular expressions defined in terms of part-ofspeech categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P93-1003.txt | Citing Article:  C94-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In Kupiec (1993) and Yamamoto (1993), term and phrase extraction is applied to both of parallel texts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The term &quot;correspondence&quot; is used here to signify a mapping between words in two aligned sentences.</S><S sid = NA ssid = NA>The prepositional phrase attaches to the noun phrase in both languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P93-1003.txt | Citing Article:  W03-0314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous works that focus on multi-word translation correspondences from parallel corpora include noun phrase correspondences (Kupiec, 1993), fixed/flexiblecollocations (Smadja et al, 1996), n-gram word sequences of arbitrary length (Kitamura and Matsumoto, 1996), non-compositional compounds (Melamed, 2001), captoids (Moore, 2001), and named entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finding Word Correspondences: The algorithm finds corresponding noun phrases but provides no information about word-level correspondences within them.</S><S sid = NA ssid = NA>An Algorithm For Finding Noun Phrase Correspondences In Bilingual Corpora</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P93-1003.txt | Citing Article:  W03-0314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kupiec (1993) focuses on noun-phrase translations only, Smadja et al (1996) limits to find French translation of English collocation identified by his Xtract system, and Kitamura and Matsumoto (1996) can exhaustively enumerate only rigid word sequences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>[Cutting et al., 1992]).</S><S sid = NA ssid = NA>Instances of the English collocation are found and the mutual information is calculated between the instances and various single word candidates in aligned French sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P93-1003.txt | Citing Article:  E09-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most bilingual terminology extraction systems first identify candidate terms in the source language based on predefined source patterns, and then select translation candidates for these terms in the target language (Kupiec, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Including Context: In the algorithm, correspondences between source and target noun phrases are considered irrespectively of other correspondences in an alignment.</S><S sid = NA ssid = NA>The prepositional phrase attaches to the noun phrase in one language and does not in the other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P93-1003.txt | Citing Article:  A94-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Part-of-speech taggers are used in a few applications, such as speech synthesis (Sproat et al, 1992) and question answering (Kupiec, 1993b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>[Cutting et al., 1992]).</S><S sid = NA ssid = NA>The taggers provide part-of-speech categories which are used by finite-state recognizers to extract simple noun phrases for both languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P93-1003.txt | Citing Article:  C02-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm is robust, and extensible in several ways.</S><S sid = NA ssid = NA>Linguistic structure is used in the form of noun phrase recognizers to select phrases for a stochastic model which serves as a means of minimizing errors due to the approximations inherent in the correspondence model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P93-1003.txt | Citing Article:  P13-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm is robust, and extensible in several ways.</S><S sid = NA ssid = NA>Linguistic structure is used in the form of noun phrase recognizers to select phrases for a stochastic model which serves as a means of minimizing errors due to the approximations inherent in the correspondence model.</S> | Discourse Facet:  NA | Annotator: Automatic


