Citance Number: 1 | Reference Article:  P06-1014.txt | Citing Article:  W07-2059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, in the coarse-grained task, the sense inventory was first clustered semi-automatically with each cluster representing an equivalence class over senses (Navigli, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We modified the sense inventory of the SSI lexical knowledge base by adopting the coarse inventory acquired automatically.</S><S sid = NA ssid = NA>In this section, we present an approach to the automatic construction of a coarse-grained sense inventory based on the mapping of WordNet senses to coarse senses in the Oxford Dictionary of English.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1014.txt | Citing Article:  P08-2063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Navigli (2006) has induced clusters by mapping WordNet senses to a more coarse-grained lexical resource.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we present an approach to the automatic construction of a coarse-grained sense inventory based on the mapping of WordNet senses to coarse senses in the Oxford Dictionary of English.</S><S sid = NA ssid = NA>We assess the quality of the mapping and the induced clustering, and evaluate the performance of coarse WSD systems in the Senseval-3 English all-words task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1014.txt | Citing Article:  D07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Navigli, 2006) presents an automatic approach for mapping between sense inventories; here similarities in gloss definition and structured relations between the two sense inventories are exploited in order to map between WordNet senses and distinctions made within the coarser-grained Oxford English Dictionary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we present an approach to the automatic construction of a coarse-grained sense inventory based on the mapping of WordNet senses to coarse senses in the Oxford Dictionary of English.</S><S sid = NA ssid = NA>Second, we evaluate the performance of WSD systems when using coarse-grained sense inventories (Section 4).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1014.txt | Citing Article:  D07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, we use as a feature the mappings produced in (Navigli, 2006) of WordNet senses to Oxford English Dictionary senses.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we present an approach to the automatic construction of a coarse-grained sense inventory based on the mapping of WordNet senses to coarse senses in the Oxford Dictionary of English.</S><S sid = NA ssid = NA>A key feature in our approach is the use of a well-established dictionary encoding sense hierarchies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1014.txt | Citing Article:  D07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to evaluate the entire sense-clustered taxonomy, we have employed an evaluation method inspired by Word Sense Disambiguation (this is similar to an evaluation used in Navigli, 2006, however we do not remove monosemous clusters).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Indeed, such an evaluation would be difficult and timeconsuming without a coarse sense inventory like that of ODE.</S><S sid = NA ssid = NA>Unfortunately, the approach is not described in detail and no evaluation is provided.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1014.txt | Citing Article:  W07-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To tackle the granularity issue, we produced a coarser-grained version of the WordNet sense inventory based on the procedure described by Navigli (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As a result, the granularity of the WordNet inventory would be drastically reduced.</S><S sid = NA ssid = NA>In this paper, we present a method for reducing the granularity of the WordNet sense inventory based on the mapping to a manually crafted dictionary encoding sense hierarchies, namely the Oxford Dictionary of English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1014.txt | Citing Article:  P10-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The data were annotated with coarse-grained senses which were obtained by clustering senses from the Word Net 2.1 sense inventory based on the procedure proposed by Navigli (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section, we present an approach to the automatic construction of a coarse-grained sense inventory based on the mapping of WordNet senses to coarse senses in the Oxford Dictionary of English.</S><S sid = NA ssid = NA>First, we provide a wide-coverage method for clustering WordNet senses via a mapping to a coarse-grained sense inventory, namely the Oxford Dictionary of English (Soanes and Stevenson, 2003) (Section 2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1014.txt | Citing Article:  S10-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, the method presented here could be useful for lexicographers in the comparison of the quality of dictionaries, and in the detection of missing word senses.</S><S sid = NA ssid = NA>To match definitions in a semantic manner we adopted a knowledge-based Word Sense Disambiguation algorithm, Structural Semantic Interconnections (SSI, Navigli and Velardi (2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1014.txt | Citing Article:  W07-1404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This clustering was created automatically with the aid of a methodology described in (Navigli, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The data set was created by two annotators and included only polysemous words.</S><S sid = NA ssid = NA>Unfortunately, the approach is not described in detail and no evaluation is provided.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1014.txt | Citing Article:  E09-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, the method presented here could be useful for lexicographers in the comparison of the quality of dictionaries, and in the detection of missing word senses.</S><S sid = NA ssid = NA>To match definitions in a semantic manner we adopted a knowledge-based Word Sense Disambiguation algorithm, Structural Semantic Interconnections (SSI, Navigli and Velardi (2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1014.txt | Citing Article:  E12-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Automatically creating new alignments is difficult because of word ambiguities, different granularities of senses, or language specific conceptualizations (Navigli, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They study semantic regularities or generalizations obtained and analyze the effect of clustering on the compatibility of language-specific wordnets.</S><S sid = NA ssid = NA>We call this new setting SSI* (as opposed to SSI used in Table 4).</S> | Discourse Facet:  NA | Annotator: Automatic


