Citance Number: 1 | Reference Article:  J95-4004.txt | Citing Article:  P96-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Brill, 1995) a system of rules which uses both ending-guessing and more morphologically motivated rules is described.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The direct correlation between rules and performance improvement in transformation-based learning can make the learned rules more readily interpretable than decision tree rules for increasing population purity.'</S><S sid = NA ssid = NA>If the most likely tag for unknown words can be assigned with high accuracy, then the contextual rules can be used to improve accuracy, as described above.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J95-4004.txt | Citing Article:  E12-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Dojchinova and Mihov (2004) mapped their initial tag set of 946 tags to just 40, which allowed them to achieve 95.5% accuracy using the transformation-based learning of Brill (1995), and 98.4% accuracy using manually crafted linguistic rules.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using the tagger without lexicalized rules, an overall accuracy of 96.3% and an unknown word accuracy of 82.0% is obtained.</S><S sid = NA ssid = NA>Ideally, we would like to achieve as large an increase in accuracy with as few extra tags as possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J95-4004.txt | Citing Article:  C02-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used Brill's tagger (Brill, 1995) and Memory-Based Shallow Parser (Daelemansetal., 1999) to analyze English sentences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S><S sid = NA ssid = NA>This learning approach has also been applied to a number of other tasks, including prepositional phrase attachment disambiguation (Brill and Resnik 1994), bracketing text (Brill 1993a) and labeling nonterminal nodes (Brill 1993c).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J95-4004.txt | Citing Article:  E06-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A third, clean-up pass is then performed to partially disambiguate the identified WordNet glosses with Brill's part-of-speech tagger (Brill, 1995), which performs with up to 95% accuracy, and eliminates errors introduced into the list by part-of-speech ambiguity of some words acquired in pass 1 and from the seed list.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S><S sid = NA ssid = NA>Even if decision trees are applied to a corpus in a left-to-right fashion, they are allowed only one pass in which to properly classify.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J95-4004.txt | Citing Article:  W04-2422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>According to (Brill, 1995), a Transformation-Based Error-Driven learning application is defined by 1. The initial annotation scheme 2. The space of allowable transformations 3. The iterative algorithm for choosing a transformation sequence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are a number of practical differences between transformation-based error-driven learning and learning decision trees.</S><S sid = NA ssid = NA>Figure 1 illustrates how transformation-based error-driven learning works.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J95-4004.txt | Citing Article:  W04-2422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, in a part-of-speech tagging task, the initial an notation may assign each token its most likely tag without any regard to context (Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Consider the part-of-speech tagging example above.</S><S sid = NA ssid = NA>The tenth transformation is for the token 's, which is a separate token in the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J95-4004.txt | Citing Article:  W04-2422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The addition of a look-ahead searcher has been suggested (Brill, 1995), but we have not seen it implemented in a research context, likely due to the fact that a straightforward implementation of the concept would at minimum square the amount of time required for training.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each known word in the test corpus was tagged with all tags seen with that word in the training corpus and the five most likely unknown-word tags were assigned to all words not seen in the training corpus.'</S><S sid = NA ssid = NA>Other more sophisticated search techniques could be used, such as simulated annealing or learning with a look-ahead window, but we have not yet explored these alternatives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J95-4004.txt | Citing Article:  N03-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Many alternatives suggest themselves to expand the options, including maximum entropy models, which have been previously successfully applied to, inter alia, sentence boundary detection (Reynar and Ratnaparkhi, 1997), and transformation-based learning, as used in part-of-speech tagging and statistical parsing applications (Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S><S sid = NA ssid = NA>The initial-state annotator is the tagging output of the previously described one-best transformation-based tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J95-4004.txt | Citing Article:  E09-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>TBL is a machine learning approach that has been employed to solve a number of problems in natural language processing; most famously, it has been used for part-of-speech tagging (Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Transformation-Based-Error-Driven Learning And Natural Language Processing: A Case Study In Part-Of-Speech Tagging</S><S sid = NA ssid = NA>This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J95-4004.txt | Citing Article:  P05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most notable of these include the trigram HMM tagger (Brants, 2000), maximum entropy tagger (Ratna park hi, 1996), transformation-based tagger (Brill, 1995), and cyclic dependency networks (Toutanova et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The transformation-based tagger obtained the same accuracy with 1.43 tags per word, one third the number of additional tags as the baseline tagger.'</S><S sid = NA ssid = NA>Accuracy of that tagger was 97.0%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J95-4004.txt | Citing Article:  I08-4028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A class sequence example Transformation-based learning is a symbolic machine learning method, introduced by (Eric Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, take the sequence:</S><S sid = NA ssid = NA>Figure 2 shows an example of learning transformations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J95-4004.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There has been a modest amount of previous work on improving probabilistic decision lists, as well as a fair amount of work in related fields, especially in transformation-based learning (Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was funded in part by NSF grant IRI-9502312.</S><S sid = NA ssid = NA>There are a number of practical differences between transformation-based error-driven learning and learning decision trees.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J95-4004.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, in part-of-speech tagging (Brill, 1995), when the tag of one word is changed, it changes the answers to questions for nearby words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For tagging unknown words, each word is initially assigned a part-of-speech tag based on word and word-distribution features.</S><S sid = NA ssid = NA>For instance, whether the previous word is tagged as to-infinitival or to-preposition may be a good cue for determining the part of speech of a word.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J95-4004.txt | Citing Article:  W02-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, since probabilistic decision lists are probabilistic analogs of TBLs, we compared to TBL (Brill,1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Once text has been passed through the initial-state annotator, it is then compared to the truth.</S><S sid = NA ssid = NA>This algorithm has been applied to a number of natural language problems, including part-of-speech tagging, prepositional phrase attachment disambiguation, and syntactic parsing (Brill 1992; Brill 1993a; Brill 1993b; Brill and Resnik 1994; Brill 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J95-4004.txt | Citing Article:  W06-0141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Partly inheriting from (Brill, 1995), we applied error-driven learning to filter prefixes in Sp and suffixes in Ss.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are a number of practical differences between transformation-based error-driven learning and learning decision trees.</S><S sid = NA ssid = NA>Figure 1 illustrates how transformation-based error-driven learning works.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J95-4004.txt | Citing Article:  W02-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In line with our assumption of raw text to extract over, we use the Brill tagger (Brill, 1995) to automatically tag the WSJ, rather than making use of the manual POS annotation provided in the Penn Treebank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the nonlexicalized tagger, the transformation templates we use are: Change tag a to tag b when: where a, b, z and w are variables over the set of parts of speech.</S><S sid = NA ssid = NA>To our knowledge, this is the highest overall tagging accuracy ever quoted on the Penn Treebank Corpus when making the open vocabulary assumption.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J95-4004.txt | Citing Article:  C04-1157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The expanded set of results are summarised in Table 1, for Transformation Based Learning (TBL) (Brill, 1995).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These results are summarized in table 1.</S><S sid = NA ssid = NA>In table 2, we show tagging results obtained on a number of different corpora, in each case training on roughly 9.5 x 105 words total and testing on a separate test set of 1.5-2 x 108 words.</S> | Discourse Facet:  NA | Annotator: Automatic


