Citance Number: 1 | Reference Article:  N04-4015.txt | Citing Article:  H05-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another project utilizing morphological analysis for statistical machine translation is described by Lee (2004).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Morphological Analysis For Statistical Machine Translation</S><S sid = 1 ssid = >We present a novel morphological analysis technique which induces a morphological and syntactic symmetry between two languages with highly asymmetrical morphological structures to improve statistical machine translation qualities.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N04-4015.txt | Citing Article:  P08-2039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lee (2004) uses a trigram language model to segment Arabic words.</S> | Reference Offset:  ['44','61'] | Reference Text:  <S sid = 44 ssid = >IBM Model 1, implements the idea that if a morpheme in one language is robustly translated into a distinct part-of-speech in the other language, the morpheme is very likely to have its independent counterpart in the other language.</S><S sid = 61 ssid = >Phrase Translation Model, does not affect the performance of IBM Model 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N04-4015.txt | Citing Article:  W06-3102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['16','65'] | Reference Text:  <S sid = 16 ssid = >If a word token contains more than one prefix and/or suffix, we posit multiple prefixes/suffixes per stem.</S><S sid = 65 ssid = >We would like to acknowledge Salim Roukos and Kishore Papineni for technical discussions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-4015.txt | Citing Article:  P07-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, it has been shown (Lee, 2004) that determiner segmentation and deletion in Arabic sentences in an Arabic-to-English translation system improves sentence alignment, thus leading to improved overall translation quality.</S> | Reference Offset:  ['11','13'] | Reference Text:  <S sid = 11 ssid = >Arabic-English sentence alignment after Arabic word segmentation is illustrated in Figure 2, where one Arabic morpheme is aligned to one or zero English word.</S><S sid = 13 ssid = >Arabic-English sentence alignment after Arabic morphological analysis is shown in Figure 3, where the suffix p is merged into their stems mwAjh and mEArd.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-4015.txt | Citing Article:  N07-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lee (2004) only changes the word segmentation of the morphologically complex language (Arabic) to induce morphological and syntactic symmetry between the parallel sentences.</S> | Reference Offset:  ['2','3'] | Reference Text:  <S sid = 2 ssid = >The technique pre-supposes fine-grained segmentation of a word in the morphologically rich language into sequence of and part-of-speech tagging of the parallel corpus.</S><S sid = 3 ssid = >The algorithm to be the morphologically rich language to induce the desired morphological and syntactic symmetry.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-4015.txt | Citing Article:  W06-3103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another way for determiner deletion is described in (Lee, 2004).</S> | Reference Offset:  ['33','36'] | Reference Text:  <S sid = 33 ssid = >One major asymmetry between Arabic and English is caused by more frequent use of the determiner Al# in Arabic compared with its counterpart the in English.</S><S sid = 36 ssid = >Unlike the automatic induction of morphological analysis described in 3.2.1, Al#-deletion analysis is manually induced.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-4015.txt | Citing Article:  P11-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For languages with more or less regular inflectional morphology like Arabic or Turkish, another good idea is to segment words into morpheme sequences, e.g., prefix(es)-stem-suffix(es), which can be used instead of the original words (Lee, 2004) or in addition to them.</S> | Reference Offset:  ['10','15'] | Reference Text:  <S sid = 10 ssid = >We first apply word segmentation to Arabic, segmenting a word into prefix(es)-stem-suffix(es).</S><S sid = 15 ssid = >We pre-suppose segmentation of a word into prefix(es)-stem-suffix(es), as described in (Lee et al. 2003) The category prefix and suffix encompasses function words such as conjunction markers, prepositions, pronouns, determiners and all inflectional morphemes of the language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-4015.txt | Citing Article:  E09-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, for Arabic-to-English, Lee (2004), and Habash and Sadat (2006) show that various segmentation schemes lead to improvements that decrease with increasing parallel corpus size.</S> | Reference Offset:  ['4','11'] | Reference Text:  <S sid = 4 ssid = >The technique improves Arabic-to-English translation qualities significantly when applied to IBM Model 1 and Phrase Translation Models trained on the training corpus size ranging from 3,500 to 3.3 million sentence pairs.</S><S sid = 11 ssid = >Arabic-English sentence alignment after Arabic word segmentation is illustrated in Figure 2, where one Arabic morpheme is aligned to one or zero English word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-4015.txt | Citing Article:  P10-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Lee (2004), the goal is to match the lexical granularities of the two languages by starting with a fine-grained segmentation of the Arabic side of the corpus and then merging or deleting Arabic morphemes using alignments with a part-of-speech tagged English corpus.</S> | Reference Offset:  ['2','24'] | Reference Text:  <S sid = 2 ssid = >The technique pre-supposes fine-grained segmentation of a word in the morphologically rich language into sequence of and part-of-speech tagging of the parallel corpus.</S><S sid = 24 ssid = >We then viterbi-align the part-of-speech tagged parallel corpus, using translation parameters obtained via Model 1 training of word segmented Arabic and symbol-tokenized English, to derive the conditional probability of an English part-of-speech tag given the combination of an Arabic prefix and its part-of-speech or an Arabic suffix and its part-of-speech.1 1 We have used an Arabic part-of-speech tagger with around 120 tags, and an English part-of-speech tagger with around 55 tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N04-4015.txt | Citing Article:  N06-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically considering Arabic, Lee (2004) investigated the use of automatic alignment of POS tagged English and affix-stem segmented Arabic to determine appropriate tokenizations.</S> | Reference Offset:  ['11','33'] | Reference Text:  <S sid = 11 ssid = >Arabic-English sentence alignment after Arabic word segmentation is illustrated in Figure 2, where one Arabic morpheme is aligned to one or zero English word.</S><S sid = 33 ssid = >One major asymmetry between Arabic and English is caused by more frequent use of the determiner Al# in Arabic compared with its counterpart the in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N04-4015.txt | Citing Article:  P10-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lee (2004) and Zolmann et al (2006) have exploited morphology in Arabic English SMT.</S> | Reference Offset:  ['5','33'] | Reference Text:  <S sid = 5 ssid = >Translation of two languages with highly different morphological structures as exemplified by Arabic and English poses a challenge to successful implementation of statistical machine translation models (Brown et al. 1993).</S><S sid = 33 ssid = >One major asymmetry between Arabic and English is caused by more frequent use of the determiner Al# in Arabic compared with its counterpart the in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N04-4015.txt | Citing Article:  P10-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While comprehensive Arabic preprocessing schemes have been widely adopted for handling Arabic morphology in SMT (e.g., Sadat and Habash (2006), Zollmann et al (2006), Lee (2004)), syntactic issues have not received as much attention by comparison (Green et al).</S> | Reference Offset:  ['34','57'] | Reference Text:  <S sid = 34 ssid = >We apply Al#-deletion to Arabic noun phrases so that only the first occurrence of Al# in a noun phrase is retained.</S><S sid = 57 ssid = >Automatic induction of the desired linguistic knowledge from a word/morpheme-aligned parallel corpus is analogous to (Yarowsky et al. 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N04-4015.txt | Citing Article:  W07-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lee (2004) uses a morphologically analyzed and tagged parallel corpus for Arabic English SMT.</S> | Reference Offset:  ['2','54'] | Reference Text:  <S sid = 2 ssid = >The technique pre-supposes fine-grained segmentation of a word in the morphologically rich language into sequence of and part-of-speech tagging of the parallel corpus.</S><S sid = 54 ssid = >BLEU scores under ‘morph analysis’ is obtained by Model 1 training on Arabic morphologically analyzed and English symboltokenized parallel corpus and Model 1 decoding on the Arabic morphologically analyzed input text.5 Impact of Arabic morphological analysis on a phrase translation model with monotone decoding (Tillmann 2003), is shown in Table 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N04-4015.txt | Citing Article:  W08-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specially for Arabic-English translation, Lee (2004) used the Arabic part of speech and English parts of speech (POS) alignment probabilities to retain an Arabic affix, drop it from the corpus or merge it back to a stem.</S> | Reference Offset:  ['27','41'] | Reference Text:  <S sid = 27 ssid = >We also obtain translation probabilities of an English part-of-speech tag given each Arabic prefix/suffix and its part-of-speech according to (2) computes the translation probability of an Arabic suffix and its part-of-speech into an English part-of-speech in the Arabic stem tag context, stemtagA.</S><S sid = 41 ssid = >Arabic prefix and its part-of-speech into an English part-of-speech in the Arabic stem tag context, stemtagA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N04-4015.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically considering Arabic, Lee (2004) investigated the use of automatic alignment of POS-tagged English and affix-stem segmented Arabic to determine appropriate tokenizations.</S> | Reference Offset:  ['11','33'] | Reference Text:  <S sid = 11 ssid = >Arabic-English sentence alignment after Arabic word segmentation is illustrated in Figure 2, where one Arabic morpheme is aligned to one or zero English word.</S><S sid = 33 ssid = >One major asymmetry between Arabic and English is caused by more frequent use of the determiner Al# in Arabic compared with its counterpart the in English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N04-4015.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is identical to the initial tokenization used by Lee (2004).</S> | Reference Offset:  ['15','24'] | Reference Text:  <S sid = 15 ssid = >We pre-suppose segmentation of a word into prefix(es)-stem-suffix(es), as described in (Lee et al. 2003) The category prefix and suffix encompasses function words such as conjunction markers, prepositions, pronouns, determiners and all inflectional morphemes of the language.</S><S sid = 24 ssid = >We then viterbi-align the part-of-speech tagged parallel corpus, using translation parameters obtained via Model 1 training of word segmented Arabic and symbol-tokenized English, to derive the conditional probability of an English part-of-speech tag given the combination of an Arabic prefix and its part-of-speech or an Arabic suffix and its part-of-speech.1 1 We have used an Arabic part-of-speech tagger with around 120 tags, and an English part-of-speech tagger with around 55 tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N04-4015.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We do not use any additional information to remove specific features using alignments or syntax (unlike, e.g. removing all but one Al+ in noun phrases (Lee, 2004)).</S> | Reference Offset:  ['34','36'] | Reference Text:  <S sid = 34 ssid = >We apply Al#-deletion to Arabic noun phrases so that only the first occurrence of Al# in a noun phrase is retained.</S><S sid = 36 ssid = >Unlike the automatic induction of morphological analysis described in 3.2.1, Al#-deletion analysis is manually induced.</S> | Discourse Facet:  NA | Annotator: Automatic


