Citance Number: 1 | Reference Article:  J05-1004.txt | Citing Article:  W05-1509.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To some extent, function labels overlap with semantic role labels as defined in PropBank (Palmer et al, 2005).</S> | Reference Offset:  ['48','392'] | Reference Text:  <S sid = 48 ssid = >Section 5 compares our PropBank methodology and choice of semantic-role labels to those of another semantic annotation project, FrameNet.</S><S sid = 392 ssid = >Table 8 shows the PropBank semantic role labels for the subjects of each verb in each class.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J05-1004.txt | Citing Article:  P07-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >FrameNet (Baker et al, 1998) and the Proposition Bank (Palmer et al, 2005), or PropBank for short, are the two main systems currently developed for semantic role-labeling annotation.</S> | Reference Offset:  ['38','339'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 339 ssid = >A more complete description of the FrameNet project can be found in Baker, Fillmore, and Lowe (1998) and Johnson et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J05-1004.txt | Citing Article:  W06-1617.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The inter-annotator agreement for PropBank reported in (Palmer et al, 2005) is above 0.9 in terms of the Kappa statistic (Sidney and Castellan Jr., 1988).</S> | Reference Offset:  ['289','294'] | Reference Text:  <S sid = 289 ssid = >We measured agreement between the two annotations before the adjudication step using the kappa statistic (Siegel and Castellan 1988), which is defined with respect to Palmer, Gildea, and Kingsbury The Proposition Bank the probability of interannotator agreement, P?A?, and the agreement expected by chance, P?E?</S><S sid = 294 ssid = >Thus, for the role identification kappa, the interannotator agreement probability P?A?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J05-1004.txt | Citing Article:  W11-0209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, large corpora have been manually annotated with semantic roles in FrameNet (Fillmore et al, 2001) and PropBank (Palmer et al, 2005).</S> | Reference Offset:  ['38','339'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 339 ssid = >A more complete description of the FrameNet project can be found in Baker, Fillmore, and Lowe (1998) and Johnson et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J05-1004.txt | Citing Article:  P11-2051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Instead, we resort to Semantic Role Labeling (Palmer et al, 2005) to provide more lexicalized and semantic constraints to select the candidates.</S> | Reference Offset:  ['15','350'] | Reference Text:  <S sid = 15 ssid = >the subject has the same semantic role in both uses.</S><S sid = 350 ssid = >?semantic frames.??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J05-1004.txt | Citing Article:  W06-3308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the first step, we adopt the definitions found in PropBank (Palmer et al, 2005), defining our own frame sets for verbs not in Prop Bank, such as phosphorylate.</S> | Reference Offset:  ['332','432'] | Reference Text:  <S sid = 332 ssid = >The project methodology has proceeded on a frame-by-frame basis, that is, by first choosing a semantic frame (e.g., Commerce), defining the frame and its participants or frame elements (BUYER, GOODS, SELLER, MONEY), listing the various lexical predicates which invoke the frame (buy, sell, etc.</S><S sid = 432 ssid = >As in the FrameNet case, the parser was not 94 Table 9 Semantic roles for different frame sets of kick.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J05-1004.txt | Citing Article:  W06-3308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As proposition banks are semantically annotated versions of a Penn-style tree bank, they provide consistent semantic role labels across different syntactic realizations of the same verb (Palmer et al, 2005).</S> | Reference Offset:  ['202','250'] | Reference Text:  <S sid = 202 ssid = >(wsj_0781) 3.4 Role Labels and Syntactic Trees The Proposition Bank assigns semantic roles to nodes in the syntactic trees of the Penn Treebank.</S><S sid = 250 ssid = >Palmer, Gildea, and Kingsbury The Proposition Bank 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J05-1004.txt | Citing Article:  W06-3308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition to these syntactic structures, it was also annotated with predicate-argument structures (WSJ proposition bank) by Palmer et al (2005).</S> | Reference Offset:  ['250','366'] | Reference Text:  <S sid = 250 ssid = >Palmer, Gildea, and Kingsbury The Proposition Bank 4.</S><S sid = 366 ssid = >Palmer, Gildea, and Kingsbury The Proposition Bank a grammatical function tag expressing the frame element?s syntactic relation to the predicate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J05-1004.txt | Citing Article:  W10-4237.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Propbank (Palmer et al., 2005): This is a semantic annotation of the Wall Street Journal section of Penn Treebank-2.</S> | Reference Offset:  ['193','422'] | Reference Text:  <S sid = 193 ssid = >Arg0: one party 80 6 The Wall Street Journal corpus contains no examples with both an agent and an instrument.</S><S sid = 422 ssid = >One of PropBank?s important features as a practical resource is that the sentences chosen for annotation are from the same Wall Street Journal corpus used for the original Penn Treebank project, and thus hand-checked syntactic parse trees are available for the entire data set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J05-1004.txt | Citing Article:  E12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Despite all the known issues in semantic tagging, the major lexical resources (WordNet (Fellbaum, 1998), FrameNet (Ruppenhofer et al 2010), PropBank (Palmer et al 2005) and the word-sense part of OntoNotes (Weischedel et al 2011)) are still maintained and their annotation schemes are adopted for creating new manually annotated data (e.g. MASC, the Manually Annotated Subcorpus (Ide et al 2008)).</S> | Reference Offset:  ['38','339'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 339 ssid = >A more complete description of the FrameNet project can be found in Baker, Fillmore, and Lowe (1998) and Johnson et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J05-1004.txt | Citing Article:  E12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recent lexical resources have been built as semantic concordances from the very beginning (PropBank (Palmer et al 2005), OntoNotes word senses (Weischedel et al 2011)).</S> | Reference Offset:  ['38','430'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 430 ssid = >One of the systems evaluated for the Message Understanding Conference task (Miller et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J05-1004.txt | Citing Article:  E12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two other, somewhat different, lexical resources have to be mentioned to complete the picture: FrameNet (Ruppenhofer et al 2010) and PropBank (Palmer et al 2005).</S> | Reference Offset:  ['38','339'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 339 ssid = >A more complete description of the FrameNet project can be found in Baker, Fillmore, and Lowe (1998) and Johnson et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J05-1004.txt | Citing Article:  E12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The overall IAA measured on verbs was 94% (Palmer et al 2005).</S> | Reference Offset:  ['38','432'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 432 ssid = >As in the FrameNet case, the parser was not 94 Table 9 Semantic roles for different frame sets of kick.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J05-1004.txt | Citing Article:  C10-2119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our experiments, we use an enhanced version of the CCGbank (Hockenmaier and Steedman, 2007) - a corpus of CCG derivations derived from the Penn Treebank - with Propbank (Palmer et al, 2005) roles projected onto it (Boxwell and White, 2008).</S> | Reference Offset:  ['38','434'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 434 ssid = >In our first set of experiments, the features and probability model of the Gildea and Jurafsky (2002) system were applied to the PropBank corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J05-1004.txt | Citing Article:  P14-1136.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The PropBank project (Palmer et al,2005) is another popular resource related to semantic role labeling.</S> | Reference Offset:  ['48','339'] | Reference Text:  <S sid = 48 ssid = >Section 5 compares our PropBank methodology and choice of semantic-role labels to those of another semantic annotation project, FrameNet.</S><S sid = 339 ssid = >A more complete description of the FrameNet project can be found in Baker, Fillmore, and Lowe (1998) and Johnson et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J05-1004.txt | Citing Article:  W08-1810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, Narayanan and Harabagiu (2004) apply the argument-predicate relationship from PropBank (Palmer et al, 2005) together with the semantic frames from FrameNet (Baker et al, 1998) to create an inference mechanism to improve QA.</S> | Reference Offset:  ['38','339'] | Reference Text:  <S sid = 38 ssid = >1997; Miller et al.</S><S sid = 339 ssid = >A more complete description of the FrameNet project can be found in Baker, Fillmore, and Lowe (1998) and Johnson et al.</S> | Discourse Facet:  NA | Annotator: Automatic


