Citance Number: 1 | Reference Article:  J02-1002.txt | Citing Article:  P03-1071.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since it has been argued in (Pevzner and Hearst, 2002) that Pk has some weaknesses, we also include results according to the WindowDiff (WD) metric (which is described in the same work).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pk simply doubles the false positive penalty, while WD counts and compares the number of boundaries between the two ends of the probe, as described earlier.</S><S sid = NA ssid = NA>In addition, we feel that WD is a more meaningful metric than Pk.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J02-1002.txt | Citing Article:  P13-1167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To solve Pk's issues, Pevzner and Hearst (2002, pp. 10) proposed a modification referred to as WindowDiff (WD).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both Pk and WD appear to solve the problem of underpenalizing false positives, but WD has the added benefit of being more stable across variations in segment size distribution.</S><S sid = NA ssid = NA>We propose a simple modification to the Pk metric that remedies these problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J02-1002.txt | Citing Article:  D07-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hence the standard Pk (Beeferman et al, 1997) and WinDiff (Pevzner and Hearst, 2002) measures for text segmentation are not so suitable for our task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Pk metric is fast becoming the standard among researchers working in text segmentation (Allan et al. 1998; Dharanipragada et al.</S><S sid = NA ssid = NA>The Pk evaluation metric, initially proposed by Beeferman, Berger, and Lafferty (1997), is becoming the standard measure for assessing text segmentation algorithms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J02-1002.txt | Citing Article:  D07-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the TDT data we use the error metric pk (Beeferman et al, 1999) and WindowDiff (Pevzner and Hearst, 2002) which are implemented in the LCseg toolkit.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Eichmann et al. 1999; van Mulbregt et al.</S><S sid = NA ssid = NA>The Pk metric is fast becoming the standard among researchers working in text segmentation (Allan et al. 1998; Dharanipragada et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J02-1002.txt | Citing Article:  N12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Precision is the proportion of boundaries chosen that agree with a reference segmentation, and recall is the proportion of boundaries chosen that agree with a reference segmentation out of all boundaries in the reference and hypothesis (Pevzner and Hearst, 2002, p. 3).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first is that since human judges do not always agree where boundaries should be placed and how fine grained an analysis should be, it is difficult to choose a reference segmentation for comparison.</S><S sid = NA ssid = NA>Precision is the percentage of boundaries identified by an algorithm that are indeed true boundaries; recall is the percentage of true boundaries that are identified by the algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J02-1002.txt | Citing Article:  N12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To attempt to mitigate the shortcomings of Pk, Pevzner and Hearst (2002, p. 10) proposed a modified metric which changed how penalties were counted, named WindowDiff (WD).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We carried out 10 such trials for each experiment and averaged the average penalties over these trials.</S><S sid = NA ssid = NA>This approach clearly eliminates the asymmetry between the false positive and false negative penalties seen in the Pk metric.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J02-1002.txt | Citing Article:  N12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>When Pevzner and Hearst (2002) proposed WD, they demonstrated that it was not as sensitive as Pk to variations in the size of segments inside a segmentation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both Pk and WD appear to solve the problem of underpenalizing false positives, but WD has the added benefit of being more stable across variations in segment size distribution.</S><S sid = NA ssid = NA>Again, assume the first and second segments in the reference segmentation are average size segments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J02-1002.txt | Citing Article:  N12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To show this, they simulated how WD performs upon a segmentation comprised of 1000 segments with four different uniformly distributed ranges of internal segment sizes (keeping the mean at approximately 25 units) in comparison to a hypothesis segmentation with errors (false positives, false negatives, and both) uniformly distributed within segments (Pevzner and Hearst, 2002, pp. 11-12).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It penalizes false positives significantly less than false negatives, particularly if the false positives are uniformly distributed throughout the document.</S><S sid = NA ssid = NA>In FP/FNP1, false positive probability is uniformly distributed throughout each segment, whereas in FP/FNP3, false positive probability is uniformly distributed throughout the entire document.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J02-1002.txt | Citing Article:  P07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also give the value of WindowDiff (WD), a variant of Pk proposed in (Pevzner and Hearst, 2002) that corrects some of its insufficiencies.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We proposed two modifications to tackle these problems.</S><S sid = NA ssid = NA>Note that for false negatives, the Pk value for the (20, 30) range is not much different than for the (15, 35) range.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J02-1002.txt | Citing Article:  N06-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In these tables, we report the F-measure of identifying the precise location of a story boundary as well as three metrics designed specifically for this type of segmentation task: the pk metric (Beeferman et al, 1999), WindowDiff (Pevzner and Hearst, 2002) and Cseg (Pseg= 0.3) (Doddington, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Eichmann et al. 1999; van Mulbregt et al.</S><S sid = NA ssid = NA>The Pk metric is fast becoming the standard among researchers working in text segmentation (Allan et al. 1998; Dharanipragada et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J02-1002.txt | Citing Article:  D07-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a last measure for segmentation quality we used WindowDiff (Pevzner and Hearst, 2002), which only evaluates segment boundaries not the labels assigned to them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The amended metric, which we call WindowDiff, works as follows: for each position of the probe, simply compare the number of reference segmentation boundaries that fall in this interval (ri) with the number of boundaries that are assigned by the algorithm (ai).</S><S sid = NA ssid = NA>Type C errors have an average penalty of 3e, where 2e is assigned for the false positive and e is assigned for the false negative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J02-1002.txt | Citing Article:  P06-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We assessed segmentation performance using the Pk and WindowDiff (WD) error measures proposed by (Beeferman et al, 1999) and (Pevzner and Hearst, 2002) respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Eichmann et al. 1999; van Mulbregt et al.</S><S sid = NA ssid = NA>The Pk metric is fast becoming the standard among researchers working in text segmentation (Allan et al. 1998; Dharanipragada et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J02-1002.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pevzner and Hearst (2002) highlighted several problems of the Pk metric.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, it has some problems of its own.</S><S sid = NA ssid = NA>We propose a simple modification to the Pk metric that remedies these problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J02-1002.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pevzner and Hearst (2002) propose the alternative metric called WindowDiff.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a simple modification to the Pk metric that remedies these problems.</S><S sid = NA ssid = NA>However, a theoretical analysis of the metric finds several problems: the metric penalizes false negatives more heavily than false positives, overpenalizes near misses, and is affected by variation in segment size dis- We propose a simple modification to the that remedies these problems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J02-1002.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, unlike Pk and Pk, WindowDiff takes into account how many boundaries fall within the window and is penalizing in 'how many discrepancies occur between the reference and the system results' rather than 'determining how often two units of text are incorrectly labeled as being in different segments' (Pevzner and Hearst, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Comparing two stretches of text to see how many discrepancies occur between the reference and the algorithm’s result seems more intuitive than determining how often two text units are incorrectly labeled as being in different segments.</S><S sid = NA ssid = NA>Pk is nonintuitive because it measures the probability that two sentences k units apart are incorrectly labeled as being in different segments, rather than directly reflecting the competence of the algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J02-1002.txt | Citing Article:  W06-1320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another issue regarding WindowDiff is that it is not clear 'how does one interpret the values produced by the metric' (Pevzner and Hearst, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The discussion above addresses Problems 1 through 4 but does not address Problem 5: how does one interpret the values produced by the metric?</S><S sid = NA ssid = NA>However, the evaluation metric Pk does not assign a penalty in this situation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J02-1002.txt | Citing Article:  P10-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To measure the quality of segmentation of the lecture transcript, we use two standard metrics, Pk (Beeferman et al, 1999) and WindowDiff (WD) (Pevzner and Hearst, 2002), but both metrics disregard the alignment links (i.e. the topic labels).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>1999; Eichmann et al. 1999; van Mulbregt et al.</S><S sid = NA ssid = NA>The Pk metric is fast becoming the standard among researchers working in text segmentation (Allan et al. 1998; Dharanipragada et al.</S> | Discourse Facet:  NA | Annotator: Automatic


