Citance Number: 1 | Reference Article:  P07-1121.txt | Citing Article:  W08-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This was pursued further, for instance, by Zettlemoyer and Collins (2005) and Wong and Mooney (2007), aimed at learning log-linear models, or (in the latter case) synchronous CF grammars augmented with lambda operators, for mapping English queries to DB queries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus</S><S sid = NA ssid = NA>All English questions in this data set were manually translated into Spanish, Japanese and Turkish, while the corresponding Prolog queries remain unchanged.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It may also alleviate the non-isomorphism issue that was commonly faced by researchers when mapping meaning representations and sentences (Wong and Mooney, 2007b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Certain applications may require different meaning representations, e.g. frame semantics.</S><S sid = NA ssid = NA>Our work is based on the WASP semantic parsing algorithm (Wong and Mooney, 2006), which translates NL sentences into MRs using an SCFG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1121.txt | Citing Article:  D11-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach outperforms the previous system WASP? 1++ (Wong and Mooney, 2007a) significantly, and achieves comparable or slightly better performance as compared to Lu et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we compared the performance of A-WASP with and without conjunct regrouping (Section 4).</S><S sid = NA ssid = NA>Second, we compared the performance of A-WASP with and without language modeling for the MRL (Section 5).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1121.txt | Citing Article:  D11-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow the standard evaluation procedure for Geo250, using 10-fold cross validation experiments with the same splits of the data as Wong and Mooney (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second, Z&C has the best precision, although their results are based on 280 test examples only, whereas our results are based on 10-fold cross validation.</S><S sid = NA ssid = NA>We performed a single run of 10-fold cross validation, and measured the performance of the learned parsers using precision (percentage of translations that were correct), recall (percentage of test sentences that were correctly translated), and Fmeasure (harmonic mean of precision and recall).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1121.txt | Citing Article:  D11-1140.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For GeoQuery, this includes the ZC05, ZC07 (Zettlemoyer and Collins, 2005, 2007), ?-WASP (Wong and Mooney, 2007), UBL (Kwiatkowski et al, 2010) systems and DCS (Liang et al, 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both formalisms have led to SMT systems whose performance is state-of-the-art (Chiang, 2005; Galley et al., 2006).</S><S sid = NA ssid = NA>Like most existing work on syntax-based SMT (Chiang, 2005; Galley et al., 2006), we construct G using rules extracted from word alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1121.txt | Citing Article:  D10-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1121.txt | Citing Article:  D10-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wong and Mooney (2007) and Chen and Mooney (2008) use synchronous grammars that map a logical form, represented as a tree, into a parse of the text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To represent the logical form in Figure 4, we use its linearized parse—a list of MRL productions that generate the logical form, in top-down, left-most order (cf.</S><S sid = NA ssid = NA>This is the yield of the MR parse tree, since the root node of the parse tree is reached.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P07-1121.txt | Citing Article:  W11-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P07-1121.txt | Citing Article:  W11-0105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The systems that we compared with are: The SYN0, SYN20 and GOLDSYN systems by Ge and Mooney (2009), the system SCISSOR by Ge and Mooney (2005), an SVM based system KRIPS by Kate and Mooney (2006), a synchronous grammar based system WASP by Wong and Mooney (2007), the CCG based system by Zettlemoyer and Collins (2007) and the work by Lu et al (2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our work is based on the WASP semantic parsing algorithm (Wong and Mooney, 2006), which translates NL sentences into MRs using an SCFG.</S><S sid = NA ssid = NA>Figure 8 shows the learning curves for the AWASP algorithm compared to: (1) the original WASP algorithm which uses a functional query language (FunQL); (2) SCISSOR (Ge and Mooney, 2005), a fully-supervised, combined syntacticsemantic parsing algorithm which also uses FunQL; and (3) Zettlemoyer and Collins (2005) (Z&C), a CCG-based algorithm which uses Prolog logical forms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P07-1121.txt | Citing Article:  P14-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P07-1121.txt | Citing Article:  P09-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note the results for SCISSOR, KRISPandLU on GEOQUERY are based on a different meaning representation language, FUNQL, which has been shown to produce lower results (Wong and Mooney, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Second, Z&C has the best precision, although their results are based on 280 test examples only, whereas our results are based on 10-fold cross validation.</S><S sid = NA ssid = NA>Table 2 shows the results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P07-1121.txt | Citing Article:  P11-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by a gift from Google Inc.</S><S sid = NA ssid = NA>Substituting these MR strings for the FORM nonterminals in the parent node gives the A-function Ax1.smallest(x2,(state(x1),area(x1,x2))).</S> | Discourse Facet:  NA | Annotator: Automatic


