Citance Number: 1 | Reference Article:  D08-1020.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In any case, this aspect of readability may be worth further investigation (Pitler and Nenkova, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This fact is disappointing as the explicit relations can be identified much more easily in unannotated text (Pitler et al., 2008).</S><S sid = NA ssid = NA>As in the case of vocabulary features, the presence of more relations will lead to overall lower probabilities so we also consider the number of discourse relations (F14) and the log likelihood combined with the number of relations as features.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D08-1020.txt | Citing Article:  W10-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pitler and Nenkova (2008) propose a unified framework composed of vocabulary, syntactic, elements of lexical cohesion, entity coherence and discourse relations to measure text quality, which resembles the composition of rubrics in the area of essay scoring (Burstein et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Revisiting Readability: A Unified Framework for Predicting Text Quality</S><S sid = NA ssid = NA>The syntactic forms of first mention—when an entity is first introduced in a text—differ from those of subsequent mentions (Poesio and Vieira, 1998; Nenkova and McKeown, 2003) and can be exploited for improving and predicting text coherence (Siddharthan, 2003; Nenkova and McKeown, 2003; Elsner and Charniak, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D08-1020.txt | Citing Article:  W11-2308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We thank Aravind Joshi, Bonnie Webber, and the anonymous reviewers for their many helpful comments.</S><S sid = NA ssid = NA>The correlations are positive: the more probable an article was based on its vocabulary, the higher it was generally rated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D08-1020.txt | Citing Article:  W11-2308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>When readability is targeted towards adult competent language users a more prominent role is played by discourse features (Pitler and Nenkova, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For competent language users, we view text readability and text coherence as equivalent properties, measuring the extent to which a text is well written.</S><S sid = NA ssid = NA>Text coherence is defined as the ease with which a person (tacitly assumed to be a competent language user) understands a text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D08-1020.txt | Citing Article:  W11-2308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We thank Aravind Joshi, Bonnie Webber, and the anonymous reviewers for their many helpful comments.</S><S sid = NA ssid = NA>The correlations are positive: the more probable an article was based on its vocabulary, the higher it was generally rated.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D08-1020.txt | Citing Article:  C10-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pitler and Nenkova (2008) used the Penn Discourse Treebank (Prasad et al, 2008) to examine discourse relations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Discourse Treebank (Prasad et al., 2008) is a new resource with annotations of discourse connectives and their senses in the Wall Street Journal portion of the Penn Treebank (Marcus et al., 1994).</S><S sid = NA ssid = NA>In the past, subsections of the Penn Treebank (Marcus et al., 1994) have been annotated for discourse relations (Carlson et al., 2001; Wolf and Gibson, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D08-1020.txt | Citing Article:  C10-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pitler and Nenkova (2008) used the same features to evaluate how well a text is written.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Barzilay and Lapata, 2008) found that articles written for adults tended to contain many more entities than articles written for children.</S><S sid = NA ssid = NA>For competent language users, we view text readability and text coherence as equivalent properties, measuring the extent to which a text is well written.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D08-1020.txt | Citing Article:  C10-2032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This approach was subsequently pursued by Pitler and Nenkova (2008) in their readability study.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A more general and principled approach to using vocabulary information for readability decisions has been the use of language models.</S><S sid = NA ssid = NA>Our study is novel in the use of gold-standard discourse features for predicting readability and the simultaneous analysis of various readability factors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D08-1020.txt | Citing Article:  W11-1417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Measures of cohesion have also been used in a variety of NLP tasks such as measuring text readability (e.g. (Pitler and Nenkova, 2008)), measuring stylistic differences in text (Mccarthy et al, 2006), and for topic segmentation in tutorial dialog (Olney and Cai, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For competent language users, we view text readability and text coherence as equivalent properties, measuring the extent to which a text is well written.</S><S sid = NA ssid = NA>This fact is disappointing as the explicit relations can be identified much more easily in unannotated text (Pitler et al., 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D08-1020.txt | Citing Article:  E09-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To answer this question, we performed an additional experiment on Wall Street Journal articles from the Penn Treebank that were previously used in experiments for assessing overall text quality (Pitler and Nenkova, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We randomly selected thirty articles from the Wall Street Journal corpus that was used in both the Penn Treebank and the Penn Discourse Treebank.1 Each article was read by at least three college students, each of whom was given unlimited time to read the texts and perform the ratings.2 Subjects were asked the following questions: For each question, they provided a rating between 1 and 5, with 5 being the best and 1 being the worst.</S><S sid = NA ssid = NA>The Penn Discourse Treebank (Prasad et al., 2008) is a new resource with annotations of discourse connectives and their senses in the Wall Street Journal portion of the Penn Treebank (Marcus et al., 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D08-1020.txt | Citing Article:  E09-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Five annotators had previously assess the overall text quality of each article on a scale from 1 to 5 (Pitler and Nenkova, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus for all subsequent analysis, we will use only the first question (“On a scale of 1 to 5, how well written is this text?”).</S><S sid = NA ssid = NA>We use the squared multiple correlation coefficient (R2) to assess the effectiveness of predictions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D08-1020.txt | Citing Article:  E09-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Discourse apects and language model features that have been extensively studied in prior work are indeed much more indicative of overall text quality (Pitler and Nenkova, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We computed another language model which is over discourse relations instead of words.</S><S sid = NA ssid = NA>The vocabulary features we used are article likelihood estimated from a language model from WSJ (F5), and article likelihood according to a unigram language model from NEWS (F6).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D08-1020.txt | Citing Article:  W11-1415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pitler and Nenkova (2008) and Kate et al (2010), for example, average out results collected from different readers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This fact is disappointing as the explicit relations can be identified much more easily in unannotated text (Pitler et al., 2008).</S><S sid = NA ssid = NA>The Penn Discourse Treebank (Prasad et al., 2008) is a new resource with annotations of discourse connectives and their senses in the Wall Street Journal portion of the Penn Treebank (Marcus et al., 1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D08-1020.txt | Citing Article:  W12-2206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, recent works in the NLP community investigating the impact of entity grids (Barzilay and Lapata, 2008) or of discourse relations (Pitler and Nenkova, 2008) on text coherence and readability go in the same direction as research on Coh-Metrix, in that they aim at identifying the linguistic features that best express readability at syntactic, semantic and discourse level.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use the Brown Coherence Toolkit6 to compute entity grids (Barzilay and Lapata, 2008) for each article.</S><S sid = NA ssid = NA>While using any one out of syntactic, lexical, coherence, or discourse features is substantally better than the baseline surface features on the discrimination task, using a combination of entity coherence and discourse relations produces the best performance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D08-1020.txt | Citing Article:  D12-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Syntactic features from PCFG parse trees have also been used for gender attribution (Sarawgi et al 2011), genre identification (Stamatatos et al 2000), native language identification (Wong and Dras, 2011) and readability assessment (Pitler and Nenkova, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the past, subsections of the Penn Treebank (Marcus et al., 1994) have been annotated for discourse relations (Carlson et al., 2001; Wolf and Gibson, 2005).</S><S sid = NA ssid = NA>Syntactic complexity is an obvious factor: indeed (Heilman et al., 2007) and (Schwarm and Ostendorf, 2005) also used syntactic features, such as parse tree height or the number of passive sentences, to predict reading grade levels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D08-1020.txt | Citing Article:  N12-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These methods identify regularities in words (Barzilay and Lee, 2004), entity coreference (Barzi lay and Lapata, 2008) and discourse relations (Pitler and Nenkova, 2008) from a large collection of articles and use these patterns to predict the coherence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use the Brown Coherence Toolkit6 to compute entity grids (Barzilay and Lapata, 2008) for each article.</S><S sid = NA ssid = NA>(Barzilay and Lapata, 2008) found that articles written for adults tended to contain many more entities than articles written for children.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D08-1020.txt | Citing Article:  W12-2207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An exception to this trend is the work of Pitler and Nenkova (2008) who reported non-significant correlation for the mean number of words per sentence (r= 0.1637, p= 0.3874) and the mean number of characters per word (r= 0.0859, p= 0.6519).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We tested the average number of characters per word, average number of words per sentence, maximum number of words per sentence, and article length (F7).3 Article length (F7) was the only significant baseline factor, with correlation of -0.37.</S><S sid = NA ssid = NA>While surface measures such as the average number of words per sentence or the average number of characters per word are not good predictors, there exist syntactic, semantic, and discourse features that do correlate highly.</S> | Discourse Facet:  NA | Annotator: Automatic


