Citance Number: 1 | Reference Article:  P09-1116.txt | Citing Article:  P14-2131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We tried two kinds of indicator features: Bucket features: For both parent and child vectors in a potential dependency, we fire one indicator feature per dimension of each embedding. A similar effect, when changing distributional context window sizes, was found by Lin and Wu (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The features are the words (tokens) in the window.</S><S sid = NA ssid = NA>Second, it reduces the variance in the sizes of the feature vectors of the phrases.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P09-1116.txt | Citing Article:  C10-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our clustering approach is related to Lin and Wu's work (Lin and Wu, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Moreover, we use soft clustering instead of hard clustering.</S><S sid = NA ssid = NA>To obtain a list of phrases to be clustered, we followed the approach in (Lin et al., 2008) by collecting 20 million unique queries from an anonymized query log that are found in a 700 billion token web corpus with a minimum frequency count of 100.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-1116.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We check the match of not just the top 1 cluster ids, but also farther down in the 20 sized lists because, as discussed in Lin and Wu (2009), the soft cluster assignments often reveal different senses of a word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For natural language words and phrases, the soft cluster assignments often reveal different senses of a word.</S><S sid = NA ssid = NA>Under this approach, even if a word is not found in the training data, it may still fire cluster-based features as long as it shares cluster assignments with some words in the labeled data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-1116.txt | Citing Article:  P11-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lin and Wu (2009) report an F1 score of 90.90 on the original split of the CoNLL data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our named entity recognition system achieves an F1-score of 90.90 on the CoNLL 2003 English data set, which is about 1 point higher than the previous best result.</S><S sid = NA ssid = NA>The best F-score of 90.90, which is about 1 point higher than the previous best result, is obtained with a combination of clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-1116.txt | Citing Article:  P10-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lin and Wu (2009) present a K-means-like non-hierarchical clustering algorithm for phrases, which uses MapReduce.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a simple and scalable algorithm for clustering tens of millions of phrases and use the resulting clusters as features in discriminative classifiers.</S><S sid = NA ssid = NA>We present a distributed version of a much simpler K-Means clustering that allows us to cluster tens of millions of elements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-1116.txt | Citing Article:  P10-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lin and Wu (2009) finds that the representations that are good for NER are poor for search query classification, and vice-versa.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the query classes are not mutually exclusive, we treat the query classification task as 67 binary classification problems.</S><S sid = NA ssid = NA>The goal of query classification is to determine to which ones of a predefined set of classes a query belongs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-1116.txt | Citing Article:  P10-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors wish to thank the anonymous reviewers for their comments.</S><S sid = NA ssid = NA>The most straightforward MapReduce implementation of K-Means would be to have mappers perform Step ii and reducers perform Step iii.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P09-1116.txt | Citing Article:  P10-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compare to the state-of-the-art methods of Ando and Zhang (2005), Suzuki and Isozaki (2008), and for NER Lin and Wu (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Part-of-speech tags were used in the topranked systems in CoNLL 2003, as well as in many follow up studies that used the data set (Ando and Zhang 2005; Suzuki and Isozaki 2008).</S><S sid = NA ssid = NA>In comparison, there are 79 templates in (Suzuki and Isozaki, 2008).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P09-1116.txt | Citing Article:  P10-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Lin and Wu (2009) present a K-means-like non-hierarchical clustering algorithm for phrases, which uses MapReduce.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a simple and scalable algorithm for clustering tens of millions of phrases and use the resulting clusters as features in discriminative classifiers.</S><S sid = NA ssid = NA>We present a distributed version of a much simpler K-Means clustering that allows us to cluster tens of millions of elements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P09-1116.txt | Citing Article:  N12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>K-Means clustering algorithm described in Lin and Wu (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although K-Means is generally described as a hard clustering algorithm (each element belongs to at most one cluster), it can produce soft clustering simply by assigning an element to all clusters whose similarity to the element is greater than a threshold.</S><S sid = NA ssid = NA>K-Means is an embarrassingly parallelizable algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P09-1116.txt | Citing Article:  N12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Lin and Wu (2009), each word to be clustered is represented as a feature vector describing the distributional context of that word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following previous approaches to distributional clustering of words, we represent the contexts of a phrase as a feature vector.</S><S sid = NA ssid = NA>Given a set of elements represented as feature vectors and a number, k, of desired clusters, the K-Means algorithm consists of the following steps: i.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P09-1116.txt | Citing Article:  N12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We follow Lin and Wu (2009) in applying various thresholds during K-Means, such as a frequency threshold for the initial vocabulary, a total count threshold for the feature vectors, and a threshold for PMI scores.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Instead, any word above a minimum frequency threshold is included.</S><S sid = NA ssid = NA>Although K-Means is generally described as a hard clustering algorithm (each element belongs to at most one cluster), it can produce soft clustering simply by assigning an element to all clusters whose similarity to the element is greater than a threshold.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P09-1116.txt | Citing Article:  N12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to the features described in Lin and Wu (2009), we introduce features from a bilingual parallel corpus that encode reverse-translation information from the source-language (Spanish or Japanese in our experiments).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that many of these queries are not phrases in the linguistic sense. language, english spanish language, learn foreign language, free english learning, language study english, spanish immersion course, how to speak french, spanish learning games, .....</S><S sid = NA ssid = NA>In addition to word-clusters, we also use phraseclusters as features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P09-1116.txt | Citing Article:  N12-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Uszkoreit and Brants (2008) uses an exchange algorithm to cluster words in a language model, Lin and Wu (2009) uses distributed K-Means to cluster phrases for various discriminative classification tasks, Vlachos et al (2009) uses Dirichlet Process Mixture Models for verb clustering, and Sun and Korhonen (2011) uses a hierarchical Levin-style clustering to cluster verbs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Uszkoreit and Brants (2008) proposed a distributed clustering algorithm with a similar objective function as the Brown algorithm.</S><S sid = NA ssid = NA>The Brown algorithm uses essentially the same information as our 1-word window clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P09-1116.txt | Citing Article:  N12-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As an alternative to clustering words, Lin and Wu (2009) proposed a phrase clustering approach that obtained the state-of-the-art result for English NER.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Phrase Clustering for Discriminative Learning</S><S sid = NA ssid = NA>Moreover, we use soft clustering instead of hard clustering.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P09-1116.txt | Citing Article:  W12-1914.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors wish to thank the anonymous reviewers for their comments.</S><S sid = NA ssid = NA>The most straightforward MapReduce implementation of K-Means would be to have mappers perform Step ii and reducers perform Step iii.</S> | Discourse Facet:  NA | Annotator: Automatic


