Citance Number: 1 | Reference Article:  D07-1072.txt | Citing Article:  P13-1083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We could use other word-based dependency trees such as trees by the infinite PCFG model (Liang et al, 2007) and syntactic-head or semantic-head dependency trees in Nakazawa and Kurohashi (2012), although it is not our major focus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>From the grammar in Figure 6, we generated 2000 trees.</S><S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D07-1072.txt | Citing Article:  N09-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(General grammars with infinite numbers of nonterminals were studied by (Liang et al, 2007b)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1072.txt | Citing Article:  N09-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to the block sampler used by Bhattacharya and Getoor (2006), we are investigating general-purpose split merge samplers (Jain and Neal, 2000) and the permutation sampler (Liang et al, 2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Examples of such penalized likelihood procedures in clude Stolcke and Omohundro (1994), which used an asymptotic Bayesian model selection criterion and Petrov et al (2006), which used a split-merge algorithm which procedurally determines when to switch between grammars of various complexities.</S><S sid = NA ssid = NA>DP mixture models have since been extended to hierarchical Dirichlet processes (HDPs) and HDP-HMMs (Teh et al, 2006; Beal et al., 2002) and applied to many different types of clustering/induction problems in NLP (Johnson et al., 2006; Goldwater et al, 2006).In this paper, we present the hierarchical Dirich let process PCFG (HDP-PCFG).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1072.txt | Citing Article:  D10-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, because the latent variable grammars are not explicitly regularized, EM keeps fitting the training data and eventually begins over fitting (Liang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1072.txt | Citing Article:  P08-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>696</S><S sid = NA ssid = NA>Assume that z1 is always fixed to a special START state, so we do not need to generate it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1072.txt | Citing Article:  P08-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We'd like to learn the number of paradigm classes from the data, but doing this would probably require extending adaptor grammars to incorporate the kind of adaptive state splitting found in the iHMM and iPCFG (Liang et al., 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1072.txt | Citing Article:  N10-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It was introduced for Dirichlet process mixtures by Blei and Jordan (2005) and applied to infinite grammars by Liang et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>We summarize each of these updates below (see (Liang et al, 2007) for complete derivations).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1072.txt | Citing Article:  W08-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we can let the number of nonterminals grow unboundedly, as in the Infinite PCFG, where the nonterminals of the grammar can be indefinitely refined versions of a base PCFG (Liang et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>B????T )]See Liang et al (2007) for the derivation of the gradient.</S><S sid = NA ssid = NA>In general, we do not know the appropriate number of grammar symbols, so our strategy is to let the number of grammar symbols be infinite and place a DP prior over grammar symbols.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1072.txt | Citing Article:  D12-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Future work will involve a broader exploration of the parameter space of the adaptor grammars, in particular the number of topics and the value of alpha; a look at other non-parametric extensions of PCFGs, such as infinite PCFGs (Liang et al2007) for finding a set of non-terminals permitting more fine-grained topics.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In many natural language applications, there is a hard distinction between pre-terminal symbols(those that only emit a word) and non-terminal sym bols (those that only rewrite as two non-terminal or pre-terminal symbols).</S><S sid = NA ssid = NA>Unlexicalized methods refine the grammar in a more conservative fashion, splitting each non-terminal or pre-terminal symbol into a much smaller number of subsymbols (Klein and Manning, 2003; Matsuzaki et al, 2005; Petrov et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


