Citance Number: 1 | Reference Article:  P97-1005.txt | Citing Article:  A00-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a different kind of model here, logistic regression, which is especially well suited for categorical data analysis (cf. eg. Agresti (1990) or Kessler et al (1997)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We chose logistic regression (LR) as our basic numerical method.</S><S sid = NA ssid = NA>Because of space constraints, we present this amount of detail only for the six GENRE levels, with logistic regression on selected surface variables.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P97-1005.txt | Citing Article:  P06-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We plan to investigate more types of document collections pairs, e.g., the document collections from different text genres (Kessler et al, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One important reason is that, up to now, the digitized corpora and collections which are the subject of much CL research have been for the most part generically homogeneous (i.e., collections of scientific abstracts or newspaper articles, encyclopedias, and so on), so that the problem of genre identification could be set aside.</S><S sid = NA ssid = NA>C' = characters, T = word types).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P97-1005.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Kessler et al, 1997) combine these views by saying that a genre should not be so broad that the texts belonging to it don't share any distinguishing properties.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Numbers are the percentage of the texts actually belonging to the GENRE level indicated in the first column that were classified as belonging to each of the GENRE levels indicated in the column headers.</S><S sid = NA ssid = NA>But we would probably not use the term &quot;genre&quot; to describe merely the class of texts that have the objective of persuading someone to do something, since that class — which would include editorials, sermons, prayers, advertisements, and so forth — has no distinguishing formal properties.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P97-1005.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>... we would probably not use the term "genre" to describe merely the class of texts that have the objective of persuading someone to do something, since that class which would include editorials, sermons, prayers, advertisements, and so forth has no distinguishing formal properties (Kessler et al, 1997, p. 33).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>But we would probably not use the term &quot;genre&quot; to describe merely the class of texts that have the objective of persuading someone to do something, since that class — which would include editorials, sermons, prayers, advertisements, and so forth — has no distinguishing formal properties.</S><S sid = NA ssid = NA>At the other end of the scale, we would probably not use &quot;genre&quot; to describe the class of sermons by John Donne, since that class, while it has distinctive formal characteristics, is not extensible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P97-1005.txt | Citing Article:  P09-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is where the caveat from (Kessler et al, 1997) be comes relevant: A particular genre shouldn't betaken so broadly as to have no distinguishing features, nor so narrowly as to have no general applicability.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In particular, we had labeled journalistic texts on the basis of the overall brow of the host publication, a simplification that ignores variation among authors and the practice of printing features from other publications.</S><S sid = NA ssid = NA>An important and more relevant set of experiments, which deserves careful attention, is presented in Karlgren and Cutting (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P97-1005.txt | Citing Article:  C00-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kessler et al (1997) avoid structural markers since they require tagged or parsed text and replace them with character-level markers (e.g., punctuation mark counts) and derivative markers, i.e., ratios and variation measures derived from measures of lexical and character-level markers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Derivative cues are ratios and variation measures derived from measures of lexical and character-level features.</S><S sid = NA ssid = NA>Character-level cues are mainly punctuation cues and other separators and delimiters used to mark text categories like phrases. clauses, and sentences (Nunberg, 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P97-1005.txt | Citing Article:  C10-2011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another straightforward method is the assumption that Latinate prefixes and suffixes are indicators of formality in English (Kessler et al, 1997), i.e. informal words will not have Latinate affixes such as -ation and intra-.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Examples of ones that we use are terms of address (e.g., Mr., Ms.). which predominate in papers like the New York Times: Latinate affixes, which signal certain highbrow registers like scientific articles or scholarly works; and words used in expressing dates, which are common in certain types of narrative such as news stories.</S><S sid = NA ssid = NA>For binary decisions, the application of LR was straightforward.</S> | Discourse Facet:  NA | Annotator: Automatic


