Citance Number: 1 | Reference Article:  J98-3005.txt | Citing Article:  W00-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The authors are grateful to the following people for their invaluable comments during the writing of the paper and at presentations of work related to the content of the paper: Alfred Aho, Shih-Fu Chang, Eleazar Eskin, Vasileios Hatzivassiloglou, Alejandro Jaimes, Hongyan Jing, Judith Klavans, Min-Yen Kan, Carl Sable, Eric Siegel, John Smith, Nina Wacholder, Kazi Zaman as well as the anonymous reviewers and the editors of the special issue on natural language generation.</S><S sid = NA ssid = NA>We provide examples of the summarization markers we collected for the lexicon and show the demands that summarization creates for interpretation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J98-3005.txt | Citing Article:  W04-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While template-based representations have been proposed for information merging in the past (Radev and McKeown, 1998), they considered only domain-specific scenarios.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are two scenarios.</S><S sid = NA ssid = NA>If the summarization system can find the needed information in other on-line sources, then it can produce an improved summary by merging information extracted from the input articles with information from the other sources (Radev and McKeown 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J98-3005.txt | Citing Article:  P01-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>the main previous body of work on biographical summarization is that of (Radev and McKeown 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Previous work related to summarization falls into three main categories.</S><S sid = NA ssid = NA>We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J98-3005.txt | Citing Article:  C10-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is particularly problematic in the case of multi-document summarization, where sentences extracted from related documents are very likely to express similar information in different ways (Radev and McKeown, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The extracted sentences fit together only in the case they are adjacent in the source document.</S><S sid = NA ssid = NA>If the summarization system can find the needed information in other on-line sources, then it can produce an improved summary by merging information extracted from the input articles with information from the other sources (Radev and McKeown 1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J98-3005.txt | Citing Article:  C10-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Existing work in abstractive summarization has been quite limited and can be categorized into two categories: (1) approaches using prior knowledge (Radev and McKeown, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S><S sid = NA ssid = NA>Descriptions are then categorized using the WordNet hierarchy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J98-3005.txt | Citing Article:  W01-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since data producing these summaries can be sourced in different documents, summary fusion techniques as proposed in (Radev and McKeown, 1998) can be employed.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar evaluation techniques have been proposed for singledocument summarizers (Jing et al. 1998).</S><S sid = NA ssid = NA>We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J98-3005.txt | Citing Article:  W01-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since (Radev and McKeown, 1998) describes the summary fusion mechanisms, Class 3 of questions can be reduced in this paper to Class 2, which deals with the processing of the template.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are no clear answers to these questions.</S><S sid = NA ssid = NA>We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J98-3005.txt | Citing Article:  W06-1808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Radev and McKeown, 1998) and (Harabagiu and Lacatusu, 2004) define agreement (when two sources report the same information), addition (when a second source reports additional information), contradiction (when two sources report conflicting information).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When two sources report conflicting information about the same event, a contradiction arises.</S><S sid = NA ssid = NA>For example, if two sources of information report a different number of casualties in a particular incident, SUMMONS will report the contradiction and attribute the contradictory information to its sources, rather than select one of the contradictory pieces without the other.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J98-3005.txt | Citing Article:  W06-1415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, advanced QA systems defined relationships (equivalence, contradiction, ...) between Web page extracts or texts containing possible answers in order to combine them and to produce a single answer (Radev and McKeown, 1998), (Harabagiu and Lacatusu, 2004), (Webber et al., 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>4.3.2 Contradiction.</S><S sid = NA ssid = NA>ZEDDoc (Passormeau et al. 1997; Kukich et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J98-3005.txt | Citing Article:  W00-0405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These include comparing templates filled in by extracting information using specialized, domain specific knowledge sources from the document, and then generating natural language summaries from the templates (Radev and McKeown, 1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Generating Natural Language Summaries From Multiple On-Line Sources</S><S sid = NA ssid = NA>We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J98-3005.txt | Citing Article:  W11-0504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, Radev and McKeown (1998) used IE combined with Natural Language Generation (NLG) in their SUMMON system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Generating Natural Language Summaries From Multiple On-Line Sources</S><S sid = NA ssid = NA>We present a system, called SUMMONS' (McKeown and Radev 1995; Radev 1996; Radev and McKeown 1997), shown in Figure 1, which introduces novel techniques in the following areas: As can be expected from a knowledge-based summarization system, SUMMONS works in a restricted domain.</S> | Discourse Facet:  NA | Annotator: Automatic


