Citance Number: 1 | Reference Article:  C00-1007.txt | Citing Article:  W08-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >FERGUS (Bangalore and Rambow,2000) took dependency structures as inputs, and produced XTAG derivations by a stochastic tree model automatically acquired from an annotated corpus.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C00-1007.txt | Citing Article:  C02-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Stochastic methods for NLG may provide such automaticity, but most previous work (Knight and Hatzivassiloglou, 1995), (Langkilde and Knight, 1998), (Oh and Rudnicky, 2000), (Uchimotoetal., 2000), (Bangalore and Rambow, 2000) concentrate on the specifics of individual stochastic methods, ignoring other issues such as integrability, portability, and efficiency.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C00-1007.txt | Citing Article:  C02-1138.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We extend the work of (Walker et al., 2001) and (Bangalore and Rambow, 2000) in various ways.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C00-1007.txt | Citing Article:  N03-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >WordNet has been used by many researchers for different purposes ranging from the construction or extension of knowledge bases such as SENSUS (Knight and Luk, 1994) or the Lexical Conceptual Structure Verb Database (LVD) (Green et al, 2001) to the faking of meaning ambiguity as part of system evaluation (Bangalore and Rambow, 2000).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C00-1007.txt | Citing Article:  N09-3004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These concepts are then realized into words resulting in a bag of words with syntactic relations (Bangalore and Rambow, 2000).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C00-1007.txt | Citing Article:  P08-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have introduced a novel type of supertagger, which we have dubbed a hypertagger, that assigns CCG category labels to elementary predications in a structured semantic representation with high accuracy at several levels of tagging ambiguity in a fashion reminiscent of (Bangalore and Rambow, 2000).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C00-1007.txt | Citing Article:  C02-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bangalore and Rambow proposed a method to generate candidate-text sentences in the form of trees (Bangalore and Rambow, 2000).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C00-1007.txt | Citing Article:  W05-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C00-1007.txt | Citing Article:  I05-5012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In recent years, there has been a steady stream of research in statistical text generation (see Langkilde and Knight (1998), and Bangalore and Rambow (2000)).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C00-1007.txt | Citing Article:  W04-2311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C00-1007.txt | Citing Article:  W04-2311.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In other words, in generating a form f to express an input, one wants to maximize the probability of the form, P (f), with respect to some gold-standard corpus, and thus express the in put in a way that resembles the realizations in the corpus most closely (Bangalore and Rambow, 2000).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C00-1007.txt | Citing Article:  P02-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >FERGUS (Bangalore and Rambow, 2000), on the other hand, employs a model of syntactic structure during sentence realization.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C00-1007.txt | Citing Article:  W07-0408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Both the model of Amalgam and that presented here differ considerably from the n-gram models of Langkilde and Knight (1998), the TAG models of Bangalore and Rambow (2000), and the stochastic generation from semantic representation approach of Soricutand Marcu (2006).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C00-1007.txt | Citing Article:  P06-1130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bangalore and Rambow (2000) use n-gram word sequence statistics in a TAG-based generation model to rank output strings and additional statistical and symbolic resources at intermediate generation stages.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C00-1007.txt | Citing Article:  W05-1612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Exploiting A Probabilistic Hierarchical Model For Generation</S> | Discourse Facet:  NA | Annotator: Automatic


