Citance Number: 1 | Reference Article:  P97-1023.txt | Citing Article:  C00-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hatzivassiloglou and McKeown (1997) presented a method for automatically assigning a + or - orientation label to adjectives known to have some semantic orientation.</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Predicting The Semantic Orientation Of Adjectives</S><S sid = 13 ssid = >In this paper, we present and evaluate a method that automatically retrieves semantic orientation information using indirect information collected from a large corpus.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P97-1023.txt | Citing Article:  W11-1716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As explained by Hatzivassiloglou and McKeown (1997), two opinion terms appearing in a conjunctive constructions tend to have semantic orientations with the same or opposite directions, depending on the conjunction employed.</S> | Reference Offset:  ['9','55'] | Reference Text:  <S sid = 9 ssid = >In addition, almost all antonyms have different semantic orientations.'</S><S sid = 55 ssid = >However, we can improve performance by noting that conjunctions using but exhibit the opposite pattern, usually involving adjectives of different orientations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P97-1023.txt | Citing Article:  P04-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Hirschberg and Litman, 1994), and adjectives with positive or negative polarity (Hatzivassiloglou and McKeown, 1997).</S> | Reference Offset:  ['3','128'] | Reference Text:  <S sid = 3 ssid = >Combining the constraints across many adjectives, a clustering algorithm separates the adjectives into groups of different orientations, and finally, adjectives are labeled positive or negative.</S><S sid = 128 ssid = >Thus the simulation measures only how well the system separates positive from negative adjectives, not how well it determines which is which.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P97-1023.txt | Citing Article:  P07-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hatzivassiloglou and McKeown (1997) determine the polarity of adjectives by mining pairs of conjoined adjectives from text, and observing that conjunctions such as and tend to conjoin adjectives of the same polarity while conjunctions such as but tend to conjoin adjectives of opposite polarity.</S> | Reference Offset:  ['1','22'] | Reference Text:  <S sid = 1 ssid = >We identify and validate from a large corpus constraints from conjunctions on the positive or negative semantic orientation of the conjoined adjectives.</S><S sid = 22 ssid = >We next validate our hypothesis that conjunctions constrain the orientation of conjoined adjectives and then describe the remaining three steps of the algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P97-1023.txt | Citing Article:  P08-2028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hatzivassiloglou and McKeown (1997) clustered adjectives into (+) and (-) sets based on conjunction constructions, weighted similarity graphs, minimum-cuts, supervised learning, and clustering.</S> | Reference Offset:  ['3','138'] | Reference Text:  <S sid = 3 ssid = >Combining the constraints across many adjectives, a clustering algorithm separates the adjectives into groups of different orientations, and finally, adjectives are labeled positive or negative.</S><S sid = 138 ssid = >As part of our clustering algorithm's output, a &quot;goodness-of-fit&quot; measure for each word is computed, based on Rousseeuw's (1987) silhouettes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P97-1023.txt | Citing Article:  E09-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the earliest work on learning polarity of terms was by Hatzivassiloglou and McKeown (1997) who deduce polarity by exploiting constraints on conjoined adjectives in the Wall Street Journal corpus.</S> | Reference Offset:  ['24','134'] | Reference Text:  <S sid = 24 ssid = >For our experiments, we use the 21 million word 1987 Wall Street Journal corpus', automatically annotated with part-of-speech tags using the PARTS tagger (Church, 1988).</S><S sid = 134 ssid = >We have proposed and verified from corpus data constraints on the semantic orientations of conjoined adjectives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P97-1023.txt | Citing Article:  W11-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','146'] | Reference Text:  <S sid = 36 ssid = >To further validate our set of labeled adjectives, we subsequently asked four people to independently label a randomly drawn sample of 500 of these adjectives.</S><S sid = 146 ssid = >We also thank Dragomir Radev, Eric Siegel, and Gregory Sean McKinley who provided models for the categorization of the adjectives in our training and testing sets as positive and negative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P97-1023.txt | Citing Article:  P11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work of Hatzivassiloglou and McKeown (1997) is among the earliest efforts that addressed this problem.</S> | Reference Offset:  ['91','95'] | Reference Text:  <S sid = 91 ssid = >However, it will in general find a local minimum rather than the global one; the problem is NP-complete (Garey and Johnson, 1979).</S><S sid = 95 ssid = >We have previously shown (Hatzivassiloglou and McKeown, 1995) that in oppositions of gradable adjectives where one member is semantically unmarked, the unmarked member is the most frequent one about 81% of the time.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P97-1023.txt | Citing Article:  P11-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used the list of labeled seeds from (Hatzivassiloglouand McKeown, 1997) and (Stone et al, 1966).</S> | Reference Offset:  ['11','12'] | Reference Text:  <S sid = 11 ssid = >Given that semantically similar words can be identified automatically on the basis of distributional properties and linguistic cues (Brown et al., 1992; Pereira et al., 1993; Hatzivassiloglou and McKeown, 1993), identifying the semantic orientation of words would allow a system to further refine the retrieved semantic similarity relationships, extracting antonyms.</S><S sid = 12 ssid = >Unfortunately, dictionaries and similar sources (theusari, WordNet (Miller et al., 1990)) do not include semantic orientation information .2 Explicit links between antonyms and synonyms may also be lacking, particularly when they depend on the domain of discourse; for example, the opposition bear— bull appears only in stock market reports, where the two words take specialized meanings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P97-1023.txt | Citing Article:  P06-2079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['36','146'] | Reference Text:  <S sid = 36 ssid = >To further validate our set of labeled adjectives, we subsequently asked four people to independently label a randomly drawn sample of 500 of these adjectives.</S><S sid = 146 ssid = >We also thank Dragomir Radev, Eric Siegel, and Gregory Sean McKinley who provided models for the categorization of the adjectives in our training and testing sets as positive and negative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P97-1023.txt | Citing Article:  W12-4102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In previous work, Hatzivassiloglou and McKeown (1997) proposed a method to identify the polarity of adjectives based on conjunctions linking them in a large corpus.</S> | Reference Offset:  ['1','134'] | Reference Text:  <S sid = 1 ssid = >We identify and validate from a large corpus constraints from conjunctions on the positive or negative semantic orientation of the conjoined adjectives.</S><S sid = 134 ssid = >We have proposed and verified from corpus data constraints on the semantic orientations of conjoined adjectives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P97-1023.txt | Citing Article:  D12-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Hatzivassiloglou (Hatzivassiloglou and McKeown, 1997) and Kanayama (Kanayama and Nasukawa, 2006) used conjunction rules to solve this problem from large domain corpora.</S> | Reference Offset:  ['14','135'] | Reference Text:  <S sid = 14 ssid = >Because the method relies on the corpus, it extracts domain-dependent information and automatically adapts to a new domain when the corpus is changed.</S><S sid = 135 ssid = >We used these constraints to automatically construct a log-linear regression model, which, combined with supplementary morphology rules, predicts whether two conjoined adjectives are of same In each figure, the last x coordinate indicates the d the dotted line shows the performance of a random or different orientation with 82% accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P97-1023.txt | Citing Article:  N10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For sentiment, the authors use a seed set of positive and negative adjectives, and iteratively propagate sentiment polarity through conjunction relations (like those used by Hatzivassiloglou and McKeown 1997, above).</S> | Reference Offset:  ['34','128'] | Reference Text:  <S sid = 34 ssid = >The final set contained 1,336 adjectives (657 positive and 679 negative terms).</S><S sid = 128 ssid = >Thus the simulation measures only how well the system separates positive from negative adjectives, not how well it determines which is which.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P97-1023.txt | Citing Article:  N10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our method for determining sentiment polarity is based on an adaptation of Hatzivassiloglou and McKeown (1997).</S> | Reference Offset:  ['83','86'] | Reference Text:  <S sid = 83 ssid = >To partition the graph nodes into subsets of the same orientation, we employ an iterative optimization procedure on each connected component, based on the exchange method, a nonhierarchical clustering algorithm (Sp5,th, 1985).</S><S sid = 86 ssid = >This constraint, based on Rousseeuw's (1987) silhouettes, helps correct wrong cluster assignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P97-1023.txt | Citing Article:  H05-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In each case, OPINE makes use of local constraints on label assignments (e.g., conjunctions and disjunctions constraining the assignment of SO labels to words (Hatzivassiloglou and McKeown, 1997)).</S> | Reference Offset:  ['1','94'] | Reference Text:  <S sid = 1 ssid = >We identify and validate from a large corpus constraints from conjunctions on the positive or negative semantic orientation of the conjoined adjectives.</S><S sid = 94 ssid = >To accomplish that, we use a simple criterion that applies only to pairs or groups of words of opposite orientation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P97-1023.txt | Citing Article:  P10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hatzivassiloglou and McKeown (1997) proposed a method for identifying word polarity of adjectives.</S> | Reference Offset:  ['5','134'] | Reference Text:  <S sid = 5 ssid = >The semantic orientation or polarity of a word indicates the direction the word deviates from the norm for its semantic group or lexical field (Lehrer, 1974).</S><S sid = 134 ssid = >We have proposed and verified from corpus data constraints on the semantic orientations of conjoined adjectives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P97-1023.txt | Citing Article:  P10-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the method presented in (Hatzivassiloglou and McKeown, 1997), we can connect words if they appear in a conjunctive form in the corpus.</S> | Reference Offset:  ['21','82'] | Reference Text:  <S sid = 21 ssid = >The system identifies and uses this indirect information in the following stages: In the following sections, we first present the set of adjectives used for training and evaluation.</S><S sid = 82 ssid = >Same and different-orientation links between adjectives form a graph.</S> | Discourse Facet:  NA | Annotator: Automatic


