Citance Number: 1 | Reference Article:  J88-2006.txt | Citing Article:  C92-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More independent of this approach are suggestions made by Moens and Steedmalt (1988) and by Webber (1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One way in English is via a perfect-tensed clause, which Computational Linguistics, Volume 14, Number 2, June 1988 69 Bonnie Lynn Webber Tense as Discourse Anaphor explicitly evokes another event, temporally earlier than the one currently in focus.</S><S sid = NA ssid = NA>(These Computational Linguistics, Volume 14, Number 2, June 1988 67 Bonnie Lynn Webber Tense as Discourse Anaphor cover similar phenomena to the macromoves described in Nakhimovsky, also this volume.)</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J88-2006.txt | Citing Article:  C04-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Becky Passonneau, Debby Dahl, Mark Steedman, Ethel Schuster, Candy Sidner, Barbara Grosz, Ellen Bard, Anne Anderson, Tony Sanford, Simon Garrod, and Rich Thomason for their helpful comments on the many earlier versions of this paper.</S><S sid = NA ssid = NA>This work was partially supported by ARO grant DAA29-884-9-0027, NSF grant MCS-8219116-CER, and DARPA grant N00014-85-K-0018 to the University of Pennsylvania, by DARPA grant N00014-85-C-0012 to UNISYS Paoli Research Center, and an Alvey grant to the Centre for Speech Technology Research, University of Edinburgh.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J88-2006.txt | Citing Article:  C04-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, previous research has found that demonstrative anaphors rarely refer to NPs, while it rarely refers to discourse segments (Webber (1988a)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With respect to definite pronouns and NPs, this will essentially be a review of previous research.</S><S sid = NA ssid = NA>This does not imply that all indefinite NPs are discourse anaphors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J88-2006.txt | Citing Article:  P00-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Becky Passonneau, Debby Dahl, Mark Steedman, Ethel Schuster, Candy Sidner, Barbara Grosz, Ellen Bard, Anne Anderson, Tony Sanford, Simon Garrod, and Rich Thomason for their helpful comments on the many earlier versions of this paper.</S><S sid = NA ssid = NA>This work was partially supported by ARO grant DAA29-884-9-0027, NSF grant MCS-8219116-CER, and DARPA grant N00014-85-K-0018 to the University of Pennsylvania, by DARPA grant N00014-85-C-0012 to UNISYS Paoli Research Center, and an Alvey grant to the Centre for Speech Technology Research, University of Edinburgh.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J88-2006.txt | Citing Article:  C04-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Webber (Webber, 1988) improved upon the above work by specifying rules for how events are related to one another in a discourse and Sing and Sing defined semantic constraints through which events can be related (Sing, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In Grosz and Sidner, they are defined for task-related dialogues and arguments.</S><S sid = NA ssid = NA>The driver stopped the bus when the passengers began to sing &quot;Aida&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J88-2006.txt | Citing Article:  W04-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Consider discourse (1), from (Webber 1988).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One way in English is via a perfect-tensed clause, which Computational Linguistics, Volume 14, Number 2, June 1988 69 Bonnie Lynn Webber Tense as Discourse Anaphor explicitly evokes another event, temporally earlier than the one currently in focus.</S><S sid = NA ssid = NA>(These Computational Linguistics, Volume 14, Number 2, June 1988 67 Bonnie Lynn Webber Tense as Discourse Anaphor cover similar phenomena to the macromoves described in Nakhimovsky, also this volume.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J88-2006.txt | Citing Article:  P06-1095.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>My thanks to Becky Passonneau, Debby Dahl, Mark Steedman, Ethel Schuster, Candy Sidner, Barbara Grosz, Ellen Bard, Anne Anderson, Tony Sanford, Simon Garrod, and Rich Thomason for their helpful comments on the many earlier versions of this paper.</S><S sid = NA ssid = NA>This work was partially supported by ARO grant DAA29-884-9-0027, NSF grant MCS-8219116-CER, and DARPA grant N00014-85-K-0018 to the University of Pennsylvania, by DARPA grant N00014-85-C-0012 to UNISYS Paoli Research Center, and an Alvey grant to the Centre for Speech Technology Research, University of Edinburgh.</S> | Discourse Facet:  NA | Annotator: Automatic


