Citance Number: 1 | Reference Article:  N07-1030.txt | Citing Article:  P07-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Denis and Baldridge (2007) report 67.1 F1 and 69.2 F1 on the English NWIRE and BNEWS respectively using true mention boundaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Despite having lower precision than COREF-PAIRWISE, the COREF-ILP system obtains very large gains in recall to end up with overall f-score gains of 4.3%, 4.2%, and 3.0% across BNEWS, NPAPER, and NWIRE, respectively.</S><S sid = NA ssid = NA>There are also improvements in recall over COREF-ILP for NPAPER and NWIRE.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N07-1030.txt | Citing Article:  W11-1917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Extending Denis and Baldridge (2007) and Finkel and Manning (2008)'s work, we exploit loose transitivity constraints on coreference pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, we expect transitivity constraints over coreference pairs, as well as constraints on the entire partition (e.g., the number of entities in the document), to help considerably.</S><S sid = NA ssid = NA>In future work, we will explore the use of global constraints, similar to those used by (Barzilay and Lapata, 2006) to improve both precision and recall.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N07-1030.txt | Citing Article:  W11-1917.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Denis and Baldridge (2007) proposed an ILP formulation to find the optimal solution for the problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our problem formulation and use of ILP are based on both (Roth and Yih, 2004) and (Barzilay and Lapata, 2006).</S><S sid = NA ssid = NA>Given the rapidly growing size of Bell trees, Luo et al. resort to a beam search algorithm and various pruning strategies, potentially resulting in picking a non-optimal solution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N07-1030.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is worth noting, in particular, that Luo (2007), Denis and Baldridge (2007), and Finkel and Manning (2008) evaluate their approaches on true mentions extracted from the answer keys.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our experiments, we consider only the true ACE mentions.</S><S sid = NA ssid = NA>It is worth noting that previous work tends to be vague in both these respects: details on mention filtering or providing performance figures for markable identification are rarely given.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N07-1030.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by NSF grant IIS0535154.</S><S sid = NA ssid = NA>This section provides the performance of the pairwise coreference classifier, both when used alone (COREF-PAIRWISE) and when used in a cascade where the anaphoricity classifier acts as a filter on which mentions should be resolved (AC-CASCADE).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N07-1030.txt | Citing Article:  N09-1065.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by NSF grant IIS0535154.</S><S sid = NA ssid = NA>This section provides the performance of the pairwise coreference classifier, both when used alone (COREF-PAIRWISE) and when used in a cascade where the anaphoricity classifier acts as a filter on which mentions should be resolved (AC-CASCADE).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N07-1030.txt | Citing Article:  D11-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by NSF grant IIS0535154.</S><S sid = NA ssid = NA>This section provides the performance of the pairwise coreference classifier, both when used alone (COREF-PAIRWISE) and when used in a cascade where the anaphoricity classifier acts as a filter on which mentions should be resolved (AC-CASCADE).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N07-1030.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ng and Cardie (2002a) and Denis and Baldridge (2007) show that when used effectively, explicitly predicting anaphoricity can be helpful.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This feature set is similar (though not equivalent) to that used by Ng and Cardie (2002a).</S><S sid = NA ssid = NA>To reduce such errors, Ng and Cardie (2002a) and Ng (2004) use an anaphoricity classifier –which has the sole task of saying whether or not any antecedents should be identified for each mention– as a filter for their coreference system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N07-1030.txt | Citing Article:  D09-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We formulate our lexicon adaptation task using integer linear programming (ILP), which has been shown to bevery effective when solving problems with complex constraints (e.g., Roth and Yih (2004), Denis and Baldridge (2007)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming</S><S sid = NA ssid = NA>In this paper, we propose to recast the task of coreference resolution as an optimization problem, namely an integer linear programming (ILP) problem.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N07-1030.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Examples of such approaches have exploited techniques including integer linear programming (ILP) (Denis and Baldridge, 2007a), label propagation (Zhou and Kong, 2009), and minimum cuts (Ng, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we propose to recast the task of coreference resolution as an optimization problem, namely an integer linear programming (ILP) problem.</S><S sid = NA ssid = NA>Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N07-1030.txt | Citing Article:  P11-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We present an ILP-based model of zero anaphora detection and resolution that builds on the joint determination of anaphoricity and coreference model proposed by Denis and Baldridge (2007), but revises it and extends it into a three-way ILP problem also incorporating subject detection.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper focuses on the first problem, and proposes to model anaphoricity determination and coreference resolution as a joint task, wherein the decisions made by each locally trained model are mutually constrained.</S><S sid = NA ssid = NA>Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N07-1030.txt | Citing Article:  P11-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported by NSF grant IIS0535154.</S><S sid = NA ssid = NA>This section provides the performance of the pairwise coreference classifier, both when used alone (COREF-PAIRWISE) and when used in a cascade where the anaphoricity classifier acts as a filter on which mentions should be resolved (AC-CASCADE).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N07-1030.txt | Citing Article:  P11-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Section 2 briefly summarizes the approach proposed by Denis and Baldridge (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 summarizes the results for these different systems.</S><S sid = NA ssid = NA>The results in the previous section demonstrate the limitations of a cascading approach for determining anaphoricity and coreference with separate models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N07-1030.txt | Citing Article:  P11-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Denis and Baldridge (2007) defined the following object function for the joint anaphoricity and coreference determination problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming</S><S sid = NA ssid = NA>The task for the anaphoricity determination component is the following: one wants to decide for each mention i in a document whether i is anaphoric or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N07-1030.txt | Citing Article:  P08-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Non-referential it detection should not be a pre-processing step, but rather part of a globally optimal configuration, as was done for general noun phrase anaphoricity by Denis and Baldridge (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The second step provides the joint formulation: the coreference classifier is now combined with an anaphoricity classifier and constraints are added to ensure that the ultimate coreference and anaphoricity decisions are mutually consistent.</S><S sid = NA ssid = NA>In the first, intermediary step, we simply use ILP to find a global assignment based on decisions made by the coreference classifier alone.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N07-1030.txt | Citing Article:  D08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ranking models provide a theoretically more adequate and empirically better alternative approach to pronoun resolution than standard classification based approaches (Denis and Baldridge, 2007b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is because our focus is on evaluating pairwise local approaches versus the global ILP approach rather than on building a full coreference resolution system.</S><S sid = NA ssid = NA>Standard pairwise coreference resolution systems are subject to errors resulting from their performing anaphora identification as an implicit part of coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N07-1030.txt | Citing Article:  D08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>By using joint inference for anaphoricity and coreference, Denis and Baldridge (2007a) avoid cascade-induced errors without the need to separately optimize the threshold.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Determination of Anaphoricity and Coreference Resolution using Integer Programming</S><S sid = NA ssid = NA>The anaphoricity classifier has an average accuracy of 80.2% on the three ACE datasets (using a threshold of .5).</S> | Discourse Facet:  NA | Annotator: Automatic


