Citance Number: 1 | Reference Article:  J93-2004.txt | Citing Article:  C94-2149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Of the 1600 IBM sentences that have been parsed (those available from the Penn Treebank [Marcus et al, 19931), only 67 overlapped with the IBM-manual treebank that was bracketed by University of Lancaster.</S> | Reference Offset:  ['0','326'] | Reference Text:  <S sid = 0 ssid = >Building a Large Annotated Corpus of English: The Penn Treebank Mitchell P. Marcus* University of Pennsylvania Mary Ann Marcinkiewicz~ University of Pennsylvania Beatrice Santorini t Northwestern University 1.</S><S sid = 326 ssid = >The IBM sentences are taken from IBM computer manuals; they are chosen to contain a vocabulary of 3,000 words, and are limited in length.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J93-2004.txt | Citing Article:  P10-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have used Sections 02-21 of CCG bank (Hockenmaier and Steedman, 2007), the CCG version of the Penn Treebank (Marcus et al, 1993), as training data for the newspaper domain.</S> | Reference Offset:  ['39','80'] | Reference Text:  <S sid = 39 ssid = >314 Mitchell P. Marcus et al.</S><S sid = 80 ssid = >316 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-2004.txt | Citing Article:  W02-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The English sentences were parsed using a state-of-the-art statistical parser (Charniak, 2000) trained on the University of Pennsylvania Treebank (Marcus et al, 1993).</S> | Reference Offset:  ['0','204'] | Reference Text:  <S sid = 0 ssid = >Building a Large Annotated Corpus of English: The Penn Treebank Mitchell P. Marcus* University of Pennsylvania Mary Ann Marcinkiewicz~ University of Pennsylvania Beatrice Santorini t Northwestern University 1.</S><S sid = 204 ssid = >320 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-2004.txt | Citing Article:  W05-0305.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The overall goal of the Penn Discourse Treebank (PDTB) is to annotate the million word WSJ corpus in the Penn TreeBank (Marcus et al, 1993 ) with a layer of discourse annotations.</S> | Reference Offset:  ['4','313'] | Reference Text:  <S sid = 4 ssid = >In this paper, we review our experience with constructing one such large annotated corpus--the Penn Treebank, a corpus 1consisting of over 4.5 million words of American English.</S><S sid = 313 ssid = >326 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-2004.txt | Citing Article:  N06-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These remain fixed at all levels to the standard Penn-tree-bank set Marcus et al (1993).</S> | Reference Offset:  ['80','154'] | Reference Text:  <S sid = 80 ssid = >316 Mitchell P. Marcus et al.</S><S sid = 154 ssid = >318 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-2004.txt | Citing Article:  P04-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper describes an algorithm for detecting empty nodes in the Penn Treebank (Marcus et al, 1993), finding their antecedents, and assigning them function tags, without access to lexical information such as valency.</S> | Reference Offset:  ['39','55'] | Reference Text:  <S sid = 39 ssid = >314 Mitchell P. Marcus et al.</S><S sid = 55 ssid = >2.1.3 Syntactic Function.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-2004.txt | Citing Article:  P04-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the Penn Treebank (Marcus et al, 1993), null elements, or empty categories, are used to indicate non-local dependencies, discontinuous constituents, and certain missing elements.</S> | Reference Offset:  ['206','209'] | Reference Text:  <S sid = 206 ssid = >X Null elements 2.</S><S sid = 209 ssid = >As can be seen from Table 3, the syntactic tagset used by the Penn Treebank in- cludes a variety of null elements, a subset of the null elements introduced by Fidditch.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-2004.txt | Citing Article:  W97-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper reports on our experience hand tagging the senses of 25 of the most frequent verbs in 12,925 sentences of the Wall Street Journal Treebank corpus (Marcus et al 1993).</S> | Reference Offset:  ['4','154'] | Reference Text:  <S sid = 4 ssid = >In this paper, we review our experience with constructing one such large annotated corpus--the Penn Treebank, a corpus 1consisting of over 4.5 million words of American English.</S><S sid = 154 ssid = >318 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J93-2004.txt | Citing Article:  W07-2204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sentences included in the gold standard were chosen at random from the BNC, subject to the condition that they contain a verb which does not occur in the training sections of the WSJ section of the PTB (Marcus et al, 1993).</S> | Reference Offset:  ['80','313'] | Reference Text:  <S sid = 80 ssid = >316 Mitchell P. Marcus et al.</S><S sid = 313 ssid = >326 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J93-2004.txt | Citing Article:  P14-1099.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Penn WSJ treebank (Marcus et al, 1993) for our experiments.</S> | Reference Offset:  ['39','154'] | Reference Text:  <S sid = 39 ssid = >314 Mitchell P. Marcus et al.</S><S sid = 154 ssid = >318 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J93-2004.txt | Citing Article:  D11-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The data used for our experiment consist of English sentences from the Penn Treebank project (Marcus et al, 1993) consisting of 10948 sentences and 259104 words.</S> | Reference Offset:  ['204','327'] | Reference Text:  <S sid = 204 ssid = >320 Mitchell P. Marcus et al.</S><S sid = 327 ssid = >The ATIS sentences are transcribed versions of spontaneous sentences collected as training materials for the DARPA Air Travel Information System project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J93-2004.txt | Citing Article:  C08-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, about 38% of verbs in the training sections of the Penn Treebank (PTB) (Marcus et al, 1993) occur only once the lexical properties of these verbs.</S> | Reference Offset:  ['154','204'] | Reference Text:  <S sid = 154 ssid = >318 Mitchell P. Marcus et al.</S><S sid = 204 ssid = >320 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J93-2004.txt | Citing Article:  N10-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The third corpus was Section 23 of the Wall Street Journal data in the Penn Treebank (Marcus et al, 1993).</S> | Reference Offset:  ['39','275'] | Reference Text:  <S sid = 39 ssid = >314 Mitchell P. Marcus et al.</S><S sid = 275 ssid = >324 Mitchell R Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J93-2004.txt | Citing Article:  W02-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have observed in several experiments that the number of SuperARVs does not grow significantly as training set size in creases; the moderate-sized Resource Management corpus (Price et al, 1988) with 25,168 words produces 328 SuperARVs, compared to 538 SuperARVs for the 1 million word Wall Street Journal (WSJ) Penn Treebank set (Marcus et al, 1993).</S> | Reference Offset:  ['275','313'] | Reference Text:  <S sid = 275 ssid = >324 Mitchell R Marcus et al.</S><S sid = 313 ssid = >326 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J93-2004.txt | Citing Article:  P02-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In one experiment, it has to be performed on the basis of the gold-standard, assumed-perfect POS taken directly from the training data, the Penn Treebank (Marcus et al, 1993), so as to abstract from a particular POS tagger and to provide an upper bound.</S> | Reference Offset:  ['39','80'] | Reference Text:  <S sid = 39 ssid = >314 Mitchell P. Marcus et al.</S><S sid = 80 ssid = >316 Mitchell P. Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J93-2004.txt | Citing Article:  P02-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our chunks and functions are based on the annotations in the third release of the Penn Treebank (Marcus et al, 1993).</S> | Reference Offset:  ['39','275'] | Reference Text:  <S sid = 39 ssid = >314 Mitchell P. Marcus et al.</S><S sid = 275 ssid = >324 Mitchell R Marcus et al.</S> | Discourse Facet:  NA | Annotator: Automatic


