Citance Number: 1 | Reference Article:  P04-1035.txt | Citing Article:  P09-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, Ng et al (2006) examine the FS of the weighted log-likelihood ratio (WLLR) on the movie review dataset and achieves an accuracy of 87.1%, which is higher than the result reported by Pang and Lee (2004) with the same dataset.</S> | Reference Offset:  ['21','97'] | Reference Text:  <S sid = 21 ssid = >The motivation behind the singlesentence selection method of Beineke et al. (2004) is to reveal a document’s sentiment polarity, but they do not evaluate the polarity-classification accuracy that results.</S><S sid = 97 ssid = >Also, it so happens that at N = 30, performance is actually slightly better than (but statistically indistinguishable from) Full review even when the SVM default polarity classifier is used (87.2% vs. 87.15%).12 This suggests potentially effective extraction alternatives other than using a fixed probability threshold (which resulted in the lower accuracy of 86.4% reported above).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P04-1035.txt | Citing Article:  W11-0323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Graph based SSL learning has been successfully applied to opinion detection (Pang and Lee, 2004) but is not appropriate for dealing with large scale data sets.</S> | Reference Offset:  ['7','15'] | Reference Text:  <S sid = 7 ssid = >Document polarity classification poses a significant challenge to data-driven methods, resisting traditional text-categorization techniques (Pang, Lee, and Vaithyanathan, 2002).</S><S sid = 15 ssid = >Hence, standard machinelearning classification techniques, such as support vector machines (SVMs), can be applied to the entire documents themselves, as was done by Pang, Lee, and Vaithyanathan (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P04-1035.txt | Citing Article:  W11-0323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the standard data sets in opinion detection is the movie review data set created by Pang and Lee (2004).</S> | Reference Offset:  ['7','71'] | Reference Text:  <S sid = 7 ssid = >Document polarity classification poses a significant challenge to data-driven methods, resisting traditional text-categorization techniques (Pang, Lee, and Vaithyanathan, 2002).</S><S sid = 71 ssid = >With these in hand8, we set (for j > i)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P04-1035.txt | Citing Article:  N09-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also cannot use prior graph construction methods for the document level (such as physical proximity of sentences, used in Pang and Lee (2004)) at the word sense level.</S> | Reference Offset:  ['19','64'] | Reference Text:  <S sid = 19 ssid = >To our knowledge, previous work has not integrated sentence-level subjectivity detection with document-level sentiment polarity.</S><S sid = 64 ssid = >Specifically, for a given document, we use the construction in Section 2.2 to build a graph wherein the source s and sink t correspond to the class of subjective and objective sentences, respectively, and each internal node vi corresponds to the document’s ith sentence si.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P04-1035.txt | Citing Article:  P11-4022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is because certain parts-of-speech have been found to be better indicators of sentiment (Pang and Lee, 2004).</S> | Reference Offset:  ['15','43'] | Reference Text:  <S sid = 15 ssid = >Hence, standard machinelearning classification techniques, such as support vector machines (SVMs), can be applied to the entire documents themselves, as was done by Pang, Lee, and Vaithyanathan (2002).</S><S sid = 43 ssid = >For instance, it is perfectly legitimate to use knowledge-rich algorithms employing deep linguistic knowledge about sentiment indicators to derive the individual scores.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P04-1035.txt | Citing Article:  I08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pang and Lee (2004) proposed to eliminate objective sentences before the sentiment classification of documents.</S> | Reference Offset:  ['15','17'] | Reference Text:  <S sid = 15 ssid = >Hence, standard machinelearning classification techniques, such as support vector machines (SVMs), can be applied to the entire documents themselves, as was done by Pang, Lee, and Vaithyanathan (2002).</S><S sid = 17 ssid = >However, as noted above, we may be able to improve polarity classification by removing objective sentences (such as plot summaries in a movie review).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P04-1035.txt | Citing Article:  N07-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['30','121'] | Reference Text:  <S sid = 30 ssid = >Suppose we have n items x1, ... , xn to divide into two classes C1 and C2, and we have access to two types of information: We would like to maximize each item’s “net happiness”: its individual score for the class it is assigned to, minus its individual score for the other class.</S><S sid = 121 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P04-1035.txt | Citing Article:  W07-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentence-level subjectivity detection, where training data is easier to obtain than for positive vs. negative classification, has been successfully performed using supervised statistical methods alone (Pang and Lee, 2004) or in combination with a knowledge based approach (Riloff et al, 2006).</S> | Reference Offset:  ['19','22'] | Reference Text:  <S sid = 19 ssid = >To our knowledge, previous work has not integrated sentence-level subjectivity detection with document-level sentiment polarity.</S><S sid = 22 ssid = >As with document-level polarity classification, we could perform subjectivity detection on individual sentences by applying a standard classification algorithm on each sentence in isolation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P04-1035.txt | Citing Article:  P11-2015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We build two classifiers based on the work of Pang and Lee (2004) to measure the polarity and objectivity of article edits.</S> | Reference Offset:  ['16','19'] | Reference Text:  <S sid = 16 ssid = >We refer to such classification techniques as default polarity classifiers.</S><S sid = 19 ssid = >To our knowledge, previous work has not integrated sentence-level subjectivity detection with document-level sentiment polarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P04-1035.txt | Citing Article:  W10-3111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentiment analysis can be dependently or independently done from subjectivity detection, although Pang and Lee (2004) state that subjectivity detection performed prior to the sentiment analysis leads to better results in the latter.</S> | Reference Offset:  ['0','116'] | Reference Text:  <S sid = 0 ssid = >A Sentimental Education: Sentiment Analysis Using Subjectivity Summarization Based On Minimum Cuts</S><S sid = 116 ssid = >We have also shown that employing the minimum-cut framework results in the development of efficient algorithms for sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P04-1035.txt | Citing Article:  E09-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['30','121'] | Reference Text:  <S sid = 30 ssid = >Suppose we have n items x1, ... , xn to divide into two classes C1 and C2, and we have access to two types of information: We would like to maximize each item’s “net happiness”: its individual score for the class it is assigned to, minus its individual score for the other class.</S><S sid = 121 ssid = >Any opinions, findings, and conclusions or recommendations expressed above are those of the authors and do not necessarily reflect the views of the National Science Foundation or Sloan Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P04-1035.txt | Citing Article:  P07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, it has already been established that sentence level classification can improve document level analysis (Pang and Lee, 2004).</S> | Reference Offset:  ['19','22'] | Reference Text:  <S sid = 19 ssid = >To our knowledge, previous work has not integrated sentence-level subjectivity detection with document-level sentiment polarity.</S><S sid = 22 ssid = >As with document-level polarity classification, we could perform subjectivity detection on individual sentences by applying a standard classification algorithm on each sentence in isolation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P04-1035.txt | Citing Article:  P07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cascaded models for fine-to-coarse sentiment analysis were studied by Pang and Lee (2004).</S> | Reference Offset:  ['0','116'] | Reference Text:  <S sid = 0 ssid = >A Sentimental Education: Sentiment Analysis Using Subjectivity Summarization Based On Minimum Cuts</S><S sid = 116 ssid = >We have also shown that employing the minimum-cut framework results in the development of efficient algorithms for sentiment analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P04-1035.txt | Citing Article:  P07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, in Pang and Lee (2004), yd would be the polarity of the document and ysi would indicate whether sentence si is subjective or objective.</S> | Reference Offset:  ['64','68'] | Reference Text:  <S sid = 64 ssid = >Specifically, for a given document, we use the construction in Section 2.2 to build a graph wherein the source s and sink t correspond to the class of subjective and objective sentences, respectively, and each internal node vi corresponds to the document’s ith sentence si.</S><S sid = 68 ssid = >The and ind2(si) = 1 − ind1(si).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P04-1035.txt | Citing Article:  P07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The local dependencies between sentiment labels on sentences is similar to the work of Pang and Lee (2004) where soft local consistency constraints were created between every sentence in a document and inference was solved using a min-cut algorithm.</S> | Reference Offset:  ['19','22'] | Reference Text:  <S sid = 19 ssid = >To our knowledge, previous work has not integrated sentence-level subjectivity detection with document-level sentiment polarity.</S><S sid = 22 ssid = >As with document-level polarity classification, we could perform subjectivity detection on individual sentences by applying a standard classification algorithm on each sentence in isolation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P04-1035.txt | Citing Article:  P07-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Alternatively, decisions from the sentence classifier can guide which input is seen by the document level classifier (Pang and Lee, 2004).</S> | Reference Offset:  ['19','81'] | Reference Text:  <S sid = 19 ssid = >To our knowledge, previous work has not integrated sentence-level subjectivity detection with document-level sentiment polarity.</S><S sid = 81 ssid = >With SVMs as the polarity classifier instead, the Full review performance rises to 87.15%, but comparison via the paired t-test reveals that this is statistically indistinguishable from the 86.4% that is achieved by running the SVM polarity classifier on ExtractNB input.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P04-1035.txt | Citing Article:  W11-1717.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other hand, we associate sentiment polarity to a document on the whole as opposed to Pang and Lee (2004) which deals with sentiment prediction of subjectivity content only.</S> | Reference Offset:  ['11','77'] | Reference Text:  <S sid = 11 ssid = >Also, as mentioned above, subjectivity extracts can be provided to users as a summary of the sentiment-oriented content of the document.</S><S sid = 77 ssid = >We therefore conclude that subjectivity extraction produces effective summaries of document sentiment.</S> | Discourse Facet:  NA | Annotator: Automatic


