Citance Number: 1 | Reference Article:  P02-1050.txt | Citing Article:  W02-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recent work (Hwa et al, 2002) suggests that translational corresponence of linguistic structures can indeed be useful in projecting parses across languages.</S> | Reference Offset:  ['97','107'] | Reference Text:  <S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S><S sid = 107 ssid = >How useful is the DCA?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P02-1050.txt | Citing Article:  H05-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly to previous work (Hwa et al, 2002), we find that some mileage can be gained by assuming direct correspondence between two languages.</S> | Reference Offset:  ['18','97'] | Reference Text:  <S sid = 18 ssid = >To our knowledge, the direct correspondence assumption underlies all statistical models that attempt to capture a relationship between syntactic structures in two languages, be they constituent models or dependency models.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1050.txt | Citing Article:  W06-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We take as the starting point of annotation projection the direct correspondence assumption as formulated in (Hwa et al, 2002): for two sentences in parallel translation, the syntactic relationships in one language directly map the syntactic relationships in the other, and extend it to POS tags as well.</S> | Reference Offset:  ['0','52'] | Reference Text:  <S sid = 0 ssid = >Evaluating Translational Correspondence Using Annotation Projection</S><S sid = 52 ssid = >In our experimental framework, a system is given the &quot;ideal&quot; syntactic analyses for the English sentences and English-Chinese word-alignments, and it uses a Direct Projection Algorithm (described below) to project the English syntactic annotations directly across to the Chinese sentences in accordance with the DCA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1050.txt | Citing Article:  W06-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hwa et al (2002) have noticed that applying elementary linguistic transformations considerably increases precision and recall when projecting syntactic relations, at least for the English/Chinese language pair.</S> | Reference Offset:  ['70','97'] | Reference Text:  <S sid = 70 ssid = >The direct projection of English dependencies to Chinese yielded poor results as measured by precision and recall over unlabeled syntactic dependencies: precision was 30.1% and recall 39.1%.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1050.txt | Citing Article:  P05-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a different approach, Hwa et al (2002) aligned the parallel sentences using phrase based statistical MT models and then projected the alignments back to the parse trees.</S> | Reference Offset:  ['18','97'] | Reference Text:  <S sid = 18 ssid = >To our knowledge, the direct correspondence assumption underlies all statistical models that attempt to capture a relationship between syntactic structures in two languages, be they constituent models or dependency models.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1050.txt | Citing Article:  N07-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many MT models implicitly make the so-called direct correspondence assumption (DCA) as defined in (Hwa et al, 2002).</S> | Reference Offset:  ['18','97'] | Reference Text:  <S sid = 18 ssid = >To our knowledge, the direct correspondence assumption underlies all statistical models that attempt to capture a relationship between syntactic structures in two languages, be they constituent models or dependency models.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1050.txt | Citing Article:  N07-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our DS projection algorithm is similar to the projection algorithms described in (Hwa et al, 2002) and (Quirk et al, 2005).</S> | Reference Offset:  ['22','97'] | Reference Text:  <S sid = 22 ssid = >As art example where the DCA relates dependency structures, consider the hierarchical alignment algorithm proposed by Alshawi et al. (2000).</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1050.txt | Citing Article:  W04-3207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Hwa et al (2002), we looked at dependency links in the true English parses from the KTB where both the dependent and the head were linked to words on the Korean side using the intersection alignment.</S> | Reference Offset:  ['22','97'] | Reference Text:  <S sid = 22 ssid = >As art example where the DCA relates dependency structures, consider the hierarchical alignment algorithm proposed by Alshawi et al. (2000).</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1050.txt | Citing Article:  W04-3207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since unary productions do not translate well from language to language (Hwa et al, 2002), we collapse them to their lower nodes.</S> | Reference Offset:  ['35','97'] | Reference Text:  <S sid = 35 ssid = >SITG) and more efficient algorithms It may allow us to use the syntactic analysis for one language to infer annotations for the corresponding sentence in another language, helping to reduce the labor and expense of creating treebanks in new languages (Cabezas et al., 2001; Yarowsky and Ngai, 2001).</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1050.txt | Citing Article:  W04-3207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fox (2002) has considered English and French, and Hwa et al (2002) investigate Chinese and English.</S> | Reference Offset:  ['52','97'] | Reference Text:  <S sid = 52 ssid = >In our experimental framework, a system is given the &quot;ideal&quot; syntactic analyses for the English sentences and English-Chinese word-alignments, and it uses a Direct Projection Algorithm (described below) to project the English syntactic annotations directly across to the Chinese sentences in accordance with the DCA.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1050.txt | Citing Article:  W04-3228.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our hand-aligned test data were those used in Hwa et al (2002), and consisted of 48 sentence pairs also with less than 25 words in either language, for a total of 788 English words and 580 Chinese words.</S> | Reference Offset:  ['66','76'] | Reference Text:  <S sid = 66 ssid = >Average sentence length was 23.7 words.</S><S sid = 76 ssid = >Because Chinese classifiers, aspectual particles, and other functional words do not appear in the English sentence, there is no way for a projected English analysis to correctly account for them.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P02-1050.txt | Citing Article:  W06-3104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hwa et al (2002) found that human translations from Chinese to English preserved only 39-42% of the unlabeled Chinese dependencies.</S> | Reference Offset:  ['70','97'] | Reference Text:  <S sid = 70 ssid = >The direct projection of English dependencies to Chinese yielded poor results as measured by precision and recall over unlabeled syntactic dependencies: precision was 30.1% and recall 39.1%.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P02-1050.txt | Citing Article:  P05-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Moreover, as stressed in previous research, using syntactic dependencies seems to be particularly well suited to coping with the problem of linguistic variation across languages (Hwa et al, 2002).</S> | Reference Offset:  ['97','106'] | Reference Text:  <S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S><S sid = 106 ssid = >Our experiments confirm the linguistic intuition, indicating that one cannot safely assume a direct mapping between the syntactic dependencies of one language and the syntactic dependencies of another.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P02-1050.txt | Citing Article:  C10-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A wide range of annotations from part of speech (Hi and Hwa, 2005) and chunks (Yarowsky et al, 2001) to word senses (Diab and Resnik, 2002), dependencies (Hwa et al, 2002) and semantic roles (Pado and Lapata, 2009) have been successfully transferred between languages.</S> | Reference Offset:  ['35','97'] | Reference Text:  <S sid = 35 ssid = >SITG) and more efficient algorithms It may allow us to use the syntactic analysis for one language to infer annotations for the corresponding sentence in another language, helping to reduce the labor and expense of creating treebanks in new languages (Cabezas et al., 2001; Yarowsky and Ngai, 2001).</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P02-1050.txt | Citing Article:  C04-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These sets were the data used by Hwa et al (2002).</S> | Reference Offset:  ['42','97'] | Reference Text:  <S sid = 42 ssid = >(Abeille et al., 1990; Dorr, 1994; Han et al., 2000)), is concerned with characterizing in a systematic way the apparent diversity of mechanisms used by languages to express meanings syntactically.</S><S sid = 97 ssid = >The complete set of rules can be found in (Hwa et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P02-1050.txt | Citing Article:  I08-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >IGT's unique structure — effectively each instance consists of a bitext between English and some target language — can be easily enriched through alignment and projection (e.g., (Yarowsky and Ngai, 2001), (Hwa et al., 2002)).</S> | Reference Offset:  ['35','123'] | Reference Text:  <S sid = 35 ssid = >SITG) and more efficient algorithms It may allow us to use the syntactic analysis for one language to infer annotations for the corresponding sentence in another language, helping to reduce the labor and expense of creating treebanks in new languages (Cabezas et al., 2001; Yarowsky and Ngai, 2001).</S><S sid = 123 ssid = >We are also actively developing art alternative alignment model that makes more use of the syntactic structure (Lopez et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


