Citance Number: 1 | Reference Article:  P07-1037.txt | Citing Article:  W07-0702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is a simple way of including syntactic information in a phrase-based model, and has also been suggested by Hassan et al (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This way we directly extend the baseline model described in section 3 with supertags both in the phrase translation table and in the language model.</S><S sid = NA ssid = NA>The lexical entries are syntactic constructs (graphs) that specify information such as POS tag, subcategorization/dependency information and other syntactic constraints at the level of agreement features.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P07-1037.txt | Citing Article:  W08-0326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have previously shown this approach to be very effective for both case and punctuation restoration (Hassan et al, 2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Only quite recently have (Chiang, 2005) and (Marcu et al., 2006) shown that incorporating some form of syntactic structure could show improvements over a baseline PBSMT system.</S><S sid = NA ssid = NA>(Hockenmaier, 2003; Chen et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P07-1037.txt | Citing Article:  C08-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Huang and Knight, 2006) and (Hassan et al, 2007) introduce relabeling and supertagging on the target side, respectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Hockenmaier, 2003; Chen et al., 2006).</S><S sid = NA ssid = NA>Here we test both the LTAG While the research of (Marcu et al., 2006) has and CCG supertaggers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1037.txt | Citing Article:  P10-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Two kinds of supertags, from Lexicalized Tree Adjoining Grammar and Combinatory Categorial Grammar (CCG), have been used as lexical syntactic descriptions (Hassan et al, 2007) for phrase based SMT (Koehn et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two kinds of supertags are employed: those from Lexicalized Tree-Adjoining Grammar and Combinatory Categorial Grammar.</S><S sid = NA ssid = NA>Before we describe how our model extends the baseline, we shortly review the supertagging approaches in Lexicalized Tree-Adjoining Grammar and Combinatory Categorial Grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1037.txt | Citing Article:  W12-4202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Birch et al (2007) and Hassan et al (2007) have shown the effectiveness of adding supertags on the target side, and Avramidis and Koehn (2008) have focused on the source side, translating a morphologically-poor language (English) to a morphologically-rich language (Greek).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Coming right up to date, (Marcu et al., 2006) The bidirectional word alignment is used to obtain demonstrate that ‘syntactified’ target language phrase translation pairs using heuristics presented in phrases can improve translation quality for Chinese– 289 2http://www.fjoch.com/GIZA++.html (Och & Ney, 2003) and (Koehn et al., 2003), and the Moses decoder was used for phrase extraction and decoding.3 Let t and s be the target and source language sentences respectively.</S><S sid = NA ssid = NA>For example, our supertag-enriched target phrases need not be (Koehn et al., 2003) demonstrated that adding syn- generalized into (xRS or any other) rules that work tax actually harmed the quality of their SMT system. with abstract categories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1037.txt | Citing Article:  W12-4202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach is slightly different from (Birch et al, 2007) and (Hassan et al, 2007), who mainly used the supertags on the target language side, English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Coming right up to date, (Marcu et al., 2006) The bidirectional word alignment is used to obtain demonstrate that ‘syntactified’ target language phrase translation pairs using heuristics presented in phrases can improve translation quality for Chinese– 289 2http://www.fjoch.com/GIZA++.html (Och & Ney, 2003) and (Koehn et al., 2003), and the Moses decoder was used for phrase extraction and decoding.3 Let t and s be the target and source language sentences respectively.</S><S sid = NA ssid = NA>(Hockenmaier, 2003; Chen et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1037.txt | Citing Article:  P11-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hassan et al (2007) improve the statistical phrase based MT model by injecting supertags, lexical information such as the POS tag of the word and its subcategorization information, into the phrase table, resulting in generalized phrases with placeholders in them.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The lexical entries consist of syntactic constructs (‘supertags’) that describe information such as the POS tag of the word, its subcategorization information and the hierarchy of phrase categories that the word projects upwards.</S><S sid = NA ssid = NA>The lexical entries are syntactic constructs (graphs) that specify information such as POS tag, subcategorization/dependency information and other syntactic constraints at the level of agreement features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1037.txt | Citing Article:  P11-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hassan et al (2007) and Birch et al (2007) use supertag n-gram LMs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Hockenmaier, 2003; Chen et al., 2006).</S><S sid = NA ssid = NA>Here we test both the LTAG While the research of (Marcu et al., 2006) has and CCG supertaggers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1037.txt | Citing Article:  P10-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This analysis then lets us abstract and encode many local and some nonlocal syntactic structures as complex tags (dynamically, as opposed to the static complex tags as proposed by Birch et al (2007) and Hassan et al (2007)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>POS Tags vs. Supertags A supertag is a complex tag that localizes the dependency and the syntax information from the context, whereas a normal POS tag just describes the general syntactic category of the word without further constraints.</S><S sid = NA ssid = NA>In this experiment we compared the effect of using supertags and POS tags on translation quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1037.txt | Citing Article:  P10-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A similar approach based on supertagging was proposed by Hassan et al (2007). They used both CCG supertags and LTAG supertags in Arabic-to-English phrase-based translation and have reported about 6% relative improvement in BLEU scores.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The LTAG supertag-based system outperforms the baseline by 1.97 BLEU points absolute (or 4.9% relative), while the CCG supertagbased system scores 1.66 BLEU points over the baseline (4.1% relative).</S><S sid = NA ssid = NA>Supertagged Phrase-Based Statistical Machine Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1037.txt | Citing Article:  P12-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hassan et al (2007) noticed that the target side POS sequences could be scored, much as we do in this work.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work, we have presented a novel model of PBSMT which integrates supertags into the target language model and the target side of the translation model.</S><S sid = NA ssid = NA>For example, our supertag-enriched target phrases need not be (Koehn et al., 2003) demonstrated that adding syn- generalized into (xRS or any other) rules that work tax actually harmed the quality of their SMT system. with abstract categories.</S> | Discourse Facet:  NA | Annotator: Automatic


