Citance Number: 1 | Reference Article:  P85-1008.txt | Citing Article:  A88-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Events are represented by event variables, as in [Hobbs, 1985], so that see' (e1, x1, x2) means e1 is a seeing event by x1 of x2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, run(J) means that John ( E J) that running event by John. or running.</S><S sid = NA ssid = NA>Thus, if run(J) means that John runs, run' ( E J) means that E is a running event by John. or John's running.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P85-1008.txt | Citing Article:  P96-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported by NIH Grant LM03611 from the National Library of Medicine, by Grant IST-8209346 from the National Science Foundation, and by a gift from the Systems Development Foundation.</S><S sid = NA ssid = NA>This puzzle survives translation into the logical notation, if John knows of the existence of the Morning Star and if proper are unique.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P85-1008.txt | Citing Article:  W03-2806.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported by NIH Grant LM03611 from the National Library of Medicine, by Grant IST-8209346 from the National Science Foundation, and by a gift from the Systems Development Foundation.</S><S sid = NA ssid = NA>This puzzle survives translation into the logical notation, if John knows of the existence of the Morning Star and if proper are unique.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P85-1008.txt | Citing Article:  P88-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>See Hobbs (1985a) for explanation of this notation for events.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Syntactic explanation: The argument here is easy.</S><S sid = NA ssid = NA>Syntactic explanation: The argument here is easy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P85-1008.txt | Citing Article:  P88-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For justification for this kind of logical form for sentences with quantifiers and intensional operators, see Hobbs (1983) and Hobbs (1985a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I have described a solution to the quantifier problem elsewhere (Hobbs, 1983).</S><S sid = NA ssid = NA>I have described a solution to the quantifier problem elsewhere (Hobbs, 1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P85-1008.txt | Citing Article:  W05-1609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We adopt their idea of an utterance as a description, generated from a communicative goal, and also use an "ontologically promiscuous" formalism for representing meaning [Hobbs, 1985].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S><S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P85-1008.txt | Citing Article:  W05-1609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>[Hobbs, 1985] framework for representing the propositional content (or meaning) of an expression as an ontologically richly sorted, relational structure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Adopting the notation of (2) has the effect of splitting a into its propositional content rtire(E, and assertional claim - E xist( E).</S><S sid = NA ssid = NA>Adopting the notation of (2) has the effect of splitting a sentence into its propositional content - rtire(E, JOHN) and its assertional claim - E xist( E).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P85-1008.txt | Citing Article:  W11-0121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The underlying core theories are expressed as axioms in this notation (Hobbs, 1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Existence in the real world is expressed by predicates, in particular the predicate Exist.</S><S sid = NA ssid = NA>The representation for (the de dicto reading of) sentence (14) is The existence of the Evening Star and the Morning Star is expressed by</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P85-1008.txt | Citing Article:  P97-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we adopt an ONTOLOGICALLY PROMISCUOUS representation (Hobbs, 1985) that includes a wide variety of types of entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S><S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P85-1008.txt | Citing Article:  W07-1431.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Doing inference with representations close to natural language has also been advocated by Jerry Hobbs, as in (Hobbs, 1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Let me close by making some comments about ways of doing semantics.</S><S sid = NA ssid = NA>6 The Role of Semantics Let me close by making some comments about ways of doing Semantics is the attempted specification relation between language and the world.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P85-1008.txt | Citing Article:  W07-1430.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Nevertheless, as (Hobbs, 1985) and others have argued, semantic representations for natural language need not be higher-order in that ontological promiscuity can solve the problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Ontological Promiscuity</S><S sid = NA ssid = NA>This approach might be called 'ontological promiscuity&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P85-1008.txt | Citing Article:  W07-1430.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, as stated in (Hobbs, 1985), we assume that the alleged predicate is existentially opaque in its second argument.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There would be such an axiom for the first argument of believe but not for its referentially opaque second argument.</S><S sid = NA ssid = NA>Rather, it is a condition which is embedded in the opaque predicate It was stated above that the representation (10) for the de dicto reading conveys no properties of S other than that John believes him to be a spy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P85-1008.txt | Citing Article:  A88-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All of the following discussion is based on a model of semantic analysis similar to that proposed in (Hobbs, 1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A similar modification must be made for functions.</S><S sid = NA ssid = NA>A similar approach has been used in many Al systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P85-1008.txt | Citing Article:  W03-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We do not completely rule out the possibility that some more sophisticated, ontologically promiscuous, first-order analysis (perhaps along the lines of (Hobbs, 1985)) might account for these kinds of monotonicity inferences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S><S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P85-1008.txt | Citing Article:  W11-0124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An add-on to ESG converts the parse tree into an LF in the style of Hobbs (1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I have described a solution to the quantifier problem elsewhere (Hobbs, 1983).</S><S sid = NA ssid = NA>I have described a solution to the quantifier problem elsewhere (Hobbs, 1983).</S> | Discourse Facet:  NA | Annotator: Automatic


