Citance Number: 1 | Reference Article:  E03-1020.txt | Citing Article:  W11-1104.txt | Citation Marker Offset:  2182-2217 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  2021-2063 | Citation Text:  Current approaches have used clustering  ... to identify sense-specic subgraphs | Reference Offset:  ['5817-5967'] | Reference Text:  To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |
Citance Number: 7 | Reference Article:  E03-1020.txt | Citing Article:  C04-1194.txt | Citation Marker Offset:  3843-3866 | Citation Marker:  Dorow and Widdows, 2003 | Citation Marker Offset:  3797-3824 | Citation Text: The last trend, explored by ... (Dorow and Widdows, 2003) ... starts from the cooccurrents of a word recorded from a corpus and builds its senses by gathering its cooccurrents according to their similarity or their dissimilarity | Reference Offset:  ['5817-5967'] | Reference Text:  To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 8 | Reference Article:  E03-1020.txt | Citing Article:  C04-1194.txt | Citation Marker Offset:  4919-4956 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  3885-4052 | Citation Text:  This method, as the ones presented in ... (Dorow and Widdows, 2003) ...  relies on the following hypothesis: in the subgraph gathering the cooccurrents of a word, the number of relations between the cooccurrents defining a sense is higher than the number of relations that these cooccurrents have with those defining the other senses of the considered word | Reference Offset:  ['973-1175'] | Reference Text:  The algorithm is based on a graph model representing words and relationships between them. Sense clusters are iteratively computed by clustering the local graph of similar words around an ambiguous word | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 9 | Reference Article:  E03-1020.txt | Citing Article:  C04-1194.txt | Citation Marker Offset:  4975-4998 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  5017-5301 | Citation Text:  As they rely on the detection of high-density areas in a network of cooccurrences ... (Dorow and Widdows, 2003) ... are the closest methods to ours | Reference Offset:  ['15858-16008'] | Reference Text:  Preliminary observations show that the different neighbours in Table 1 can be used to indicate with great accuracy which of the senses is being used | Discourse Facet:  Results_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 10 | Reference Article:  E03-1020.txt | Citing Article:  C04-1194.txt | Citation Marker Offset:  29517-29549 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  29389-29470 | Citation Text:  when the similarity of two words is given by their relation of cooccurrence, our situation is comparable to the one of ... (Dorow and Widdows, 2003) | Reference Offset:  ['3450-3605'] | Reference Text:  we build a graph in which each node represents a noun and two nodes have an edge between them if they co-occur in lists more than a given number of times | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 11 | Reference Article:  E03-1020.txt | Citing Article:  C04-1194.txt | Citation Marker Offset:  29792-29912 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  29493-29516 | Citation Text:  From a global viewpoint, these two differences lead ... (Dorow and Widdows, 2003) ... to build finer senses than ours | Reference Offset:  ['3186-3275'] | Reference Text:  Based on the intuition that nouns which co-occur in a list are often semantically related | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 12 | Reference Article:  E03-1020.txt | Citing Article:  N07-3010.txt | Citation Marker Offset:  12414-12572 | Citation Marker:  2003 | Citation Offset:  12371-12389 | Citation Text:  The methodology of Dorow and Widdows (2003)  was adopted: for the focus word, obtain its graph neighborhood (all vertices that are connected via edges to the focus word vertex and edges between these) | Reference Offset:  ['5817-5967'] | Reference Text:  To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 13 | Reference Article:  E03-1020.txt | Citing Article:  W11-2214.txt | Citation Marker Offset:  2261-2284 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  2023-2224 | Citation Text:  This unsupervised discovery process produces a sense inventory where the number of senses is corpus-driven and where senses may reflect additional usages not present in a predefined sense inventory ... (Dorow and Widdows, 2003) | Reference Offset:  ['10690-10798'] | Reference Text:  The local graph in step 1 consists of w, the ni neighbours of w and the n2 neighbours of the neighbours of w | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 14 | Reference Article:  E03-1020.txt | Citing Article:  W11-2214.txt | Citation Marker Offset:  13732-13870 | Citation Marker:  2003 | Citation Offset:  13672-13681 | Citation Text:  We follow ... Dorow and Widdows (2003) using the sentence as contexts and all words with a dependency path of length 3 or less, with the last word and its relation as a feature | Reference Offset:  ['15408-15540'] | Reference Text:  This gives rise to an automatic, unsupervised word sense disambiguation algorithm which is trained on the data to be disambiguated | Discourse Facet:  Implication_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 15 | Reference Article:  E03-1020.txt | Citing Article:  W06-3812.txt | Citation Marker Offset:  26959-26985 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  26894-26933 | Citation Text:  Similar to the approach as presented in (Dorow and Widdows, 2003)  we construct a word graph. Dorow and Widdows construct a graph for a target word w by taking the sub-graph induced by the neighborhood of w (without w) and clustering it with MCL | Reference Offset:  ['5817-5967', '973-1175'] | Reference Text:  To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen ... The algorithm is based on a graph model representing words and relationships between them. Sense clusters are iteratively computed by clustering the local graph of similar words around an ambiguous word | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


