Citance Number: 1 | Reference Article:  J07-4004.txt | Citing Article:  W09-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Clark and Curran (2007) show that both accurate and highly efficient parsing is possible using a CCG.</S> | Reference Offset:  ['15','30'] | Reference Text:  <S sid = 15 ssid = >We demonstrate that both accurate and highly efficient parsing is possible with CCG.</S><S sid = 30 ssid = >We demonstrate that both accurate and highly efficient parsing is possible with CCG.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Clark and Curran (2007) gives a more precise definition.</S> | Reference Offset:  ['178','796'] | Reference Text:  <S sid = 178 ssid = >Steedman (2000) gives a more precise definition of generalized forward composition.</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We ran the C & C parser using the normal-form model (we reproduced the numbers reported in Clark and Cur ran (2007)), and copied the results of the hybrid model from Clark and Curran (2007), since the hybrid model is not part of the public release.</S> | Reference Offset:  ['621','796'] | Reference Text:  <S sid = 621 ssid = >The accuracy of this hybrid dependency model is given in Table 7.</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The numbers for C & C are for the hybrid model, copied from Clark and Curran (2007).</S> | Reference Offset:  ['621','796'] | Reference Text:  <S sid = 621 ssid = >The accuracy of this hybrid dependency model is given in Table 7.</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J07-4004.txt | Citing Article:  P11-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The numbers for the normal-form model are evaluated by running the publicly available parser, while those for the hybrid dependency model are from Clark and Curran (2007).</S> | Reference Offset:  ['560','796'] | Reference Text:  <S sid = 560 ssid = >For the dependency model, the gold-standard dependency structures are produced by running our CCG parser over the normal-form derivations.</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J07-4004.txt | Citing Article:  D11-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Hockenmaier (2003), we extract the grammar by reading rule instances directly from the derivations in CCGbank (Hockenmaier and Steedman, 2007), rather than defining the combinatory rule schema manually as in Clark and Curran (2007).</S> | Reference Offset:  ['184','233'] | Reference Text:  <S sid = 184 ssid = >This rule can be implemented by assuming the following category schema for a coordination term: (X\X)/X, where X can be any category.</S><S sid = 233 ssid = >Hockenmaier’s parser uses rule instantiations read off CCGbank (see Section 3.3) and some of these will be instances of type-raising and composition; hence the parser can produce non-normal-form derivations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J07-4004.txt | Citing Article:  D11-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When it is reasonable to assume that the input sentence for the grammaticality improvement system is sufficiently fluent, a list of candidate lexical categories can be assigned automatically to each word via super tagging (Clark and Curran, 2007) on the input sequence.</S> | Reference Offset:  ['210','515'] | Reference Text:  <S sid = 210 ssid = >The supertagger uses statistical sequence tagging techniques to assign a small number of lexical categories to each word in the sentence.</S><S sid = 515 ssid = >Curran, Clark, and Vadas (2006) investigate the improvement obtained from using the forward–backward algorithm, and also address the drop in supertagger accuracy when using automatically assigned POS tags.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J07-4004.txt | Citing Article:  D11-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The average number of lexical categories per word drops to 1.3 when equals 0.075, which is the value used for parsing newspaper text in Clark and Curran (2007).</S> | Reference Offset:  ['490','567'] | Reference Text:  <S sid = 490 ssid = >The lexical category set used by the supertagger is described in Clark and Curran (2004a) and Curran, Clark, and Vadas (2006).</S><S sid = 567 ssid = >The average number of categories assigned to each word is determined by the β parameter in the supertagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J07-4004.txt | Citing Article:  D11-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, compared to the 93% lexical category accuracy of a CCG parser (Clark and Curran, 2007), which also uses a level of 0.075 for the majority of sentences, the accuracy of our grammaticality improvement system is much lower.</S> | Reference Offset:  ['647','653'] | Reference Text:  <S sid = 647 ssid = >The penultimate row corresponds to using only one supertagging level with β = 0.075; the parser ignores the sentence if it cannot get an analysis at this level.</S><S sid = 653 ssid = >This suggests that, in order to increase the accuracy of the parser without losing efficiency, the accuracy of the supertagger at the β = 0.075 level needs to be improved, without increasing the number of categories assigned on average.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J07-4004.txt | Citing Article:  W12-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed both corpora using the C & C parser (Clark and Curran, 2007) as we employ both GR and POS information in our learning method.</S> | Reference Offset:  ['509','796'] | Reference Text:  <S sid = 509 ssid = >The table gives results when using gold standard POS tags and, in the final two columns, when using POS tags automatically assigned by the POS tagger described in Curran and Clark (2003).</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J07-4004.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We compare the CCG parser of Clark and Curran (2007) with a state-of-the-art PennTreebank (PTB) parser.</S> | Reference Offset:  ['683','870'] | Reference Text:  <S sid = 683 ssid = >We chose this resource for the following reasons: It is publicly available, allowing other researchers to compare against our results; the GRs making up the annotation share some similarities with the predicate–argument dependencies output by the CCG parser; and we can directly compare our parser against a non-CCG parser, namely the RASP parser—and because we are converting the CCG output into the format used by RASP the CCG parser is not at an unfair advantage.</S><S sid = 870 ssid = >We have demonstrated, using state-of-the-art statistical models, that both accurate and highly efficient parsing is practical with CCG.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J07-4004.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples of this approach include Riezler et al (2002), Miyao and Tsujii (2005), Briscoe and Carroll (2006), and Clark and Curran (2007).</S> | Reference Offset:  ['682','686'] | Reference Text:  <S sid = 682 ssid = >Briscoe and Carroll (2006) describe the differences between the two schemes.</S><S sid = 686 ssid = >The GRs are described in Briscoe (2006), Briscoe and Carroll (2006), and Briscoe, Carroll, and Watson (2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J07-4004.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The formalism-based parser we use is the CCG parser of Clark and Curran (2007), which is based on CCGbank (Hockenmaier and Steedman, 2007), a CCG version of the Penn Treebank.</S> | Reference Offset:  ['19','252'] | Reference Text:  <S sid = 19 ssid = >The lexicalized grammar formalism used is Combinatory Categorial Grammar (CCG), and the grammar is automatically extracted from CCGbank, a CCG version of the Penn Treebank.</S><S sid = 252 ssid = >The treebank is CCGbank (Hockenmaier and Steedman 2002a; Hockenmaier 2003a), a CCG version of the Penn Treebank (Marcus, Santorini, and Marcinkiewicz 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J07-4004.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CCG parser has been extensively evaluated elsewhere (Clark and Curran, 2007), and arguably GRs or predicate-argument structures provide a more suitable test set for the CCG parser than PTB phrase-structure trees.</S> | Reference Offset:  ['254','277'] | Reference Text:  <S sid = 254 ssid = >CCGbank was created by converting the phrase-structure trees in the Penn Treebank into CCG normal-form derivations.</S><S sid = 277 ssid = >We define a CCG dependency structure as a set of CCG predicate–argument dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J07-4004.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since this short paper reports a small, focused research contribution, we refer readers to Clark and Curran (2007) and Petrov and Klein (2007) for details of the two parsers.</S> | Reference Offset:  ['492','796'] | Reference Text:  <S sid = 492 ssid = >The Clark and Curran paper shows this set to have very high coverage on unseen data.</S><S sid = 796 ssid = >11 The results reported in Clark and Curran (2007) differ from those here because Clark and Curran used the normal-form model and Viterbi decoder.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J07-4004.txt | Citing Article:  P09-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The schemas were developed by manual inspection using section 00 of CCGbank and the PTB as a development set, following the oracle methodology of Clark and Curran (2007), in which gold standard derivations from CCGbank are converted to the new representation and compared with the gold standard for that representation.</S> | Reference Offset:  ['317','558'] | Reference Text:  <S sid = 317 ssid = >The feature set is derived from the gold-standard normal-form derivations in CCGbank.</S><S sid = 558 ssid = >All of these were set experimentally using Section 00 as development data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J07-4004.txt | Citing Article:  N10-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While high quality syntactic parsers are able to efficiently annotate large quantities of English text (Clark and Curran, 2007), existing approaches to query do not work on the same scale.</S> | Reference Offset:  ['666','830'] | Reference Text:  <S sid = 666 ssid = >There is some existing work comparing parser performance across formalisms.</S><S sid = 830 ssid = >The novel idea in Clark, Steedman, and Curran was to create new training data from questions, but to annotate at the lexical category level only, rather than annotate with full derivations.</S> | Discourse Facet:  NA | Annotator: Automatic


