Citance Number: 1 | Reference Article:  P83-1021.txt | Citing Article:  P85-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >such as Earley deduction, to coestruct a parser, a.s shown in Pereira and Warren (1983).</S> | Reference Offset:  ['4','153'] | Reference Text:  <S sid = 4 ssid = >The connection between parsing and deduction was developed further in the design of the Earley Deduction proof procedure (Warren, 1975), which will also be discussed at length here.</S><S sid = 153 ssid = >1983).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P83-1021.txt | Citing Article:  H05-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The "parsing as deduction" framework (Pereira and Warren, 1983) is now over 20 years old.</S> | Reference Offset:  ['0','153'] | Reference Text:  <S sid = 0 ssid = >Parsing As Deduction</S><S sid = 153 ssid = >1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P83-1021.txt | Citing Article:  P95-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >But if we use existing techniques for parsing DCGs, then we are also confronted with an undecidability problem: the recognition problem for DCGs is undecidable (Pereira and Warren, 1983).</S> | Reference Offset:  ['146','153'] | Reference Text:  <S sid = 146 ssid = >This result can be adapted easily to DCGs, showing that the parsing problem for offline-parsable DCGs is decidable.</S><S sid = 153 ssid = >1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P83-1021.txt | Citing Article:  P89-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, we developed an architecture inspired by the Earley deduction work of Pereira and Warren (1983) but which generalized that work allowing for its use in both a parsing and generation mode merely by setting the values of a small number of parameters.</S> | Reference Offset:  ['4','41'] | Reference Text:  <S sid = 4 ssid = >The connection between parsing and deduction was developed further in the design of the Earley Deduction proof procedure (Warren, 1975), which will also be discussed at length here.</S><S sid = 41 ssid = >The Earley context-free parsing algorithm. although independently developed, can be seen as a particular case of chart parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P83-1021.txt | Citing Article:  P89-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is exactly this mismatch between structure of the traversal and Pereira and Warren (1983) point out that Earley deduction is not restricted to a left-to-right expansion of goals, but this suggestion was not followed up with a specific a lgorithm addressing the problems discussed here.</S> | Reference Offset:  ['4','153'] | Reference Text:  <S sid = 4 ssid = >The connection between parsing and deduction was developed further in the design of the Earley Deduction proof procedure (Warren, 1975), which will also be discussed at length here.</S><S sid = 153 ssid = >1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P83-1021.txt | Citing Article:  C00-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parsing-as-deduction approach proposed in Pereira and Warren (1983) and exlended in Shieber et al (1995) and the parsing schemaladetincd in Sikkel (1997) are well established parsing paradigms in computalional linguistics.</S> | Reference Offset:  ['0','169'] | Reference Text:  <S sid = 0 ssid = >Parsing As Deduction</S><S sid = 169 ssid = >We have outlined an approach to the problems of parsing unification-based grammar formalisms that builds on the relationship between parsing and definite-clause deduction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P83-1021.txt | Citing Article:  C02-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the first definitions was suggested by Pereira and Warren (1983).</S> | Reference Offset:  ['11','153'] | Reference Text:  <S sid = 11 ssid = >The simplest of these formalisms is definite-clause grammars (DCG) (Pereira and Warren, 1980).</S><S sid = 153 ssid = >1983).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P83-1021.txt | Citing Article:  P88-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['53','172'] | Reference Text:  <S sid = 53 ssid = >Chart-parsing procedures start with a chart containing the passive edges for the input string.</S><S sid = 172 ssid = >We would like to thank Barbara Grosz and Stan Rosenschein for their comments on earlier versions of this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P83-1021.txt | Citing Article:  E91-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pereira and Warren (1983) and Shieber (1985) present versions of Earley's algorithm for unification grammars, in which unification is the sole operation responsible for attribute valuation.</S> | Reference Offset:  ['12','153'] | Reference Text:  <S sid = 12 ssid = >There is a close relationship between DCGs and other grammar formalisms based on unification. such as Unification Grammar (UG) (Kay, 1979), LFG, PATR-2 (Shieber.</S><S sid = 153 ssid = >1983).</S> | Discourse Facet:  NA | Annotator: Automatic


