Citance Number: 1 | Reference Article:  J01-3001.txt | Citing Article:  W02-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Wilks (2001) presented a classifier combination framework where disambiguation methods (simulated annealing, subject codes and selectional restrictions) were combined using the TiMBL memory-based approach (Daelemans et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm we chose was the TiMBL memory-based learning algorithm (Daelemans et al. 1999).</S><S sid = NA ssid = NA>We can see that the partial taggers that are most effective are those based on the simulated annealing algorithm and Yarowsky's subject code approach.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J01-3001.txt | Citing Article:  C04-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Any errors are our own.</S><S sid = NA ssid = NA>The relative performance of the baseline method (choosing the first sense) compared to the reported algorithm (removing homographs using part-of-speech tags) are shown in the rightmost two columns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J01-3001.txt | Citing Article:  W02-0814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is also shown by Stevenson and Wilks (2001), who used the Longman Dictionary of Contemporary English (LDOCE) as sense inventory.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The experiments described in this section use the Longman Dictionary of Contemporary English (LDOCE) (Procter 1978).</S><S sid = NA ssid = NA>Others, such as Harley and Glennon (1997) and ourselves Wilks and Stevenson (1998a, 1998b; Stevenson and Wilks 1999), have concentrated on approaches that disambiguate all content words.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J01-3001.txt | Citing Article:  W07-2061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Any errors are our own.</S><S sid = NA ssid = NA>The relative performance of the baseline method (choosing the first sense) compared to the reported algorithm (removing homographs using part-of-speech tags) are shown in the rightmost two columns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J01-3001.txt | Citing Article:  W08-0611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, there has been no direct comparison of which knowledge sources are the most useful or whether combining a variety of knowledge sources, a strategy which has been shown to be successful for WSD in the general domain (Stevenson and Wilks, 2001), improves results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The knowledge sources are combined by adding their results.</S><S sid = NA ssid = NA>Combining knowledge sources for WSD is not a new idea; in this section we will review some of the systems which have tried to do that.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J01-3001.txt | Citing Article:  W04-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Any errors are our own.</S><S sid = NA ssid = NA>The relative performance of the baseline method (choosing the first sense) compared to the reported algorithm (removing homographs using part-of-speech tags) are shown in the rightmost two columns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J01-3001.txt | Citing Article:  P07-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the hybrid approaches that have been explored so far, deep knowledge, like selectional preferences, is either pre-processed into a vector representation to accommodate machine learning algorithms, or used in previous steps to filter out possible senses e.g. (Stevenson and Wilks, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Word senses are presented to TiMBL in a feature-vector representation, with each sense which was not removed by the part of speech filter being represented by a separate vector.</S><S sid = NA ssid = NA>Our next partial tagger returns the set of senses for each word that is licensed by selectional preferences (in the sense of Wilks 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J01-3001.txt | Citing Article:  W07-2076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We refer to this method as stacking, and it has been previously used to integrate heterogeneous knowledge sources for WSD (Stevenson and Wilks, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each of these knowledge sources has been used for WSD and in Section 3 we describe a method which performs rough-grained disambiguation using part-of-speech information.</S><S sid = NA ssid = NA>For example, one of the homographs of bank means Stevenson and Wilks Interaction of Knowledge Sources in WSD bankl n 1 land along the side of a river, lake, etc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J01-3001.txt | Citing Article:  W02-0809.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>POS tags of the focus word itself are also included, to aid sense disambiguations related to syntactic differences (Stevenson and Wilks, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Others, such as Harley and Glennon (1997) and ourselves Wilks and Stevenson (1998a, 1998b; Stevenson and Wilks 1999), have concentrated on approaches that disambiguate all content words.'</S><S sid = NA ssid = NA>Disambiguation makes use of several knowledge sources: frequency information, syntactic tags, morphological information, semantic context (clusters), collocations and word associations, role-related expectations, and selectional restrictions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J01-3001.txt | Citing Article:  W04-0839.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Prior research (e.g., (McRoy, 1992), (Ng and Lee, 1996), (Stevenson and Wilks, 2001), (Yarowsky and Florian, 2002)) suggests that use of both syntactic and lexical features will improve disambiguation accuracies.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Both Ng and Lee (1996) and Yarowsky (1993) reported some results in the area.</S><S sid = NA ssid = NA>Ng and Lee (1996) explored an approach to WSD in which a word is assigned the sense of the most similar example already seen.</S> | Discourse Facet:  NA | Annotator: Automatic


