Citance Number: 1 | Reference Article:  J90-1004.txt | Citing Article:  P14-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Shieber et al., 1990) introduces a head-driven algorithm for generating from logical forms.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J90-1004.txt | Citing Article:  C94-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the phrase structure tree rooted with, there is no leaf which would fulfill the definition of a semantic head given in [Shieber et al, 1990] or [van Noord, 1993].</S> | Reference Offset:  ['173','325'] | Reference Text:  <S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S><S sid = 325 ssid = >Second, one of us (van Noord 1989b) has developed a general proof procedure for Horn clauses that can serve as a skeleton for both a semantic-head-driven generator and a left-corner parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J90-1004.txt | Citing Article:  E95-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Shieber et al (1990) show that a top-down evaluation strategy will fail for rules such as vP-*vp x, irrespective of the order of evaluation of the right-hand side categories in the rule.</S> | Reference Offset:  ['73','201'] | Reference Text:  <S sid = 73 ssid = >Since the NP is not connected in this sense, but the VP is, the latter will be expanded first.</S><S sid = 201 ssid = >First, the order of processing is not left-to-right.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J90-1004.txt | Citing Article:  W98-1422.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is important to compare the generation strategy presented here with Semantic-head-driven generation [Shieber et al 1990, van Noord 1990] which is a direct generation algorithm from logical form encodings.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J90-1004.txt | Citing Article:  E93-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Unlike deduction-based approaches to natural language generation in computational linguistics (e.g., Shieber et al 1990),.</S> | Reference Offset:  ['53','173'] | Reference Text:  <S sid = 53 ssid = >For example, consider a grammar that includes the rules Computational Linguistics Volume 16, Number 1, March 1990 31 Shieber et at.</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J90-1004.txt | Citing Article:  W01-0812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algorithm in fact follows a head-driven node expansion, or search through the grammar, (as in Shieber et al, 1990), with the head of the most recently expanded node being selected for the next expansion (in step 2 of the algorithm above), until a leaf node is produced.</S> | Reference Offset:  ['0','228'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 228 ssid = >The next pivot node is node [j], where rule (9) is applied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J90-1004.txt | Citing Article:  W07-1806.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Regular feature grammars can also be compiled into generators using a version of the Semantic Head Driven algorithm (Shieber et al, 1990).</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J90-1004.txt | Citing Article:  P01-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this sense, it is not unlike (Shieber et al, 1990)'s semantic-head-driven generation.</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J90-1004.txt | Citing Article:  P01-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As shown in detail in (Shieber et al, 1990), top down generators can fail to terminate on certain grammars because they lack the lexical information necessary for their well-foundedness.</S> | Reference Offset:  ['13','93'] | Reference Text:  <S sid = 13 ssid = >In particular, generation from grammars with recursions whose well-foundedness relies on lexical information will terminate; top-down generation regimes such as those of Wedekind (1988) or Dymetman and Isabelle (1988) lack this property; further discussion can be found in Section 2.1.</S><S sid = 93 ssid = >However, the compiler will not generate a program that generates top-down, as Strzalkowski's does. helpen voeren help feed In summary, top-down generation algorithms, even if controlled by the instantiation status of goals, can fail to terminate on certain grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J90-1004.txt | Citing Article:  C08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The transformation is straightforward to define in its general form, and the transformed grammars can be readily compiled into efficient generators by standard feature grammar generator-compiler algorithms like Semantic Head-Driven Generation (Shieber et al, 1990).</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J90-1004.txt | Citing Article:  W03-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One standard approach to sentence generation from predicate/argument structure (like the semantic-head-driven generation in (Shieber et al., 1990)) involves a simple algorithm.</S> | Reference Offset:  ['0','119'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 119 ssid = >Thus, for generation, we want a traversal order geared to the premise of the generation problem, that is, to the semantic structure of the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J90-1004.txt | Citing Article:  W02-0216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our general method is to take as inputs to the process various communicative goals of the system, expressed as logical forms, and use them to construct a single new logical form to be input to Gemini's Semantic Head-Driven Generation algorithm (Shieber et al, 1990), which produces strings for Festival speech synthesis.</S> | Reference Offset:  ['0','245'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 245 ssid = >For example, suppose a grammar associated the following strings and logical forms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J90-1004.txt | Citing Article:  W02-0216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The end result of our selection and aggregation module (see section 6.2) is a fully specified logical form which is to be sent to the Semantic-Head Driven Generation component of Gemini (Shieber et al, 1990).</S> | Reference Offset:  ['0','18'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 18 ssid = >We will mention efforts toward this end in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J90-1004.txt | Citing Article:  P91-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['115','339'] | Reference Text:  <S sid = 115 ssid = >From this point of view, a naive top-down parser or generator performs a depth-first, left-to-right traversal of the tree.</S><S sid = 339 ssid = >We would like to thank Mary Dalrymple and Louis des Tombe for their helpful discussions regarding this work, the Artificial Intelligence Center for their support of the research, and the participants in the MiMo2 project, a research machine translation project of some members of Eurotra-Utrecht.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J90-1004.txt | Citing Article:  P96-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given an off-line optimization of the order in which the right-hand side categories in the rules of a logic grammar are processed (Minnen et al., 1996) the resulting processing behavior can be considered a generalization of the head corner generation approach (Shieber et al, 1990).</S> | Reference Offset:  ['173','201'] | Reference Text:  <S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S><S sid = 201 ssid = >First, the order of processing is not left-to-right.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J90-1004.txt | Citing Article:  P96-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In generation, examples of such extended processing strategies are head corner generation with its semantic linking (Shieber et al, 1990) or bottom-up (Earley) generation with a semantic filter (Shieber, 1988).</S> | Reference Offset:  ['0','101'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 101 ssid = >As stated in the original Earley generation paper (Shieber 1988), &quot;perhaps the most immediate problem raised by [Earley generation] is the strong requirement of semantic monotonicity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J90-1004.txt | Citing Article:  P96-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Generation with the resulting grammar can be compared best with head corner generation (Shieber et al, 1990).</S> | Reference Offset:  ['0','173'] | Reference Text:  <S sid = 0 ssid = >Semantic-Head-Driven Generation</S><S sid = 173 ssid = >The analysis tree that we will be implicitly traversing in the course of generation is given Computational Linguistics Volume 16, Number 1, March 1990 35 Shieber et al. Semantic Head-Driven Grammar in Figure 4.</S> | Discourse Facet:  NA | Annotator: Automatic


