Citance Number: 1 | Reference Article:  P95-1021.txt | Citing Article:  E99-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this section we consider two existing grammars: the XTAG grammar, a wide coverage LTAG, and the LEXSYS grammar, a wide coverage D-Tree Substitution Grammar (Rambow et al, 1995).</S> | Reference Offset:  ['3','75'] | Reference Text:  <S sid = 3 ssid = >We define a new grammar formalism, called D-Tree arises from work on Tree- Adjoining Grammars (TAG) (Joshi et al., 1975).</S><S sid = 75 ssid = >We define a new grammar formalism, called D-Tree Grammars (DTG), which arises from work on TreeAdjoining Grammars (TAG) (Joshi et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P95-1021.txt | Citing Article:  C02-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chiang's model adds a third composition operation called sister-ad junction (see Figure 3), borrowed from D-tree substitution grammar (Rambow et al, 1995).</S> | Reference Offset:  ['70','157'] | Reference Text:  <S sid = 70 ssid = >The second composition operation involving dtrees is called sister-adjunction.</S><S sid = 157 ssid = >The second composition operation involving dtrees is called sister-adjunction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P95-1021.txt | Citing Article:  W02-0111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Variants of TAG like TIG (Schabes and Waters, 1995) or D-Tree grammars (Rambow et al, 1995) are motivated by linguistic or formal considerations rather than pedagogical or computational ones.</S> | Reference Offset:  ['0','75'] | Reference Text:  <S sid = 0 ssid = >D-Tree Grammars</S><S sid = 75 ssid = >We define a new grammar formalism, called D-Tree Grammars (DTG), which arises from work on TreeAdjoining Grammars (TAG) (Joshi et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P95-1021.txt | Citing Article:  P00-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other formalisms aiming to model dependency correctly similarly expand weak generative capacity, notably D-tree Substitution Grammar (Rambow et al, 1995), and consequently end up with much greater parsing complexity.</S> | Reference Offset:  ['3','7'] | Reference Text:  <S sid = 3 ssid = >We define a new grammar formalism, called D-Tree arises from work on Tree- Adjoining Grammars (TAG) (Joshi et al., 1975).</S><S sid = 7 ssid = >In addition, remain tractable, yet their generative capacity is sufficient to account for certain syntactic phenomena that, it has been argued, lie beyond Context-Free Grammars (CFG) (Shieber, 1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P95-1021.txt | Citing Article:  P00-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consider the case of sentences which contain both bridge and raising verbs, noted by Rambow et al (1995).</S> | Reference Offset:  ['63','165'] | Reference Text:  <S sid = 63 ssid = >For example, consider the d-trees a and shown in Figure 3.</S><S sid = 165 ssid = >Consider a DTG G = (VN, VT S D).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P95-1021.txt | Citing Article:  P00-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A more recent instance is D-Tree Substitution Grammars (DSG) (Rambow et al, 1995), where the derivations are also interpreted as dependency relations.</S> | Reference Offset:  ['0','75'] | Reference Text:  <S sid = 0 ssid = >D-Tree Grammars</S><S sid = 75 ssid = >We define a new grammar formalism, called D-Tree Grammars (DTG), which arises from work on TreeAdjoining Grammars (TAG) (Joshi et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P95-1021.txt | Citing Article:  P01-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >D-Tree Grammar (DTG) is proposed in (Rambow et al, 1995) to remedy some empirical and theoretical shortcomings of TAG; Tree Description Grammar (TDG) is introduce din (Kallmeyer, 1999) to support syntactic and semantic underspecification and Interaction Grammar is presented in (Perrier, 2000) as an alternative way of formulating linear logic grammars.</S> | Reference Offset:  ['3','75'] | Reference Text:  <S sid = 3 ssid = >We define a new grammar formalism, called D-Tree arises from work on Tree- Adjoining Grammars (TAG) (Joshi et al., 1975).</S><S sid = 75 ssid = >We define a new grammar formalism, called D-Tree Grammars (DTG), which arises from work on TreeAdjoining Grammars (TAG) (Joshi et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


