Citance Number: 1 | Reference Article:  W05-0625.txt | Citing Article:  H05-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Its architecture is based on the top system in the 2005 CoNLL shared task (Koomen et al, 2005), modified to process raw text using lower level processors but maintaining 6 good real time performance.</S> | Reference Offset:  ['6','33'] | Reference Text:  <S sid = 6 ssid = >Significant improvement in overall SRL performance through this inference is illustrated.</S><S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W05-0625.txt | Citing Article:  P10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Koomen et al (2005) adopted the outputs of multiple SRL systems (each on a single parse tree) and combined them into a coherent predicate argument output by solving an optimization problem.</S> | Reference Offset:  ['5','13'] | Reference Text:  <S sid = 5 ssid = >The inference provides a natural way to take the output of multiple argument classifiers and combines them into a coherent predicate-argument output.</S><S sid = 13 ssid = >The inference stage can take as its input the output of the argument classification of a single system or of multiple systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W05-0625.txt | Citing Article:  C10-1153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Basedon that work, Koomen et al (2005) combined several SRL outputs using ILP method.</S> | Reference Offset:  ['33','51'] | Reference Text:  <S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S><S sid = 51 ssid = >Together we have six different outputs per predicate.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W05-0625.txt | Citing Article:  H05-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other hand, probabilistic inference processes, which have been successfully used for SRL (Koomen et al, 2005), mandate that each individual candidate argument be associated with its raw activation, or confidence, in the given model.</S> | Reference Offset:  ['44','57'] | Reference Text:  <S sid = 44 ssid = >For the systems that do not output for any candidate, we assign the probability with a prior to this phantom candidate.</S><S sid = 57 ssid = >Softmax function (Bishop, 1995) is used to convert raw activation to conditional probabilities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W05-0625.txt | Citing Article:  H05-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Koomen et al (2005) used a 2 layer architecture similar to ours.</S> | Reference Offset:  ['31','33'] | Reference Text:  <S sid = 31 ssid = >The features used here are the same as those used in the argument identification stage with the following additional features.</S><S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W05-0625.txt | Citing Article:  D10-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Koomen et al (2005) combined several SRL outputs using ILP method.</S> | Reference Offset:  ['33','51'] | Reference Text:  <S sid = 33 ssid = >We use the inference process introduced by (Punyakanok et al., 2004).</S><S sid = 51 ssid = >Together we have six different outputs per predicate.</S> | Discourse Facet:  NA | Annotator: Automatic


