Citance Number: 1 | Reference Article:  J03-3002.txt | Citing Article:  P04-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Approaches such as harvesting parallel corpora from the web (Resnik and Smith, 2003) address the creation of data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We plan to address this in future work.</S><S sid = NA ssid = NA>Smith (2002) suggested a bootstrapping paradigm for the construction of parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J03-3002.txt | Citing Article:  C10-2034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most existing studies, such as Nie (1999), Resnik and Smith (2003) and Shi (2006), mine parallel web documents within bilingual web sites first and then extract bilingual sentences from mined parallel documents using sentence alignment method.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Within such sites, it would likely be profitable to look for parallel documents in the full cross product of documents in the two languages of interest, obtained both on the Internet Archive and via crawling all pages on relevant sites.</S><S sid = NA ssid = NA>The Web As A Parallel Corpus</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J03-3002.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik and Smith (2003) exploit the similarities in URL structure, document structure and other clues for mining the Web for parallel documents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We do not attempt to exploit nonlinear structure (e.g., embedded chunks), for two reasons.</S><S sid = NA ssid = NA>All these considerations motivate an approach to matching translations that pays attention to similarity of content, whether or not similarities of structure exist.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J03-3002.txt | Citing Article:  W06-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Earlier work on corpus collection from the web (e.g. (Resnik and Smith, 2003)) gave some hope that reasonably large quantities of parallel text could be found on the web, so that a bitext collection could be built for interesting language pairs(with one member of the pair usually being English) relatively cheaply.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Web As A Parallel Corpus</S><S sid = NA ssid = NA>Very large Web-based parallel text collections are not available to the community.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J03-3002.txt | Citing Article:  W11-1214.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At the other end of the spectrum, Resnik and Smith (2003) search the Web to detect web pages that are translations of each other.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Its goal is to identify pairs of Web pages that are mutual translations.</S><S sid = NA ssid = NA>We consider each of these steps in turn. using the AltaVista search engine’s (http://www.av.com) advanced search to search for two types of Web pages: parents and siblings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J03-3002.txt | Citing Article:  N07-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik and Smith (2003) use a similar idea of candidates and filters in their STRAND system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>STRAND therefore locates pages that might be translations of each other, via a number of different strategies, and filters out page pairs whose page structures diverge by too much.</S><S sid = NA ssid = NA>A modified version of STRAND was used to obtain English-Chinese pairs (see related work, below), and in a similar formal evaluation, we found that the resulting set had 98% precision and 61% recall for Chinese (http://umiacs.umd.edu/—resnik/strand/).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J03-3002.txt | Citing Article:  W05-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These approaches are in essence a combination of the usage of lexico-syntactic pattens conveying a certain relation of interest such as in (Hearst, 1992), (Charniak and Berland, 1999), (Iwanska et al, 2000) or (Poesio et al, 2002) with the idea of using the web as a big corpus (Resnik and Smith, 2003), (Grefenstette, 1999), (Keller et al, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, researchers at Johns Hopkins University and the University of Maryland have been exploring new ways to exploit parallel corpora in order to develop monolingual resources and tools, using a process of annotation, projection, and training: Given a parallel corpus in English and a less resource-rich language, we project English annotations across the parallel corpus to the second language, using word-level alignments as the bridge, and then use robust statistical techniques in learning from the resulting noisy annotations (Cabezas, Dorr, and Resnik 2001; Diab and Resnik 2002; Hwa et al. 2002; Lopez et al.</S><S sid = NA ssid = NA>The choice and wording of the ratings criteria were derived from the human evaluation measures proposed by Dabbadie et al. (2002), with the wording of the translation assessment criterion modified to eliminate references to the direction of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J03-3002.txt | Citing Article:  W07-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>STRAND (Resnik and Smith, 2003) is a system that acquires document pairs in parallel translation automatically from the Web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Web As A Parallel Corpus</S><S sid = NA ssid = NA>As of this writing, the STRAND Web site (http://umiacs.umd.edu/∼resnik/strand/), presenting URL pairs discovered via STRAND runs, contains collections only for English-French, English-Chinese, EnglishBasque, and now English-Arabic, and we are not aware of any other efforts to disseminate Web-based parallel data publicly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J03-3002.txt | Citing Article:  P06-4002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to its significant growth, the WWW has become an attractive database for different systems applications as, machine translation (Resnik and Smith, 2003), question answering (Kwok et al, 2001), commonsense retrieval (Matuszek et al, 2005), and so forth.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, researchers at Johns Hopkins University and the University of Maryland have been exploring new ways to exploit parallel corpora in order to develop monolingual resources and tools, using a process of annotation, projection, and training: Given a parallel corpus in English and a less resource-rich language, we project English annotations across the parallel corpus to the second language, using word-level alignments as the bridge, and then use robust statistical techniques in learning from the resulting noisy annotations (Cabezas, Dorr, and Resnik 2001; Diab and Resnik 2002; Hwa et al. 2002; Lopez et al.</S><S sid = NA ssid = NA>The choice and wording of the ratings criteria were derived from the human evaluation measures proposed by Dabbadie et al. (2002), with the wording of the translation assessment criterion modified to eliminate references to the direction of translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J03-3002.txt | Citing Article:  C08-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another approach to retrieving relevant documents involves the collection of relevant document URLs from the WWW (Resnik and Smith, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Within such sites, it would likely be profitable to look for parallel documents in the full cross product of documents in the two languages of interest, obtained both on the Internet Archive and via crawling all pages on relevant sites.</S><S sid = NA ssid = NA>A solution to this problem might be to extract topically relevant subsets of the collection for particular domains or applications, but of course this requires a “more is better” approach in order to obtain subsets that are large enough to be useful.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J03-3002.txt | Citing Article:  W11-1212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is for instance the case of PTMINER (Chen and Nie, 2000) and STRAND (Resnik and Smith, 2003), two systems that are intended to mine parallel documents over the Web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Chen and Nie’s (2000) PTMiner represents one solution, a carefully thought-out architecture for mining on a large scale.</S><S sid = NA ssid = NA>Similarly, Nie and Cai (2001) have demonstrated improved cross-language IR results for English and Chinese using data gathered by the PTMiner system (Chen and Nie 2000), a related approach that we discuss in Section 2.3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J03-3002.txt | Citing Article:  N06-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik and Smith (2003) develop a method for gathering parallel corpora from the web.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Smith (2002) suggested a bootstrapping paradigm for the construction of parallel corpora.</S><S sid = NA ssid = NA>The Web As A Parallel Corpus</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J03-3002.txt | Citing Article:  P06-1127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik and Smith (2003) employ the Web as parallel corpora to provide bilingual sentences for translation models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Smith (2002) suggested a bootstrapping paradigm for the construction of parallel corpora.</S><S sid = NA ssid = NA>The Web As A Parallel Corpus</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J03-3002.txt | Citing Article:  W11-1210.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Resnik and Smith, 2003) show that parallel corpora for a variety of languages can be harvested on the Internet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Too few languages.</S><S sid = NA ssid = NA>Smith (2002) suggested a bootstrapping paradigm for the construction of parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J03-3002.txt | Citing Article:  N07-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Resnik and Smith (2003) extract bilingual sentences from the Web to create parallel corpora for machine translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Parallel corpora—bodies of text in parallel translation, also known as bitexts—have taken on an important role in machine translation and multilingual natural language processing.</S><S sid = NA ssid = NA>This article describes our techniques for mining the Web in order to extract the parallel text it contains.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J03-3002.txt | Citing Article:  P13-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Starting from nothing other than a set of language codes, our extension of the STRAND algorithm (Resnik and Smith,2003) identifies potentially parallel documents using cues from URLs and document content.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this article, we report on our work using the STRAND system for mining parallel text on the World Wide Web,first reviewing the original algorithm and results and then presenting a set of significant enhancements.</S><S sid = NA ssid = NA>In this article, we report on our work using the STRAND system for mining parallel text on the World Wide Web,first reviewing the original algorithm and results and then presenting a set of significant enhancements.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J03-3002.txt | Citing Article:  P13-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our system is based on the STRAND algorithm (Resnik and Smith, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As of this writing, the STRAND Web site (http://umiacs.umd.edu/∼resnik/strand/), presenting URL pairs discovered via STRAND runs, contains collections only for English-French, English-Chinese, EnglishBasque, and now English-Arabic, and we are not aware of any other efforts to disseminate Web-based parallel data publicly.</S><S sid = NA ssid = NA>It presents, in revised and considerably extended form, our early work on mining the Web for bilingual text (STRAND) (Resnik 1998, 1999), incorporating new work on content-based detection of translations (Smith 2001, 2002), and efficient exploitation of the Internet Archive.</S> | Discourse Facet:  NA | Annotator: Automatic


