Citance Number: 1 | Reference Article:  D07-1111.txt | Citing Article:  W07-2220.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This technique, first proposed by Sagae and Lavie (2006), was used in the highest scoring system in both the multilingual track (Hall et al, 2007a) and the domain adaptation track (Sagae and Tsujii, 2007).</S> | Reference Offset:  ['16','20'] | Reference Text:  <S sid = 16 ssid = >1044 task (Nivre et al, 2007), which differed from the 2006 edition by featuring two separate tracks, one in multilingual parsing, and a new track on domain adaptation for dependency parsers.</S><S sid = 20 ssid = >Our system?s accuracy was the highest in the domain adaptation track (with labeled attachment score of 81.06%), and only 0.43% below the top scoring system in the multilingual parsing track (our average labeled attachment score over the ten languages was 79.89%).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  D07-1111.txt | Citing Article:  W09-1403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As far as pre-processing is concerned, we imported the sentence splitting, tokenization and GDep parsing results (Sagae and Tsujii, 2007) as prepared by the shared task organizers for all data sets (training, development and test).</S> | Reference Offset:  ['66','137'] | Reference Text:  <S sid = 66 ssid = >For each of the ten languages for which training data was provided in the multilingual track of the CoNLL 2007 shared task, we trained three LR models as follows.</S><S sid = 137 ssid = >Acknowledgements We thank the shared task organizers and treebank providers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  D07-1111.txt | Citing Article:  P13-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This approach is similar to the one used in (Sagae and Tsujii, 2007), which achieved the highest scores in the domain adaptation track of the CoNLL 2007 shared task (Nivre et al, 2007).</S> | Reference Offset:  ['16','104'] | Reference Text:  <S sid = 16 ssid = >1044 task (Nivre et al, 2007), which differed from the 2006 edition by featuring two separate tracks, one in multilingual parsing, and a new track on domain adaptation for dependency parsers.</S><S sid = 104 ssid = >See (Nivre et al, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D07-1111.txt | Citing Article:  W09-1417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parse trees were produced by the GDep parser (Sagae and Tsujii, 2007) and supplied by the challenge organisers.</S> | Reference Offset:  ['14','95'] | Reference Text:  <S sid = 14 ssid = >We entered a system based on the approach de scribed in this paper in the CoNLL 2007 shared trees.</S><S sid = 95 ssid = >We then used each of the models to parse the.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D07-1111.txt | Citing Article:  D10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While the TURKU system exploits the Stanford dependencies from the McClosky-Charniak parser (Charniak and Johnson, 2005), and the JULIELab system uses the CoNLL-like dependencies from the GDep parser (Sagae and Tsujii, 2007), the TOKYO system overlays the Shared Task data with two parsing representations, viz. Enju PAS structure (Miyao and Tsujii, 2002) and GDep parser dependencies.</S> | Reference Offset:  ['66','123'] | Reference Text:  <S sid = 66 ssid = >For each of the ten languages for which training data was provided in the multilingual track of the CoNLL 2007 shared task, we trained three LR models as follows.</S><S sid = 123 ssid = >The likely reason for this difference is that over 80% of the dependencies in the Turkish data set have the head to the right of 1048 the dependent, while only less than 4% have the head to the left.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D07-1111.txt | Citing Article:  D10-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >GDep (Sagae and Tsujii, 2007), a native dependency parser.</S> | Reference Offset:  ['0','32'] | Reference Text:  <S sid = 0 ssid = >Dependency Parsing and Domain Adaptation with LR Models and Parser Ensembles</S><S sid = 32 ssid = >We then show how we extend the deterministic parser into a best first probabilistic parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D07-1111.txt | Citing Article:  P08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','139'] | Reference Text:  <S sid = 43 ssid = >In addi tion to deciding the direction of a reduce action, the label of the newly formed dependency arc must also be decided.</S><S sid = 139 ssid = >This work was supported in part by Grant-in-Aid for Specially Promoted Re search 18002007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D07-1111.txt | Citing Article:  P12-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Tsujii (2007) used the co-training technique to improve performance.</S> | Reference Offset:  ['11','22'] | Reference Text:  <S sid = 11 ssid = >ensemble approach proposed by Sagae and Lavie (2006a) can be used to improve parsing accuracy, even when only a single parsing algorithm is used, as long as variation can be ob tained, for example, by using different learning techniques or changing parsing direction from forward to backward (of course, even greater gains may be achieved when different algo rithms are used, although this is not pursued here); and, finally, 4.</S><S sid = 22 ssid = >We then provide an analysis of the results obtained with our system, and discuss possible improve ments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D07-1111.txt | Citing Article:  D09-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Tsujii (2007) presented an co training approach for dependency parsing adaptation.</S> | Reference Offset:  ['0','21'] | Reference Text:  <S sid = 0 ssid = >Dependency Parsing and Domain Adaptation with LR Models and Parser Ensembles</S><S sid = 21 ssid = >We first describe our approach to multilingual dependency parsing, fol lowed by our approach for domain adaptation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D07-1111.txt | Citing Article:  D12-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dependency parsing has been performed with the GENIA dependency parser GDep (Sagae and Tsujii, 2007), which uses a best-first probabilistic shift reduce algorithm based on the LR algorithm (Knuth, 1965) and extended by the pseudo-projective parsing technique.</S> | Reference Offset:  ['9','23'] | Reference Text:  <S sid = 9 ssid = >commonly been performed using parsing algo 1 Stepwise parsing considers each step in a parsing algo rithm separately, while all-pairs parsing considers entire rithms designed specifically for this task, such as those described by Nivre (2003) and Yamada and Matsumoto (2003), we show that this can also be done using the well known LR parsing algorithm (Knuth, 1965), providing a connec tion between current research on shift-reduce dependency parsing and previous parsing work using LR and GLR models; wise framework to probabilistic parsing, with the use of a best-first search strategy similar to the one employed in constituent parsing by Rat naparkhi (1997) and later by Sagae and Lavie (2006); 3.</S><S sid = 23 ssid = >pendency Parsing Our overall parsing approach uses a best-first probabilistic shift-reduce algorithm based on the LR algorithm (Knuth, 1965).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D07-1111.txt | Citing Article:  C08-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Tsujii (2007) generalized the standard deterministic framework to probabilistic parsing by using a best-first search strategy.</S> | Reference Offset:  ['9','32'] | Reference Text:  <S sid = 9 ssid = >commonly been performed using parsing algo 1 Stepwise parsing considers each step in a parsing algo rithm separately, while all-pairs parsing considers entire rithms designed specifically for this task, such as those described by Nivre (2003) and Yamada and Matsumoto (2003), we show that this can also be done using the well known LR parsing algorithm (Knuth, 1965), providing a connec tion between current research on shift-reduce dependency parsing and previous parsing work using LR and GLR models; wise framework to probabilistic parsing, with the use of a best-first search strategy similar to the one employed in constituent parsing by Rat naparkhi (1997) and later by Sagae and Lavie (2006); 3.</S><S sid = 32 ssid = >We then show how we extend the deterministic parser into a best first probabilistic parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D07-1111.txt | Citing Article:  W10-3011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For sentences in the dataset, their dependency structures are extracted using GENIA Dependency parser (Sagae and Tsujii, 2007), and phrase structure using Brown self-trained biomedical parser (McClosky, 2009).</S> | Reference Offset:  ['0','13'] | Reference Text:  <S sid = 0 ssid = >Dependency Parsing and Domain Adaptation with LR Models and Parser Ensembles</S><S sid = 13 ssid = >parser domain adaptation using unlabeled data in the target domain.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D07-1111.txt | Citing Article:  P11-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','139'] | Reference Text:  <S sid = 43 ssid = >In addi tion to deciding the direction of a reduce action, the label of the newly formed dependency arc must also be decided.</S><S sid = 139 ssid = >This work was supported in part by Grant-in-Aid for Specially Promoted Re search 18002007.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D07-1111.txt | Citing Article:  W11-0314.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approaches proposed by Reichart and Rappoport (2007a) and Sagae and Tsujii (2007) can be classified as ensemble-based methods.</S> | Reference Offset:  ['111','134'] | Reference Text:  <S sid = 111 ssid = >Interes tingly, the ensemble used in the multilingual track also produced good results on the development set for the domain adaptation data, without the use of the unlabeled data at all, with a score of 81.9 (al though the ensemble is more expensive to run).</S><S sid = 134 ssid = >A similar idea that may be more effective, but requires more effort, is to add parsers based on dif ferent approaches.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D07-1111.txt | Citing Article:  W11-0215.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For analysing sentence structure, we applied the mogura 2.4.1 (Matsuzaki and Miyao, 2007) and GDepbeta2 (Sagae and Tsujii, 2007) parsers.</S> | Reference Offset:  ['40','104'] | Reference Text:  <S sid = 40 ssid = >word to the beginning of every sentence, which is used as the head of every word in the dependency structure that does not have a head in the sentence.</S><S sid = 104 ssid = >See (Nivre et al, 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D07-1111.txt | Citing Article:  W07-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sagae and Tsujii (2007) present a detailed description of the parsing approach used in our work, including the parsing algorithm.</S> | Reference Offset:  ['9','23'] | Reference Text:  <S sid = 9 ssid = >commonly been performed using parsing algo 1 Stepwise parsing considers each step in a parsing algo rithm separately, while all-pairs parsing considers entire rithms designed specifically for this task, such as those described by Nivre (2003) and Yamada and Matsumoto (2003), we show that this can also be done using the well known LR parsing algorithm (Knuth, 1965), providing a connec tion between current research on shift-reduce dependency parsing and previous parsing work using LR and GLR models; wise framework to probabilistic parsing, with the use of a best-first search strategy similar to the one employed in constituent parsing by Rat naparkhi (1997) and later by Sagae and Lavie (2006); 3.</S><S sid = 23 ssid = >pendency Parsing Our overall parsing approach uses a best-first probabilistic shift-reduce algorithm based on the LR algorithm (Knuth, 1965).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D07-1111.txt | Citing Article:  W07-0604.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Sagae and Tsujii (2007) for more information on the parser.</S> | Reference Offset:  ['27','32'] | Reference Text:  <S sid = 27 ssid = >Instead, we use a classifier with features derived from much of the same information contained in an LR table: the top few items on the stack, and the next few items of lookahead in the remaining input string.</S><S sid = 32 ssid = >We then show how we extend the deterministic parser into a best first probabilistic parser.</S> | Discourse Facet:  NA | Annotator: Automatic


